Accession	Description	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	Abundance: F5: 126, Sample, n/a, SFug_F2	Abundances Count: F5: 126, Sample, n/a, SFug_F2	Modifications
Q9V431	Apoptosis inhibitor 5 homolog	22.2	11	18	11	384952.92575	16	
Q9V438	Protein disulfide-isomerase A6 homolog	24.71	12	28	12	696431.9094	23	
Q9V447	Krueppel homolog 2	12.68	3	3	0	50156.1117	3	
Q9V496	Apolipophorins	34.8	114	261	0	14672907.46226	233	
Q9V498	Calsyntenin-1	1.02	1	1	0	46563.12	1	
Q9V4C0	Dopaminechrome tautomerase	4.32	2	2	1	26435.75915	2	
Q9V4C8	Host cell factor	4.93	8	11	8	139750.38304000002	11	
Q9V4L4	NF-kappa-B inhibitor-interacting Ras-like protein	3.98	1	1	0	4137.742	1	
Q9V4N3	Cytochrome b5	61.19	5	26	5	1060567.03593	20	
Q9V4Q8	Probable U2 small nuclear ribonucleoprotein A'	15.09	5	8	5	167887.766	5	
Q9V4S8	COP9 signalosome complex subunit 7	25.18	7	12	7	186245.6255	11	
Q9V4W1	mRNA export factor Gle1	3.69	2	3	2	12365.555100000001	3	
Q9V521	Phenoloxidase 2	22.22	16	20	15	225593.39215	18	
Q9V535	RNA-binding protein 8A	40.61	5	16	5	403568.2366	14	
Q9V564	Conserved oligomeric Golgi complex subunit 6	4.76	3	3	3	17123.6298	2	
Q9V595	Uroporphyrinogen decarboxylase	32.3	11	17	11	305452.67726	15	
Q9V597	Large ribosomal subunit protein eL31	56.45	10	34	10	729146.09595	29	
Q9V5C6	Proteasome subunit alpha type-3	51.38	11	38	11	1392523.03921	30	
Q9V5M6	Longitudinals lacking protein, isoforms J/P/Q/S/Z	7.68	5	8	1	875.53986	1	
Q9V5P6	H/ACA ribonucleoprotein complex subunit 3	21.88	1	2	1	26183.307	1	
Q9V637	Proteasome inhibitor PI31 subunit	25.93	7	10	0	168372.0596	8	
Q9V674	Cytochrome P450 6g1	3.24	2	2	0	27483.802499999998	2	
Q9V6B9	Probable nucleoporin Nup54	7.38	4	5	4	78915.2225	5	
Q9V6G5	Tafazzin	5.82	3	3	0	34387.732	3	
Q9V6U9	Enoyl-[acyl-carrier-protein] reductase, mitochondrial	50.7	16	73	16	3574015.05721	69	
Q9V6X7	GDP-fucose protein O-fucosyltransferase 1	5.97	3	3	0	23833.2613	3	
Q9V6Y3	Small ribosomal subunit protein bS16m	14.73	2	3	2	28119.318600000002	3	
Q9V773	Probable cytochrome P450 6a20	9.38	5	6	4	36496.3456	4	
Q9V784	SAM50-like protein CG7639	6.09	3	4	3	10221.370499999999	4	
Q9V7D2	V-type proton ATPase subunit D 1	58.94	15	70	10	2941634.9008	64	
Q9V7N5	V-type proton ATPase subunit C	26.08	22	104	0	4689833.8954	98	
Q9V813	S-methyl-5'-thioadenosine phosphorylase	45.33	12	24	0	872504.8073999999	21	
Q9V895	Acidic leucine-rich nuclear phosphoprotein 32 family member A	8.05	2	2	0	35910.1523	2	
Q9V8F5	Bomanin Bicipital 1	36.75	4	8	4	54421.03936	4	
Q9V8M5	3-hydroxyisobutyrate dehydrogenase, mitochondrial	50.0	11	33	11	787926.23373	29	
Q9V8R9	Protein 4.1 homolog	40.99	59	107	1	2578424.40327	98	
Q9V8Y2	General odorant-binding protein 56a	28.06	4	15	4	1149543.4215	15	
Q9V931	General odorant-binding protein 57c	46.98	7	8	7	366237.8901	8	
Q9V968	MIP18 family protein galla-1	30.28	6	9	0	38298.1169	5	
Q9V998	Ubiquitin-like protein 5	28.77	2	2	2	49787.672	2	
Q9V9A7	Probable methylcrotonoyl-CoA carboxylase beta chain, mitochondrial	10.21	6	7	6	67498.6511	7	
Q9V9J3	Tyrosine-protein kinase Src42A	3.68	2	4	0	19524.002	1	
Q9V9M8	Iron-sulfur cluster transfer protein Nubpl	7.85	2	3	2	28456.773	3	
Q9V9N4	Transcription factor Clamp	1.96	1	1	1	7112.234	1	
Q9V9S7	Rho GTPase-activating protein 100F	4.77	6	7	0	14854.628499999999	4	
Q9V9S8	Ferrochelatase, mitochondrial	30.99	11	26	11	879983.3744	25	
Q9V9U4	Deoxyhypusine hydroxylase	21.85	6	10	6	118478.8622	9	
Q9V9X4	Methylthioribose-1-phosphate isomerase 1	31.87	10	12	10	448100.2097	11	
Q9V9Y9	Protein spindle-F	5.77	2	2	0	1440.68045	2	
Q9V9Z1	Large ribosomal subunit protein bL32m	4.1	1	1	1	13981.043	1	
Q9VA37	Protein dj-1beta	72.73	12	59	12	3066818.55718	50	
Q9VA70	Neutral ceramidase	2.41	2	2	0	13045.052	2	
Q9VA91	Small ribosomal subunit protein eS7	59.28	13	48	0	3938000.17677	44	
Q9VAF5	Cadherin-99C	5.92	10	11	10	56678.819729999996	9	
Q9VAI6	General odorant-binding protein 99b	46.31	5	29	0	1298179.8436	23	
Q9VAJ4	General odorant-binding protein 99a	41.55	7	29	0	437852.39374	28	
Q9VAM6	CDGSH iron-sulfur domain protein	52.63	6	73	6	3345328.77138	73	
Q9VAN0	Phosphoserine aminotransferase	42.58	13	46	13	1797074.0421	45	
Q9VAP3	Choline transporter-like 2	6.53	6	7	6	84876.2255	7	
Q9VAW5	La-related protein 1	4.06	5	5	0	38290.788570000004	4	
Q9VAY3	Mitoferrin	7.65	3	3	3	32588.2152	2	
Q9VB46	Adipocyte plasma membrane-associated protein Hemomucin	4.84	2	3	2	47688.108	3	
Q9VB68	Serine protease grass	12.2	5	6	5	28522.7009	4	
Q9VBC7	Neuroendocrine convertase 2	7.65	4	5	4	31523.710900000002	4	
Q9VBP9	Nuclear protein localization protein 4 homolog	2.91	2	3	2	8748.601130000001	2	
Q9VBV3	Protein takeout	26.91	6	7	0	198192.50300000003	6	
Q9VBV5	Nucleotide exchange factor Sil1	18.65	8	10	8	143410.99	9	
Q9VBZ5	YTH domain-containing family protein	2.71	2	2	2	8006.4156	2	
Q9VC03	Nicotinamide-nucleotide adenylyltransferase	5.14	2	2	2	985.21064	2	
Q9VC57	Atlastin	5.91	3	4	0	50120.720700000005	4	
Q9VCA5	Phenylalanine--tRNA ligase beta subunit	6.96	3	3	3	21882.64472	3	
Q9VCA8	Ankyrin repeat and KH domain-containing protein mask	0.6	2	2	0	798.76166	1	
Q9VCA9	Signal peptidase complex subunit 3	24.58	5	14	0	372832.0427	11	
Q9VCC0	Cysteine and histidine-rich domain-containing protein morgana	15.54	6	8	6	146325.1967	8	
Q9VCE1	Beclin-1-like protein	4.74	2	3	2	16038.7171	3	
Q9VCE8	Actin maturation protease	9.74	1	2	0	4558.565500000001	2	
Q9VCG3	Putative OPA3-like protein CG13603	26.27	6	11	0	345365.6711	11	
Q9VCH5	Nuclear pore complex protein Nup98-Nup96	6.99	10	16	10	229042.2877	14	
Q9VCI0	RNA exonuclease 2	23.7	4	4	4	117288.74070000001	4	
Q9VCJ8	Spaetzle-processing enzyme	17.5	7	14	5	228583.2817	12	
Q9VCK0	Eukaryotic translation initiation factor 3 subunit D-1	14.82	7	12	6	380484.9575	12	
Q9VCK1	GILT-like protein 2	9.66	2	2	2	64637.96	2	
Q9VCR3	Proteoglycan Cow	2.86	2	3	0	7715.9496	2	
Q9VCX3	Large ribosomal subunit protein mL45	8.03	2	2	2	9628.1802	2	
Q9VCY3	COP9 signalosome complex subunit 6	28.74	8	11	8	403591.57660000003	10	
Q9VCZ8	Probable prefoldin subunit 5	63.1	10	20	0	420304.51206000004	19	
Q9VD09	Retinol-binding protein pinta	15.75	5	6	5	39967.545640000004	5	
Q9VD26	Zinc finger protein-like 1 homolog	12.04	3	4	3	69549.7557	4	
Q9VDC6	Beta-alanyl-bioamine nonribosomal peptide synthetase ebony	14.79	14	17	14	151226.0451	13	
Q9VDD1	DDRGK domain-containing protein 1	11.65	3	3	3	23033.902000000002	3	
Q9VDE4	Protein Bride of doubletime	2.45	1	1	1	2162.2585	1	
Q9VDG5	Sodium/calcium exchanger Calx	2.11	2	2	0	34850.076	2	
Q9VDL1	Esterase CG5412	9.68	2	3	2	6276.6943599999995	3	
Q9VDS5	Rho GTPase-activating protein 92B	3.65	2	2	0	10604.8727	2	
Q9VDV3	Nuclear pore complex protein Nup58	12.27	8	8	8	154800.5134	8	
Q9VDW3	Dystrophin, isoform B	0.48	1	1	0	2818.9375	1	
Q9VE50	Golgi SNAP receptor complex member 1	14.66	3	4	3	29430.1515	3	
Q9VE61	E3 ubiquitin-protein ligase RNF181 homolog	8.16	1	1	0	13016.816	1	
Q9VEA5	DNA-directed RNA polymerase II subunit Rpb4	25.9	3	3	3	41349.157	2	
Q9VEB3	Ribosome production factor 2 homolog	5.62	2	2	2	5312.4165	1	
Q9VEJ0	Thioredoxin-dependent peroxide reductase, mitochondrial	48.29	9	55	9	2949518.77966	50	
Q9VER6	Modular serine protease	3.18	2	3	2	12397.6644	3	
Q9VET0	Neuropeptide F	29.41	3	4	0	51883.02884	3	
Q9VEX6	ATPase family AAA domain-containing protein 3A homolog	34.27	24	46	24	1539104.5353	43	
Q9VEX9	Histone deacetylase complex subunit SAP18	29.33	4	6	0	124606.5957	5	
Q9VEZ3	Protein mini spindles	1.52	3	4	0	8393.0256	3	
Q9VF08	Mitochondrial import inner membrane translocase subunit Tim16	38.3	6	8	0	107519.98594000001	8	
Q9VF27	NADH dehydrogenase (ubiquinone) 23 kDa subunit	60.83	15	59	15	4343610.8234	58	
Q9VF36	Acylphosphatase-2	27.45	3	3	0	21440.6043	3	
Q9VF71	Copper homeostasis protein cutC homolog	28.9	7	18	0	295783.2107	16	
Q9VF89	Large ribosomal subunit protein bL9m	6.05	2	2	2	15883.061	1	
Q9VFB2	Small ribosomal subunit protein uS10m	11.56	2	2	2	53247.307	2	
Q9VFC2	Serine protease inhibitor 88Ea	31.38	13	30	12	1161253.3913	29	
Q9VFC8	Glycogen [starch] synthase	10.44	7	9	1	94866.4364	9	
Q9VFI9	cGMP-specific 3',5'-cyclic phosphodiesterase	2.68	3	3	0	20867.81287	3	
Q9VFJ0	Probable cytochrome P450 313a1	4.67	2	2	2	3737.6688000000004	2	
Q9VFJ2	Large ribosomal subunit protein uL11m	19.9	4	4	4	34545.484599999996	2	
Q9VFJ3	Serine protease HTRA2, mitochondrial	7.82	3	3	0	45236.929000000004	3	
Q9VFM9	Twinfilin	24.78	8	14	8	202315.6916	12	
Q9VFP1	Probable cytochrome P450 6d5	11.81	6	7	6	161965.2977	7	
Q9VFR0	Protein BCCIP homolog	5.05	2	3	2	61397.049	3	
Q9VFS5	Serine/threonine-protein phosphatase 4 regulatory subunit 3	0.71	1	1	0	16504.22	1	
Q9VFS8	26S proteasome non-ATPase regulatory subunit 9	36.36	8	10	8	103057.34105	9	
Q9VFW4	Elongator complex protein 6	3.98	1	2	1	67429.466	2	
Q9VG08	L-dopachrome tautomerase yellow-f2	1.99	1	1	1	7846.686	1	
Q9VG55	Protein hugin	18.32	2	2	2	8515.574	2	
Q9VG73	Interleukin enhancer-binding factor 2 homolog	25.0	8	11	8	300752.7007	9	
Q9VG74	N-acetylneuraminate-9-phosphate synthase	1.88	1	1	1	9439.658	1	
Q9VG76	Myc-binding protein	11.05	2	2	2	25757.754	1	
Q9VG82	Probable cytochrome P450 9f2	5.43	3	3	3	21592.2383	3	
Q9VG97	Inactive glutathione S-transferase D3	43.72	9	23	9	1384648.4312	23	
Q9VG98	Glutathione S-transferase D2	19.53	6	13	1	184466.90200000003	6	
Q9VGG5	Cadherin-87A	5.16	9	12	9	202808.80494	12	
Q9VGN9	Probable ribosome biogenesis protein RLP24	6.28	1	1	1	21760.764	1	
Q9VGP6	Prefoldin subunit 3	29.9	6	8	6	198516.225	8	
Q9VGQ9	Diphthamide biosynthesis protein 3	10.47	1	1	1	2700.2861	1	
Q9VGR2	Protein arginine methyltransferase NDUFAF7 homolog, mitochondrial	8.01	3	3	3	33186.626000000004	3	
Q9VGR7	J domain-containing protein CG6693	3.34	1	1	0	25206.436	1	
Q9VGS2	Translationally-controlled tumor protein homolog	76.16	12	49	0	3273232.41052	47	
Q9VGU6	GTP:AMP phosphotransferase, mitochondrial	43.98	11	17	11	472769.1808	17	
Q9VGV8	Phosducin-like protein 3	8.8	2	3	2	16547.6473	3	
Q9VGZ0	Probable cytochrome P450 12e1, mitochondrial	2.11	1	1	1	3828.684	1	
Q9VH07	RuvB-like helicase 1	23.03	7	14	7	342307.723	14	
Q9VH19	Leishmanolysin-like peptidase	2.64	2	2	2	7513.8345	1	
Q9VH39	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 4	47.29	9	11	9	656825.0650000001	11	
Q9VH69	Small ribosomal subunit protein uS14	35.71	2	9	0	513294.161	7	
Q9VH95	Cytosolic Prostaglandin E synthase	47.83	8	26	8	1315388.8118	19	
Q9VHA0	Polycomb protein Scm	2.74	2	2	0	2734.2673	1	
Q9VHD2	Probable maleylacetoacetate isomerase 2	21.59	5	8	5	85678.3343	8	
Q9VHD3	Probable maleylacetoacetate isomerase 1	20.73	4	5	4	54592.922600000005	5	
Q9VHG4	ATPase H(+)-transporting accessory protein 2	16.56	6	10	6	234091.8762	10	
Q9VHI7	E3 ubiquitin-protein ligase Iruka	24.74	7	10	7	47187.1209	7	
Q9VHK6	Iron-sulfur cluster assembly enzyme IscU	21.43	4	6	4	181490.10940000002	6	
Q9VHN6	Large ribosomal subunit protein bL19m	8.82	2	4	2	19727.4856	4	
Q9VHP0	ATP-dependent RNA helicase bel	25.06	16	22	0	187779.65657	17	
Q9VHR6	Autophagy-related protein 13 homolog	1.72	1	1	1	3511.935	1	
Q9VHR8	Dipeptidyl peptidase 3	35.75	26	55	26	2252888.4508599997	52	
Q9VHS2	Cytochrome c oxidase subunit 7A, mitochondrial	75.28	8	49	0	3491804.8664700002	44	
Q9VI10	Probable small nuclear ribonucleoprotein Sm D2	40.34	5	6	5	145326.321	6	
Q9VI13	Serine/threonine-protein kinase Pak	4.26	3	3	0	21336.8331	3	
Q9VI25	Neurochondrin homolog	2.35	2	2	2	3785.411	1	
Q9VI55	E3 UFM1-protein ligase 1 homolog	9.97	9	9	0	96950.3591	8	
Q9VI75	Phosphatidylinositol-binding clathrin assembly protein LAP	56.2	20	89	2	155094.33185000002	11	
Q9VIH3	Microsomal triacylglycerol transfer protein	2.03	2	2	2	15418.036	2	
Q9VIH9	UPAR/Ly6 domain-containing protein CG9338	48.3	6	15	6	587414.2361	14	
Q9VII1	UPAR/Ly6 domain-containing protein bero	54.05	7	16	7	560960.1722	14	
Q9VIM5	Actin-related protein 2/3 complex subunit 2	23.26	6	6	0	148544.5642	5	
Q9VIQ0	Short neuropeptide F	9.25	2	3	2	58797.838540000004	3	
Q9VIT0	DNA sliding clamp PCNA2	12.94	4	4	4	35424.148	2	
Q9VIV2	Zinc finger protein swm	2.92	3	4	0	9090.1473	3	
Q9VIW3	Ran GTPase-activating protein	13.42	8	13	0	472348.96530000004	12	
Q9VJ26	EF-hand domain-containing protein D2 homolog	46.08	9	15	0	367276.4072	14	
Q9VJ31	Betaine-homocysteine S-methyltransferase	13.9	5	7	5	185501.67320000002	7	
Q9VJ33	Ubiquitin-like protein NEDD8	27.38	3	9	0	112797.75390000001	7	
Q9VJC7	Elongation factor Ts, mitochondrial	18.87	6	10	6	215263.221	8	
Q9VJD2	Ragulator complex protein LAMTOR3 homolog	6.45	1	1	0	8152.422	1	
Q9VJD3	Conserved oligomeric Golgi complex subunit 5	1.07	1	1	0	2194.8057	1	
Q9VJE4	DNA-directed RNA polymerase II subunit RPB11	26.5	3	3	3	19974.5703	3	
Q9VJG0	Xaa-Pro aminopeptidase ApepP	3.43	2	2	2	9726.3707	2	
Q9VJG4	Electron transfer flavoprotein regulatory factor 1 homolog	11.76	1	1	1	12713.135	1	
Q9VJI9	Cytosolic Fe-S cluster assembly factor Nubp1 homolog	37.3	9	11	9	113753.8886	9	
Q9VJL6	Glia maturation factor	10.87	2	3	2	83063.165	3	
Q9VJQ5	Protein Dr1	17.49	3	3	3	27904.8969	3	
Q9VJY6	Large ribosomal subunit protein eL24	29.68	7	17	0	491666.15979999996	14	
Q9VJY9	Protein Loquacious	12.69	5	5	0	76995.2934	4	
Q9VKA0	UPAR/Ly6 domain-containing protein crok	9.93	1	2	1	11225.8273	2	
Q9VKD3	Cysteine desulfurase, mitochondrial	23.38	10	14	9	416659.84249999997	13	
Q9VKH0	Conserved oligomeric Golgi complex subunit 8	1.93	1	1	1	5022.3643	1	
Q9VKJ8	Alpha-L-iduronidase	1.42	1	1	1	2332.402	1	
Q9VKJ9	Coiled-coil and C2 domain-containing protein 1-like	10.54	9	11	0	127501.02154	10	
Q9VKK1	Enhancer of mRNA-decapping protein 4 homolog	3.62	6	8	6	34539.6413	7	
Q9VKV5	CD2 antigen cytoplasmic tail-binding protein 2 homolog	5.64	2	2	2	37441.486000000004	2	
Q9VKX4	Small ribosomal subunit protein uS7m	16.51	4	5	0	102812.486	4	
Q9VL00	Ubiquitin thioesterase otubain-like	9.16	2	2	2	39110.27	2	
Q9VL13	MOB kinase activator-like 3	4.09	1	1	1	5242.6206	1	
Q9VL18	Probable elongation factor 1-delta	54.69	16	44	16	1506398.80397	37	
Q9VL78	FK506-binding protein 59	55.58	29	59	0	1846916.7512	58	
Q9VLF6	UPF0585 protein CG18661	17.57	3	3	0	27274.3642	3	
Q9VLJ6	Angiotensin-converting enzyme-related protein	7.78	6	6	0	75395.0126	5	
Q9VLM8	Alanine--tRNA ligase, cytoplasmic	10.77	9	11	9	99450.00937	10	
Q9VLP3	Guanine nucleotide exchange factor MSS4 homolog	51.64	6	9	6	173433.9187	8	
Q9VLR5	RNA polymerase II transcriptional coactivator	25.45	3	7	3	58167.837999999996	6	
Q9VLS9	Beta-lactamase-like protein 2 homolog	48.63	10	19	10	634628.3147	18	
Q9VLT8	WASH complex subunit 3	19.89	3	3	3	16940.6247	3	
Q9VLU0	Barrier-to-autointegration factor	55.56	4	13	0	694542.43384	13	
Q9VLU4	Serine protease inhibitor 28Dc	13.43	6	8	6	203649.08740000002	8	
Q9VLV5	Probable small nuclear ribonucleoprotein E	27.66	3	9	3	155655.0857	9	
Q9VLV7	Protein spaetzle 3	1.8	1	1	1	3535.928	1	
Q9VM33	Elongation factor G, mitochondrial	3.89	3	3	3	23048.0867	2	
Q9VM65	FGFR1 oncogene partner 2 homolog	14.29	5	6	0	58248.2574	5	
Q9VMA2	Probable galactose-1-phosphate uridylyltransferase	5.71	3	6	0	45926.1275	5	
Q9VMA7	Transport and Golgi organization protein 1	3.36	6	6	1	37316.019100000005	6	
Q9VMC8	PHD finger-like domain-containing protein 5A	26.13	3	3	3	39639.9907	3	
Q9VMD6	Protein real-time	2.58	2	2	0	11768.0187	2	
Q9VMD9	Tiggrin	11.33	29	34	0	358137.3113	32	
Q9VMG0	Arylalkylamine N-acetyltransferase-like 2	20.37	4	5	4	39071.5274	5	
Q9VMM6	Protein obstructor-E	36.95	8	16	8	346260.0139	16	
Q9VMQ5	Ubiquinone biosynthesis monooxygenase COQ6, mitochondrial	7.55	3	4	3	26639.0839	3	
Q9VMQ7	Elongator complex protein 4	14.42	5	5	5	52918.278000000006	3	
Q9VMR8	Protein Turandot M	33.59	3	5	0	228513.5566	5	
Q9VMT5	Probable cytochrome P450 28d1	14.94	10	14	10	151456.1018	10	
Q9VMU4	Large ribosomal subunit protein eL43	18.48	2	3	0	43699.3545	3	
Q9VMU5	Protein quick-to-court	5.55	4	5	0	41391.5686	5	
Q9VMW7	Inosine triphosphate pyrophosphatase	31.41	7	13	7	599641.6029	12	
Q9VMX0	Large ribosomal subunit protein bL28m	9.93	3	3	0	62179.7617	3	
Q9VMY1	Large ribosomal subunit protein uL24m	9.31	3	4	3	52643.466	3	
Q9VMY9	Guanine deaminase	4.46	2	2	2	39889.854	2	
Q9VN12	Probable sodium/potassium/calcium exchanger CG1090	4.58	2	4	0	51957.29	4	
Q9VN13	Sideroflexin-1-3	16.2	5	7	5	142309.3877	6	
Q9VN14	Contactin	19.78	25	34	25	644292.01832	31	
Q9VN19	Golgi to ER traffic protein 4 homolog	5.9	2	3	0	15863.3643	3	
Q9VN25	Eukaryotic translation initiation factor 3 subunit A	3.07	4	4	4	63762.518	3	
Q9VN50	Eukaryotic translation initiation factor 3 subunit F-1	28.57	8	15	8	240120.396	12	
Q9VN91	MORN repeat-containing protein 4 homolog	43.43	8	40	8	731524.7454	29	
Q9VN93	Cathepsin F	22.64	13	28	12	992371.9132	24	
Q9VN95	Enolase-phosphatase E1	23.83	5	11	5	157709.869	6	
Q9VNA4	Uncharacterized protein CG1161	9.25	2	3	0	53333.897	3	
Q9VNA5	Proteasome subunit beta type-4	5.22	2	4	2	94830.34899999999	3	
Q9VND8	GTP-binding protein Rheb homolog	22.53	5	9	5	241132.96234000003	9	
Q9VNE2	Protein krasavietz	31.28	16	24	16	587397.7382	22	
Q9VNE9	Large ribosomal subunit protein uL13	27.8	9	17	6	574479.904	12	
Q9VNI3	Histone PARylation factor 1	4.45	2	2	2	11442.175	1	
Q9VP48	Ras-related protein Rab-26	9.79	4	7	0	59942.7791	3	
Q9VP61	Acetyl-coenzyme A synthetase	8.51	6	6	0	53186.97867	4	
Q9VP65	Multifunctional methyltransferase subunit TRM112-like protein	25.81	2	4	2	13491.7914	4	
Q9VPC1	Distal membrane arm assembly component 2	9.15	3	3	3	55656.0503	3	
Q9VPH7	Eukaryotic peptide chain release factor subunit 1	8.45	4	4	0	69717.2418	4	
Q9VPL3	Large ribosomal subunit protein uL10m	9.68	3	4	3	32052.2437	4	
Q9VPQ2	DnaJ homolog shv	16.67	6	7	6	155184.5173	7	
Q9VQ29	Cytochrome b-c1 complex subunit Rieske, mitochondrial	43.04	10	36	10	3906732.11127	27	
Q9VQ62	NPC intracellular cholesterol transporter 2 homolog a	47.3	5	13	5	1000089.76175	12	
Q9VQ79	Putative apoptosis-inducing factor 1, mitochondrial	14.61	9	11	0	210702.4832	11	
Q9VQ91	Tudor and KH domain-containing protein homolog	7.47	5	6	5	22158.4518	4	
Q9VQ93	Golgi phosphoprotein 3 homolog sauron	16.33	4	5	4	71910.01766	5	
Q9VQC4	Glycerate kinase	12.94	8	8	0	112516.3057	8	
Q9VQF7	Bacchus	40.79	6	16	6	220292.67139	13	
Q9VQF9	SNAPIN protein homolog	16.42	2	3	2	64434.759	3	
Q9VQG4	Congested-like trachea protein	29.74	9	17	8	548291.3493	16	
Q9VQQ0	Serine/threonine-protein phosphatase 2A activator	22.61	9	15	9	245366.7795	15	
Q9VQX4	Nicotinate phosphoribosyltransferase	4.14	2	2	0	45140.763999999996	2	
Q9VR35	Eukaryotic translation initiation factor 4E-binding protein Mextli	11.03	7	10	0	157633.3931	10	
Q9VR59	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase	1.89	2	2	0	9873.905	1	
Q9VR81	N-acetylglucosamine-6-phosphate deacetylase	4.8	2	3	0	7352.4916	2	
Q9VR89	RNA-binding protein pno1	6.25	2	2	2	16624.999499999998	2	
Q9VR94	General odorant-binding protein 19a	15.75	3	6	3	179993.378	5	
Q9VRJ9	Ubiquitin thioesterase Otu1	12.39	4	8	0	31259.0891	8	
Q9VRL2	Probable Golgi SNAP receptor complex member 2	10.19	2	2	2	2883.6738	1	
Q9VRL3	Probable prefoldin subunit 4	10.87	2	3	2	297108.815	3	
Q9VRP9	E3 ubiquitin-protein ligase Bre1	1.63	2	2	0	10251.948400000001	2	
Q9VRQ9	Glutaminyl-peptide cyclotransferase	12.65	5	6	5	92915.75706	5	
Q9VRV7	Splicing factor 3B subunit 6	9.92	1	2	1	5813.03097	2	
Q9VRZ7	Ubiquinol-cytochrome c reductase complex assembly factor 1	24.32	6	12	6	146894.95070000002	8	
Q9VS34	Large ribosomal subunit protein eL18	22.34	3	6	0	304085.01	4	
Q9VS97	Peptidoglycan-recognition protein SD	9.14	2	3	2	33354.740999999995	2	
Q9VSA3	Medium-chain specific acyl-CoA dehydrogenase, mitochondrial	54.89	20	73	20	3480870.89928	68	
Q9VSF3	Nedd8-conjugating enzyme UbcE2M	17.68	3	4	0	26923.84	2	
Q9VSH4	Cleavage and polyadenylation specificity factor subunit 6	1.69	1	2	0	13917.9535	2	
Q9VSJ8	Exocyst complex component 7	8.66	6	7	6	66980.60560000001	6	
Q9VSK9	Pseudouridylate synthase 7 homolog	5.45	3	3	3	38074.844	1	
Q9VSL3	Pyrimidodiazepine synthase	61.32	13	64	12	4310968.57658	60	
Q9VSR3	Translational regulator orb2	5.82	4	4	0	48789.991599999994	4	
Q9VSS2	Signal recognition particle subunit SRP68	8.44	5	6	5	65000.010500000004	6	
Q9VSU7	Vesicle transport protein USE1	22.0	4	4	4	32418.386769999997	4	
Q9VSY4	Alpha-tubulin N-acetyltransferase 1	39.26	19	55	8	1703683.37523	51	
Q9VSY6	Phosphoserine phosphatase	20.0	5	8	5	294682.75950000004	7	
Q9VSZ6	Queuine tRNA-ribosyltransferase accessory subunit 2	6.7	3	3	3	10372.7423	3	
Q9VT70	Nuclear distribution protein nudE homolog	7.57	2	2	0	7324.1383399999995	2	
Q9VTC4	MIP18 family protein galla-2	5.13	2	3	2	32765.283000000003	2	
Q9VTE0	Biogenesis of lysosome-related organelles complex 1 subunit 2	11.32	2	2	2	34184.06	2	
Q9VTE5	Probable prefoldin subunit 2	56.64	8	13	0	450257.222	13	
Q9VTE9	Nedd8-activating enzyme E1 regulatory subunit	7.82	4	4	0	81256.497	3	
Q9VTF9	Ubiquitin fusion degradation protein 1 homolog	14.87	6	7	6	129009.9827	6	
Q9VTH0	Procollagen-lysine,2-oxoglutarate 5-dioxygenase	1.53	1	1	1	7173.394	1	
Q9VTJ4	Putative alpha-L-fucosidase	4.86	3	3	3	52483.516	3	
Q9VTJ8	Mitochondrial import inner membrane translocase subunit TIM14	7.63	1	1	0	16115.792	1	
Q9VTM6	UPAR/Ly6 domain-containing protein crim	20.25	3	4	3	37941.8672	4	
Q9VTP4	Large ribosomal subunit protein uL1	53.46	12	49	12	3068483.92463	45	
Q9VTU3	Rho GTPase-activating protein 68F	12.61	5	6	0	101698.19686000001	6	
Q9VTZ5	Transferrin 2	22.59	16	21	16	308000.0183	19	
Q9VTZ6	Phosphomannomutase	22.44	5	8	5	135484.7776	8	
Q9VU08	Intermembrane lipid transfer protein Vps13D	0.2	1	4	1	83246.05	2	
Q9VU58	Neuropeptide-like 2	66.28	6	107	0	5820422.8396	100	
Q9VU68	Actin-interacting protein 1	32.89	20	31	20	930092.06341	27	
Q9VU70	Tetratricopeptide repeat protein 36 homolog	9.73	2	3	2	11718.6281	3	
Q9VU84	Drebrin-like protein	26.18	11	14	11	206043.8788	12	
Q9VU95	Alanine--glyoxylate aminotransferase 2-like	10.32	4	6	4	79421.11260000001	5	
Q9VUJ0	Large ribosomal subunit protein mL39	3.6	1	1	1	3862.6284	1	
Q9VUK8	Glycine--tRNA ligase	28.63	20	41	20	1632377.6672	36	
Q9VUR3	Probable aminoacyl tRNA synthase complex-interacting multifunctional protein 2	12.87	5	6	0	73317.48873	5	
Q9VUY9	Phosphoglucomutase 1	31.43	15	31	15	1050484.7558	27	
Q9VUZ1	Probable trafficking protein particle complex subunit 2	10.79	2	2	2	26373.383	1	
Q9VV36	Retinin	29.84	5	91	5	6168654.92198	73	
Q9VV41	Probable tRNA N6-adenosine threonylcarbamoyltransferase	8.07	2	2	2	2208.516	1	
Q9VV43	Tubulin polymerization-promoting protein homolog	67.19	12	38	0	2034743.7204	36	
Q9VV72	Multiple inositol polyphosphate phosphatase 1	28.27	13	29	13	569169.0253999999	25	
Q9VV74	Survival motor neuron protein	3.1	1	1	1	10197.824	1	
Q9VVA0	Cold shock domain-containing protein CG9705	17.48	2	7	0	182611.04369999998	7	
