Accession	Description	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	Abundance: F8: 126, Sample, n/a, SFug_F3	Abundances Count: F8: 126, Sample, n/a, SFug_F3	Modifications
Q9VNE2	Protein krasavietz	19.91	11	23	11	1016762.0064000001	20	
Q9VNE9	Large ribosomal subunit protein uL13	33.66	9	15	6	1337810.716	12	
Q9VNI3	Histone PARylation factor 1	1.56	1	1	1	9505.937	1	
Q9VP48	Ras-related protein Rab-26	7.99	3	12	0	11631.303	1	
Q9VP61	Acetyl-coenzyme A synthetase	13.88	10	12	0	142736.3058	12	
Q9VP65	Multifunctional methyltransferase subunit TRM112-like protein	26.61	3	6	3	56052.5595	6	
Q9VPC1	Distal membrane arm assembly component 2	9.15	3	3	3	103427.28429999998	3	
Q9VPH7	Eukaryotic peptide chain release factor subunit 1	11.42	5	7	0	210186.74490000002	7	
Q9VPL3	Large ribosomal subunit protein uL10m	14.92	4	5	4	98634.78874	5	
Q9VPQ2	DnaJ homolog shv	22.88	8	13	8	285799.6614	11	
Q9VQ29	Cytochrome b-c1 complex subunit Rieske, mitochondrial	43.04	10	55	10	9044421.9077	48	
Q9VQ62	NPC intracellular cholesterol transporter 2 homolog a	47.3	5	18	5	1113051.9517	16	
Q9VQ79	Putative apoptosis-inducing factor 1, mitochondrial	12.04	7	12	0	236102.49896	11	
Q9VQ91	Tudor and KH domain-containing protein homolog	12.33	7	10	7	103175.30489999999	8	
Q9VQ93	Golgi phosphoprotein 3 homolog sauron	18.71	5	6	5	257466.09625	5	
Q9VQC4	Glycerate kinase	15.61	8	9	0	93608.3537	9	
Q9VQF7	Bacchus	40.79	6	15	6	928811.5591	14	
Q9VQF9	SNAPIN protein homolog	28.36	3	3	3	71119.027	3	
Q9VQG4	Congested-like trachea protein	27.45	9	22	8	1590640.7332	20	
Q9VQQ0	Serine/threonine-protein phosphatase 2A activator	21.86	8	12	8	390708.57399999996	11	
Q9VQX4	Nicotinate phosphoribosyltransferase	10.45	7	7	0	85747.6911	7	
Q9VR35	Eukaryotic translation initiation factor 4E-binding protein Mextli	17.15	11	12	0	349797.153	11	
Q9VR59	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase	0.53	1	1	0	916.6593	1	
Q9VR81	N-acetylglucosamine-6-phosphate deacetylase	9.59	4	5	0	53722.366	5	
Q9VR89	RNA-binding protein pno1	10.42	2	3	2	13192.05385	3	
Q9VR94	General odorant-binding protein 19a	10.27	2	4	2	108741.85399999999	4	
Q9VRJ9	Ubiquitin thioesterase Otu1	22.77	6	12	0	167523.7568	12	
Q9VRL2	Probable Golgi SNAP receptor complex member 2	13.43	3	3	3	15907.87556	3	
Q9VRP9	E3 ubiquitin-protein ligase Bre1	2.78	3	4	0	53378.5257	4	
Q9VRQ9	Glutaminyl-peptide cyclotransferase	7.94	3	5	3	25390.2132	4	
Q9VRV7	Splicing factor 3B subunit 6	16.53	2	5	2	78207.0024	5	
Q9VRZ7	Ubiquinol-cytochrome c reductase complex assembly factor 1	16.22	4	6	4	456217.982	5	
Q9VS34	Large ribosomal subunit protein eL18	20.21	3	8	0	373604.425	7	
Q9VS97	Peptidoglycan-recognition protein SD	16.67	2	3	2	58375.857	2	
Q9VSA3	Medium-chain specific acyl-CoA dehydrogenase, mitochondrial	49.16	20	98	20	9875902.28335	89	
Q9VSF3	Nedd8-conjugating enzyme UbcE2M	33.7	6	11	0	265905.31799999997	10	
Q9VSH4	Cleavage and polyadenylation specificity factor subunit 6	4.29	3	3	0	23993.3921	3	
Q9VSJ8	Exocyst complex component 7	8.23	6	8	6	100478.5185	8	
Q9VSK9	Pseudouridylate synthase 7 homolog	4.63	3	3	3	16365.126	2	
Q9VSL3	Pyrimidodiazepine synthase	62.14	14	64	13	14803468.12485	60	
Q9VSR3	Translational regulator orb2	4.26	3	3	0	76039.0289	3	
Q9VSS1	Protein Pixie	1.15	1	1	1	17028.533	1	
Q9VSS2	Signal recognition particle subunit SRP68	13.08	8	10	8	172447.708	9	
Q9VSU7	Vesicle transport protein USE1	11.2	3	3	3	20479.876	2	
Q9VSY4	Alpha-tubulin N-acetyltransferase 1	45.99	18	56	7	2473198.69655	52	
Q9VSY6	Phosphoserine phosphatase	16.3	4	5	4	288123.2027	5	
Q9VSZ6	Queuine tRNA-ribosyltransferase accessory subunit 2	1.91	1	1	1	11600.725	1	
Q9VT70	Nuclear distribution protein nudE homolog	11.67	3	3	0	22086.615	2	
Q9VTC4	MIP18 family protein galla-2	13.46	2	3	2	35909.0889	3	
Q9VTE0	Biogenesis of lysosome-related organelles complex 1 subunit 2	15.72	3	3	3	11811.472	2	
Q9VTE5	Probable prefoldin subunit 2	53.15	8	18	0	1016392.5349999999	18	
Q9VTE9	Nedd8-activating enzyme E1 regulatory subunit	10.31	5	6	0	182805.46	6	
Q9VTF9	Ubiquitin fusion degradation protein 1 homolog	17.09	6	8	6	261218.512	8	
Q9VTH0	Procollagen-lysine,2-oxoglutarate 5-dioxygenase	3.19	3	3	3	78705.45999999999	3	
Q9VTJ4	Putative alpha-L-fucosidase	3.24	2	3	2	204847.275	3	
Q9VTJ8	Mitochondrial import inner membrane translocase subunit TIM14	27.97	4	6	0	123460.96100000001	6	
Q9VTM6	UPAR/Ly6 domain-containing protein crim	20.25	3	5	3	93889.1822	5	
Q9VTP4	Large ribosomal subunit protein uL1	39.63	8	50	8	4429470.3686	44	
Q9VTU3	Rho GTPase-activating protein 68F	19.54	9	12	0	387222.189	11	
Q9VTZ5	Transferrin 2	24.42	20	23	20	619744.7873	20	
Q9VTZ6	Phosphomannomutase	39.37	10	13	10	241573.26080000002	11	
Q9VU08	Intermembrane lipid transfer protein Vps13D	0.2	1	3	1	30855.807	1	
Q9VU58	Neuropeptide-like 2	67.44	7	116	0	20427701.18688	109	
Q9VU68	Actin-interacting protein 1	29.77	20	40	20	2312307.7582	35	
Q9VU70	Tetratricopeptide repeat protein 36 homolog	28.11	4	5	4	53179.28525	5	
Q9VU84	Drebrin-like protein	33.33	15	28	15	924141.8883	26	
Q9VU95	Alanine--glyoxylate aminotransferase 2-like	14.57	6	8	6	260432.9071	7	
Q9VUJ0	Large ribosomal subunit protein mL39	16.82	5	5	5	130141.49930000001	5	
Q9VUK8	Glycine--tRNA ligase	27.58	20	47	20	3923181.3432299998	46	
Q9VUR3	Probable aminoacyl tRNA synthase complex-interacting multifunctional protein 2	19.16	8	10	1	284631.31774	10	
Q9VUY9	Phosphoglucomutase 1	38.04	20	45	20	2822109.81736	39	
Q9VUZ1	Probable trafficking protein particle complex subunit 2	21.58	2	2	2	489.54538	1	
Q9VV36	Retinin	29.84	5	103	5	37016132.12556	83	
Q9VV43	Tubulin polymerization-promoting protein homolog	66.15	11	50	0	2869394.91103	43	
Q9VV72	Multiple inositol polyphosphate phosphatase 1	31.05	15	28	15	1915019.1722	27	
Q9VV74	Survival motor neuron protein	14.6	3	5	3	66305.6734	4	
Q9VVA0	Cold shock domain-containing protein CG9705	13.29	2	6	0	181910.8874	6	
Q9VVA6	Nuclear migration protein nudC	34.64	13	27	13	897920.5505	25	
Q9VVB4	Coiled-coil domain-containing protein 22 homolog	13.15	7	8	7	85199.1414	7	
Q9VVE2	Protein rogdi	33.96	9	14	9	683996.60415	14	
Q9VVE5	RNA-binding protein Musashi homolog Rbp6	14.63	5	13	0	698078.11916	13	
Q9VVG6	Ubiquinone biosynthesis protein COQ4 homolog, mitochondrial	13.43	4	5	0	60029.5129	5	
Q9VVH3	MICOS complex subunit MIC13 homolog QIL1	67.21	7	29	7	1617566.4819999998	29	
Q9VVI2	Enhancer of mRNA-decapping protein 3	11.76	7	8	7	46231.223099999996	7	
Q9VVI3	E3 ubiquitin-protein ligase Nedd-4	2.88	3	3	0	14007.854	3	
Q9VVI9	Charged multivesicular body protein 5	69.47	12	41	0	1241916.27725	35	
Q9VVN2	Small ribosomal subunit protein mS26	19.56	4	6	4	56791.1026	4	
Q9VVU5	COP9 signalosome complex subunit 1b	4.0	2	4	2	61641.8361	4	
Q9VVW3	Sideroflexin-2	15.6	5	7	5	290152.954	7	
Q9VVW8	ATP-dependent (S)-NAD(P)H-hydrate dehydratase	23.33	5	6	5	140612.0344	4	
Q9VVY3	Glycogen-binding subunit 76A	12.48	7	8	0	49560.41253	7	
Q9VW12	UPF0389 protein CG9231	44.0	5	24	0	1775985.2857000001	20	
Q9VW14	rRNA methyltransferase 3, mitochondrial	7.13	3	3	3	6335.157499999999	3	
Q9VW26	Ornithine aminotransferase, mitochondrial	19.03	7	12	7	257645.44700000001	10	
Q9VW56	Probable prefoldin subunit 6	60.8	7	20	0	728595.75425	20	
Q9VWA1	Clathrin light chain	43.84	14	43	0	3791152.544	37	
Q9VWA8	Protein FRG1 homolog	6.49	2	2	2	47378.128	2	
Q9VWB1	DCN1-like protein 4	15.73	4	4	0	53690.90337000001	4	
Q9VWE0	Cytokine receptor	3.28	4	4	4	8513.5435	3	
Q9VWF4	Dual specificity protein phosphatase MPK-4	6.46	2	2	2	3668.3914	1	
Q9VWG3	Small ribosomal subunit protein eS10B	30.62	7	15	0	705609.6717000001	11	
Q9VWH4	Probable isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial	70.56	29	221	28	43827930.11254	199	
Q9VWI0	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial	39.89	6	39	6	5429835.09315	27	
Q9VWN5	Ubiquitin carboxyl-terminal hydrolase MINDY-3 homolog	22.5	12	16	0	251557.4728	14	
Q9VWP4	Sulfite oxidase, mitochondrial	10.12	6	6	6	56825.61196	6	
Q9VWU1	Serine protease persephone	6.85	2	2	2	20284.871	2	
Q9VWV8	Nitric oxide synthase-interacting protein homolog	6.51	2	4	2	578316.7601999999	2	
Q9VWW0	Cyclic AMP response element-binding protein B	2.51	1	1	0	3364.0986	1	
Q9VWX8	Frequenin-2	54.01	10	42	4	3135055.7279000003	40	
Q9VWY6	Transcription initiation factor TFIID subunit 8	9.15	3	3	3	14865.5957	2	
Q9VX10	Sulfiredoxin	11.73	2	3	0	57030.014	3	
Q9VX98	Density-regulated protein homolog	50.26	8	14	8	349780.95807	13	
Q9VXB0	NECAP-like protein CG9132	45.53	10	29	2	2704137.4996	27	
Q9VXB5	Large ribosomal subunit protein uL22m	5.58	1	1	1	14937.905	1	
Q9VXE0	Probable small nuclear ribonucleoprotein G	76.32	6	10	6	331497.4045	10	
Q9VXE5	Serine/threonine-protein kinase PAK mbt	8.61	5	6	5	30382.321649999998	4	
Q9VXE6	Nuclear pore complex protein Nup153	2.44	3	4	0	22935.22855	4	
Q9VXF1	Serine/threonine-protein phosphatase 2B catalytic subunit 3	38.87	19	55	0	3731777.6483	53	
Q9VXG4	Annexin B11	22.31	13	30	13	2060226.24509	28	
Q9VXJ0	Peroxisomal multifunctional enzyme type 2	25.25	14	19	0	833279.9384999999	17	
Q9VXK0	Protein NipSnap	15.38	4	6	0	426537.3616	6	
Q9VXK6	Eukaryotic translation initiation factor 5	23.92	10	14	10	408954.16615	14	
Q9VXN2	Protein stunted	55.74	4	15	4	643183.397	9	
Q9VXN4	Probable arginine--tRNA ligase, cytoplasmic	6.62	4	5	4	69989.03139999999	5	
Q9VXP4	Platelet-activating factor acetylhydrolase IB subunit beta homolog	38.22	8	21	8	946418.83396	19	
Q9VXT7	Probable isoaspartyl peptidase/L-asparaginase CG7860	12.95	4	7	0	451472.97	7	
Q9VXY0	Probable cytochrome P450 4s3	4.44	3	3	3	14031.131000000001	3	
Q9VXY7	Lipid storage droplets surface-binding protein 2	53.41	15	33	1	3521361.2778499997	32	
Q9VY28	Small ribosomal subunit protein mS25	19.16	3	5	3	64898.8231	5	
Q9VY77	LIM domain-containing protein jub	6.04	4	4	0	5200.7172	2	
Q9VY78	Chloride intracellular channel Clic	23.46	6	14	6	987436.11468	11	
Q9VY93	Probable methylthioribulose-1-phosphate dehydratase	14.1	3	3	0	106339.38399999999	3	
Q9VYB7	Protein-tyrosine sulfotransferase	5.61	3	3	0	12849.222000000002	2	
Q9VYD7	Mitochondrial import inner membrane translocase subunit Tim9	67.37	6	12	0	803125.7938	12	
Q9VYF8	2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial	3.99	1	1	0	1835.9056	1	
Q9VYG1	26S proteasome non-ATPase regulatory subunit 5	3.56	2	2	0	41075.6826	2	
Q9VYG2	Brahma-associated protein of 60 kDa	2.33	1	1	1	4898.609	1	
Q9VYH3	Probable alpha-aspartyl dipeptidase	29.17	6	13	0	681143.6416	10	
Q9VYI3	Large ribosomal subunit protein mL49	5.59	1	1	0	16988.037	1	
Q9VYQ8	Ubiquitin carboxyl-terminal hydrolase 7	4.25	5	5	0	46490.8514	4	
Q9VYR0	LSM12 homolog A	14.29	3	5	3	158255.0234	4	
Q9VYS5	NADH dehydrogenase (ubiquinone) complex I, assembly factor 6 homolog	5.09	2	2	2	38533.675	2	
Q9VYV3	Thioredoxin domain-containing protein 5 homolog	59.13	24	58	24	3841190.96726	57	
Q9VYV9	COMM domain-containing protein 10 homolog Vlet	12.18	3	4	0	56061.9967	4	
Q9VYX1	Enhancer of yellow 2 transcription factor	40.59	3	4	3	79403.1	2	
Q9VYY2	Signal peptidase complex subunit 2	49.25	11	18	0	958922.33315	18	
Q9VYY3	Ubiquitin-like modifier-activating enzyme 5	22.77	9	11	9	380390.791	10	
Q9VZ23	GTP-binding nuclear protein Ran	54.63	11	34	0	4676732.5665	33	
Q9VZ35	Protein Vago	20.62	2	2	2	10356.3444	2	
Q9VZ40	Uncharacterized protein CG1552	33.7	4	7	0	327042.051	6	
Q9VZ49	Endoribonuclease Arlr	18.07	10	26	10	642782.8458	24	
Q9VZ64	Probable 6-phosphogluconolactonase	52.26	12	25	12	1493208.678	23	
Q9VZA4	Band 7 protein CG42540	16.24	7	11	0	149051.7855	11	
Q9VZD5	Small ribosomal subunit protein bS6m	13.61	2	3	0	178819.988	3	
Q9VZD8	THUMP domain-containing protein 1 homolog	13.89	4	4	4	33922.193	3	
Q9VZE7	Choline transporter-like 1	2.32	1	1	0	16906.775	1	
Q9VZI3	Unc-112-related protein	9.18	6	6	6	48470.8929	6	
Q9VZJ9	Mitochondrial E3 ubiquitin protein ligase 1	9.76	3	3	3	16514.6913	2	
Q9VZL5	Vacuolar fusion protein CCZ1 homolog	3.09	1	1	1	10622.584	1	
Q9VZL6	Ragulator complex protein LAMTOR4 homolog	21.67	2	3	0	90671.85800000001	2	
Q9VZS3	Eukaryotic translation initiation factor eIF1	81.82	7	11	7	456656.02697	9	
Q9VZS5	Large ribosomal subunit protein eL28	59.72	12	34	0	2602351.9003	32	
Q9VZU4	NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial	64.53	16	83	16	3888078.83317	67	
Q9VZX9	Adenosylhomocysteinase-like 1	24.76	11	18	9	917329.68475	18	
Q9W021	Large ribosomal subunit protein uL23m	11.33	2	2	0	66154.04	1	
Q9W058	Succinyl-CoA:3-ketoacid-coenzyme A transferase, mitochondrial	53.1	19	62	1	4095356.5456	57	
Q9W074	Protein HBS1	4.63	3	3	3	32917.5565	3	
Q9W0A0	Protein draper	6.21	5	7	0	33880.05186	6	
Q9W0C1	Neuronal synaptobrevin	47.54	7	38	7	4855402.19079	37	
Q9W0C7	Protein OPI10 homolog	11.68	2	2	2	5567.2637	1	
Q9W0G1	Tyrosine-protein phosphatase non-receptor type 61F	9.49	6	7	4	58921.114799999996	6	
Q9W0H3	Lipid droplet-associated hydrolase	24.1	8	13	8	203008.65170000002	13	
Q9W0P5	UDP-glucose 4-epimerase	30.29	11	17	0	1029215.77456	17	
Q9W0S7	Staphylococcal nuclease domain-containing protein 1	18.36	17	22	17	1040843.6677999999	20	
Q9W0Y1	Troponin C-akin-1 protein	24.55	5	11	2	308811.1701	11	
Q9W0Y2	Putative gamma-glutamylcyclotransferase CG2811	7.64	2	2	0	30583.028599999998	2	
Q9W0Y6	Transient receptor potential cation channel protein painless	1.1	1	1	1	4400.482	1	
Q9W141	Putative ATP synthase subunit f, mitochondrial	49.53	6	53	6	14994086.7564	41	
Q9W197	7-methylguanosine phosphate-specific 5'-nucleotidase	14.42	5	7	5	317462.2707	7	
Q9W1A4	Protein tamozhennic	6.65	4	5	0	14926.7228	5	
Q9W1C9	Ejaculatory bulb-specific protein 3	57.14	13	92	0	62875462.38194	90	
Q9W1G0	Probable transaldolase	56.5	17	62	17	8388699.5532	59	
Q9W1H9	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 3	8.16	1	1	1	7006.5854	1	
Q9W1K0	Transmembrane protein 14 homolog	13.39	2	7	0	1016397.3640000002	6	
Q9W1K5	Sestrin homolog	1.41	1	1	0	26826.143	1	
Q9W1L5	Peptidyl-alpha-hydroxyglycine alpha-amidating lyase 2	8.87	2	3	0	173606.73500000002	3	
Q9W1V3	rRNA 2'-O-methyltransferase fibrillarin	21.51	7	8	7	430361.45856	7	
Q9W1X4	Nuclear pore complex protein Nup214	5.26	7	8	7	65190.862270000005	7	
Q9W1X8	Probable GDP-L-fucose synthase	19.63	5	6	5	58820.2265	5	
Q9W1X9	OCIA domain-containing protein 1	27.63	5	8	0	59179.31714	7	
Q9W1Y1	ER membrane protein complex subunit 8/9 homolog	21.67	4	6	4	376924.10240000003	6	
Q9W237	Small ribosomal subunit protein uS9	70.95	16	57	0	5483206.0265	48	
Q9W265	Probable hydroxyacid-oxoacid transhydrogenase, mitochondrial	18.97	9	10	9	318430.882	10	
Q9W266	Protein windpipe	13.44	10	18	10	694110.4299	18	
Q9W2D6	Mitochondrial import inner membrane translocase subunit Tim10	72.83	7	23	7	2025087.7297999999	23	
Q9W2D9	Eukaryotic translation initiation factor 3 subunit K	41.89	7	15	7	888955.95204	13	
Q9W2E7	Protein Rae1	17.63	6	8	6	355549.8369	8	
Q9W2M2	Trehalase	40.94	22	40	0	1383024.1399	37	
Q9W2N0	F-actin-capping protein subunit alpha	17.83	5	7	5	351690.666	6	
Q9W2R3	Phosphatidylinositol 4-phosphate 5-kinase type-1 sktl	1.89	2	2	2	58795.8883	2	
Q9W2U4	Serine/threonine-protein phosphatase 4 regulatory subunit 2	12.64	6	6	0	34645.0845	4	
Q9W2Y3	NAD(P)H-hydrate epimerase	38.7	7	8	7	175172.14125000002	7	
Q9W303	Chitinase-like protein Idgf4	54.3	23	92	0	5651502.74849	73	
Q9W334	Small ribosomal subunit protein eS28	69.23	5	18	0	824803.9368	14	
Q9W358	Chaperone Ric-8	8.55	6	6	0	66315.0342	5	
Q9W369	Beta-alanyl-dopamine/carcinine hydrolase	57.88	22	103	22	10110235.673799999	95	
Q9W379	Zinc finger protein ZPR1	22.32	8	9	8	273108.8443	8	
Q9W380	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 3	19.48	3	8	3	382173.9935	6	
Q9W385	Frataxin homolog, mitochondrial	16.84	4	6	4	195486.9169	6	
Q9W3C7	Palmitoyl-protein thioesterase 1	5.73	2	4	0	107678.92629999999	4	
Q9W3E2	Protein PIP82	26.03	29	40	29	501278.69496	31	
Q9W3J5	Phenylalanine--tRNA ligase alpha subunit	18.88	10	11	10	262778.846	11	
Q9W3K5	Glutamate--cysteine ligase	3.77	3	3	0	55559.936100000006	3	
Q9W3N6	General vesicular transport factor p115	13.88	9	11	9	116265.9278	9	
Q9W3T7	UPAR/Ly6 domain-containing protein bou	12.08	2	4	2	271426.024	4	
Q9W3W8	Large ribosomal subunit protein uL22	29.03	6	9	0	190315.99970000001	8	
Q9W3Y0	Zinc finger protein 593 homolog	27.16	3	3	3	6012.55314	3	
Q9W3Z3	Alanine--glyoxylate aminotransferase	5.08	2	4	2	10957.5798	2	
Q9W401	Probable citrate synthase, mitochondrial	60.99	28	217	28	63532388.56609	182	
Q9W415	tRNA (guanine-N(7)-)-methyltransferase non-catalytic subunit wuho	18.16	6	7	6	222575.4794	5	
Q9W436	Neprilysin-1	7.54	6	7	6	49946.6266	6	
Q9W445	Malignant T-cell-amplified sequence 1 homolog	37.36	6	8	6	106364.242	8	
Q9W4D2	RNA-binding protein 4F	2.44	2	2	0	654.6234	1	
Q9W4K2	Uncharacterized protein CG3556	6.39	4	7	0	197760.5533	4	
Q9W4P5	V-type proton ATPase subunit d 1	31.14	9	18	9	1658302.1405	18	
Q9W4T4	3',5'-cyclic-AMP phosphodiesterase, isoform I	17.12	17	26	0	454668.2048	24	
Q9W4V8	Mitochondrial import inner membrane translocase subunit TIM50-C	20.09	7	11	0	467774.3132	11	
Q9W4X7	Eukaryotic translation initiation factor 3 subunit G-1	34.2	10	24	9	1807932.1373	23	
Q9W552	Vacuolar protein sorting-associated protein 26	19.67	6	9	6	118410.1825	6	
Q9W596	Microtubule-associated protein futsch	30.08	101	161	0	3236266.22558	145	
Q9W5E1	RING-box protein 1A	22.22	2	4	0	87327.635	4	
Q9W5N0	Cytochrome c oxidase assembly factor 7 homolog	39.1	11	25	0	1492516.79095	25	
Q9W5N2	Large ribosomal subunit protein eL38	28.57	2	11	0	305758.2275	10	
Q9W5P1	Mediator of RNA polymerase II transcription subunit 21	13.38	2	3	2	30306.755999999998	3	
Q9W5R8	Large ribosomal subunit protein uL18	21.07	9	16	0	933167.3395	15	
Q9W5Y0	Neprilysin-3	1.02	1	1	1	6802.457	1	
Q9XTL9	Glycogen phosphorylase	43.13	40	74	0	1938562.95019	66	
Q9XTM1	Exocyst complex component 5	1.27	1	1	1	2905.466	1	
Q9XTN2	Insulin receptor substrate 1	1.86	2	2	0	6643.4917	1	
Q9XY35	Cytochrome b-c1 complex subunit 9	41.82	2	12	2	1331148.8567	10	
Q9XYM0	Adapter molecule Crk	49.45	13	35	0	1757136.7583	29	
Q9XYZ5	DNA damage-binding protein 1	4.82	6	6	6	108347.375	5	
Q9XZ14	Protein gone early	8.19	5	6	0	41034.0768	5	
Q9XZ58	COP9 signalosome complex subunit 5	25.99	7	13	1	162876.57962	13	
Q9XZ63	Mesencephalic astrocyte-derived neurotrophic factor homolog	31.21	7	16	7	1179204.3586	16	
Q9XZH6	V-type proton ATPase subunit G	40.17	6	24	0	2695261.32592	20	
Q9XZJ4	Proteasome subunit alpha type-6	44.26	12	38	0	4120732.4708	35	
Q9XZL8	Protein sarah	31.16	7	13	0	326869.71877000004	11	
Q9Y091	Pre-mRNA-splicing regulator female-lethal(2)D	3.73	2	2	0	15000.166299999999	2	
Q9Y0I1	NuA4 complex subunit EAF3 homolog	6.6	2	2	0	46184.840899999996	2	
Q9Y0V3	Mitochondrial import inner membrane translocase subunit Tim10B	47.01	5	8	5	30650.9302	6	
Q9Y0Y2	Adenylosuccinate synthetase	30.43	12	21	12	951127.7076	20	
Q9Y105	Probable glutamine--tRNA ligase	4.76	4	5	4	465443.64660000004	4	
Q9Y1A3	Mitochondrial import inner membrane translocase subunit Tim8	44.32	5	17	0	2233340.2906	15	
X2JAU8	Protein nervous wreck	40.0	41	115	41	8498974.428509999	100	
A0A021WW32	Verthandi, isoform B	2.21	2	2	0	24393.219	1	
A0A023GPM5	Diacylglycerol kinase	13.32	12	17	0	285434.19214	15	
A0A0B4JCR9	Uncharacterized protein, isoform D	2.88	1	1	0	26005.314	1	
A0A0B4JCT7	Jabba, isoform F	15.27	8	17	0	491683.86460000003	16	
A0A0B4JCW4	Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial	66.08	27	176	0	132419.133	5	
A0A0B4JCX2	RIM-binding protein, isoform G	8.37	12	16	0	248410.8292	14	
A0A0B4JCY5	Myosin heavy chain-like, isoform H	3.38	2	2	0	8644.4296	2	
A0A0B4JCY6	Cheerio, isoform I	37.5	70	122	0	8271568.96073	117	
A0A0B4JCZ0	Oxysterol-binding protein	2.73	3	3	0	20438.6747	3	
A0A0B4JD18	Related to the N terminus of tre oncogene, isoform E	2.35	1	1	0	2908.1672	1	
A0A0B4JD47	Missing-in-metastasis, isoform E	2.46	1	1	0	577.9355	1	
A0A0B4JD97	Transforming acidic coiled-coil protein, isoform K	16.49	21	30	0	372251.40284999995	29	
A0A0B4K615	Smallish, isoform O	10.77	14	16	0	214319.34316	14	
A0A0B4K618	Fragile X messenger ribonucleoprotein 1, isoform G	10.29	6	7	0	41707.4874	5	
A0A0B4K620	Oxidation resistance protein 1	13.84	17	21	0	826115.1671	21	
A0A0B4K661	Tropomyosin 1, isoform Q	82.4	41	229	0	19010763.22635	167	
A0A0B4K663	Non-specific lethal 1, isoform N	5.54	6	9	0	71865.06577	7	
A0A0B4K6C8	Uncharacterized protein, isoform G	3.9	5	7	0	102978.968	7	
A0A0B4K6I1	Scribble, isoform N	11.94	25	37	0	835893.4476	37	
A0A0B4K6K8	Musashi, isoform D	16.69	7	14	0	532431.39793	14	
A0A0B4K6P4	Hephaestus, isoform W	4.51	4	4	0	91047.49859999999	4	
A0A0B4K6Z2	Dystrobrevin	16.46	11	13	0	252321.53655	12	
A0A0B4K709	Uncharacterized protein, isoform E	9.93	6	7	0	93139.9296	6	
A0A0B4K716	Diacylglycerol kinase	4.47	7	8	0	237227.212	8	
A0A0B4K765	Paired amphipathic helix protein Sin3a	1.89	4	5	0	25354.732659999998	3	
A0A0B4K774	Abelson interacting protein, isoform D	29.77	11	19	0	314307.11500000005	17	
A0A0B4K775	Golgin 97, isoform B	1.99	1	1	0	4256.6875	1	
A0A0B4K7A5	Hu li tai shao, isoform Q	62.38	42	137	1	10449762.32353	125	
A0A0B4K7B0	Smooth, isoform O	20.65	9	17	0	629737.10664	15	
A0A0B4K7C1	Aspartyl beta-hydroxylase, isoform H	8.47	7	9	0	111021.9273	7	
A0A0B4K7D8	Uncharacterized protein, isoform B	5.46	2	2	0	34925.2205	2	
A0A0B4K7E3	Phosphatidylinositol 4-phosphate 5-kinase 59B, isoform F	11.71	6	6	0	39520.3952	6	
A0A0B4K7H0	Tetratricopeptide repeat domain 7, isoform B	1.29	1	1	0	1758.4419	1	
A0A0B4K7H3	Eucalyptus, isoform B	81.25	8	45	2	6213715.89824	42	
A0A0B4K7H7	Down syndrome cell adhesion molecule 1, isoform BY (Fragment)	3.51	7	8	0	57424.500799999994	6	
A0A0B4K7T7	Rho guanine nucleotide exchange factor 2, isoform G	1.13	3	3	0	5202.9362	2	
A0A0B4K7U0	Myosin-7a binding protein, isoform M	12.92	28	69	0	2843350.4801	66	
A0A0B4K7V8	Bruchpilot, isoform K	54.13	106	316	1	95723.349	5	
A0A0B4K7X5	glycogenin glucosyltransferase	19.27	10	31	0	862684.2400999999	27	
A0A0B4K885	Kenny, isoform B	20.57	6	6	1	134713.434	4	
A0A0B4K891	Poly(A) binding protein interacting protein 1, isoform E	21.54	9	10	0	157857.19913999998	9	
A0A0B4KED6	Defective proboscis extension response 12, isoform D	8.72	3	3	0	69253.0365	3	
A0A0B4KEE1	Aldehyde dehydrogenase	26.16	12	21	0	700007.4582	15	
A0A0B4KEE5	Myosin-7a binding protein, isoform Q	22.09	37	89	0	984375.3283	19	
A0A0B4KEH7	CAP, isoform Y	15.82	36	48	0	1880495.8463	44	
A0A0B4KEI5	Serrate RNA effector molecule homolog	7.91	7	7	0	70580.7439	6	
A0A0B4KEJ7	Coronin	14.21	7	8	0	144931.80880000003	7	
A0A0B4KEP1	Reduction in Cnn dots 1, isoform D	4.03	4	4	0	24174.2271	3	
A0A0B4KER0	Relative of woc, isoform C	2.69	3	3	0	20273.3855	3	
A0A0B4KEW6	Amphiphysin, isoform B	43.82	22	66	1	81878.4234	4	
A0A0B4KEX6	Jitterbug, isoform M	8.63	24	27	0	477128.66524999996	27	
A0A0B4KF06	Valine--tRNA ligase	1.99	2	2	0	3109.8818	1	
A0A0B4KF22	Juvenile hormone binding protein 2, isoform E	11.42	3	3	0	36153.794	3	
A0A0B4KF34	Uncharacterized protein, isoform D	5.75	4	4	0	36318.968	4	
