Accession	Description	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	Abundance: F5: 127C, Sample, n/a, SF1g_F1	Abundances Count: F5: 127C, Sample, n/a, SF1g_F1	Modifications
Q9VQC4	Glycerate kinase	13.14	9	14	0	106817.3231	13	
Q9VQF7	Bacchus	38.16	4	21	4	462649.01193	19	
Q9VQG4	Congested-like trachea protein	24.84	9	25	8	354482.88190000004	24	
Q9VQQ0	Serine/threonine-protein phosphatase 2A activator	17.59	7	17	7	299771.0354	15	
Q9VQX4	Nicotinate phosphoribosyltransferase	6.85	4	7	0	51438.339100000005	6	
Q9VR35	Eukaryotic translation initiation factor 4E-binding protein Mextli	12.56	9	22	0	238580.12615	19	
Q9VR59	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase	2.0	3	3	0	2304.3655	1	
Q9VR81	N-acetylglucosamine-6-phosphate deacetylase	3.84	2	4	0	7052.166800000001	3	
Q9VR89	RNA-binding protein pno1	6.25	2	3	2	17906.72596	2	
Q9VR94	General odorant-binding protein 19a	10.27	2	3	2	42160.0449	3	
Q9VRJ9	Ubiquitin thioesterase Otu1	14.41	5	17	0	101666.53276	12	
Q9VRL2	Probable Golgi SNAP receptor complex member 2	13.43	3	6	3	2029.8055200000001	2	
Q9VRL3	Probable prefoldin subunit 4	14.49	3	6	3	127915.18043000001	5	
Q9VRP9	E3 ubiquitin-protein ligase Bre1	5.56	7	8	0	17694.97015	7	
Q9VRQ9	Glutaminyl-peptide cyclotransferase	5.88	3	8	3	12946.390640000001	5	
Q9VRV7	Splicing factor 3B subunit 6	30.58	4	7	4	32847.82619	6	
Q9VRZ7	Ubiquinol-cytochrome c reductase complex assembly factor 1	24.32	6	12	6	69754.54143	7	
Q9VS34	Large ribosomal subunit protein eL18	26.06	4	16	0	520959.6089	13	
Q9VS97	Peptidoglycan-recognition protein SD	12.9	3	4	3	31681.53	3	
Q9VSA3	Medium-chain specific acyl-CoA dehydrogenase, mitochondrial	47.02	20	86	20	1993085.77311	73	
Q9VSF3	Nedd8-conjugating enzyme UbcE2M	25.97	6	11	0	78925.1326	9	
Q9VSH4	Cleavage and polyadenylation specificity factor subunit 6	3.37	2	2	1	2273.902	1	
Q9VSJ8	Exocyst complex component 7	10.53	8	12	8	34250.01049	8	
Q9VSK9	Pseudouridylate synthase 7 homolog	7.77	6	6	6	24994.6974	6	
Q9VSL3	Pyrimidodiazepine synthase	55.97	11	73	10	3001558.5167300003	56	
Q9VSR3	Translational regulator orb2	7.39	4	5	0	5204.89495	2	
Q9VSS1	Protein Pixie	5.56	4	4	4	26176.048799999997	3	
Q9VSS2	Signal recognition particle subunit SRP68	12.42	8	13	8	72162.46691999999	12	
Q9VSU7	Vesicle transport protein USE1	22.8	6	9	6	33994.91136	8	
Q9VSY4	Alpha-tubulin N-acetyltransferase 1	33.84	18	61	8	786949.32213	48	
Q9VSY6	Phosphoserine phosphatase	30.0	7	20	7	172349.97242	18	
Q9VSZ6	Queuine tRNA-ribosyltransferase accessory subunit 2	1.91	1	1	1	3182.728	1	
Q9VT70	Nuclear distribution protein nudE homolog	7.26	2	2	0	15443.058500000001	2	
Q9VTE0	Biogenesis of lysosome-related organelles complex 1 subunit 2	4.4	1	2	1	24473.892	2	
Q9VTE5	Probable prefoldin subunit 2	35.66	5	16	0	248862.40216	15	
Q9VTE9	Nedd8-activating enzyme E1 regulatory subunit	13.93	7	9	0	54066.572060000006	6	
Q9VTF9	Ubiquitin fusion degradation protein 1 homolog	8.23	4	9	4	163866.2095	6	
Q9VTJ4	Putative alpha-L-fucosidase	4.45	3	4	3	10149.0564	2	
Q9VTJ8	Mitochondrial import inner membrane translocase subunit TIM14	15.25	2	3	0	28971.017	3	
Q9VTM6	UPAR/Ly6 domain-containing protein crim	31.65	4	11	4	78034.1222	9	
Q9VTP4	Large ribosomal subunit protein uL1	40.55	9	32	9	1022404.2951699999	31	
Q9VTU3	Rho GTPase-activating protein 68F	15.76	8	12	0	68605.99021999999	12	
Q9VTZ5	Transferrin 2	17.95	16	27	16	154605.0365	19	
Q9VTZ6	Phosphomannomutase	21.26	5	11	5	127969.27891	8	
Q9VU08	Intermembrane lipid transfer protein Vps13D	0.38	2	10	2	264936.108	2	
Q9VU58	Neuropeptide-like 2	66.28	6	133	0	6359089.31121	85	
Q9VU68	Actin-interacting protein 1	21.38	13	35	13	287805.0514	29	
Q9VU70	Tetratricopeptide repeat protein 36 homolog	17.84	4	6	4	20355.1527	5	
Q9VU84	Drebrin-like protein	12.99	8	24	8	252271.32552	20	
Q9VU95	Alanine--glyoxylate aminotransferase 2-like	14.17	6	12	6	111082.2487	10	
Q9VUJ0	Large ribosomal subunit protein mL39	16.82	5	7	5	30160.5625	6	
Q9VUK8	Glycine--tRNA ligase	17.12	14	37	14	1150875.5643	29	
Q9VUR3	Probable aminoacyl tRNA synthase complex-interacting multifunctional protein 2	16.47	7	12	0	64697.02244	11	
Q9VUY9	Phosphoglucomutase 1	30.36	18	47	18	538905.49856	36	
Q9VUZ1	Probable trafficking protein particle complex subunit 2	5.76	1	1	1	7308.334	1	
Q9VV36	Retinin	31.94	8	155	8	3276032.99625	91	
Q9VV43	Tubulin polymerization-promoting protein homolog	53.12	9	54	0	726257.75835	43	
Q9VV72	Multiple inositol polyphosphate phosphatase 1	22.91	12	33	12	428962.65356	30	
Q9VV74	Survival motor neuron protein	11.95	3	4	3	10559.2831	3	
Q9VVA0	Cold shock domain-containing protein CG9705	13.29	2	5	0	7385.16495	4	
Q9VVA6	Nuclear migration protein nudC	27.41	10	34	10	484520.38214	30	
Q9VVB4	Coiled-coil domain-containing protein 22 homolog	10.99	6	10	6	37602.85737	6	
Q9VVE2	Protein rogdi	26.49	7	15	7	259738.12896	11	
Q9VVE5	RNA-binding protein Musashi homolog Rbp6	12.2	4	7	0	38217.219	7	
Q9VVG6	Ubiquinone biosynthesis protein COQ4 homolog, mitochondrial	12.69	4	6	0	11002.81324	5	
Q9VVH3	MICOS complex subunit MIC13 homolog QIL1	49.18	5	14	5	967012.5399300001	13	
Q9VVI2	Enhancer of mRNA-decapping protein 3	8.24	6	7	6	23639.75024	6	
Q9VVI9	Charged multivesicular body protein 5	52.65	10	29	0	435498.52412	21	
Q9VVN2	Small ribosomal subunit protein mS26	17.78	4	6	4	17935.75905	3	
Q9VVU5	COP9 signalosome complex subunit 1b	5.71	3	5	3	46843.10653999999	4	
Q9VVW3	Sideroflexin-2	10.7	4	10	4	25064.95674	6	
Q9VVW8	ATP-dependent (S)-NAD(P)H-hydrate dehydratase	16.0	4	8	4	40279.22984	7	
Q9VVY3	Glycogen-binding subunit 76A	6.17	4	8	0	11998.077220000001	6	
Q9VW12	UPF0389 protein CG9231	41.6	5	24	0	365062.11137	16	
Q9VW14	rRNA methyltransferase 3, mitochondrial	18.18	7	11	7	28233.61402	8	
Q9VW26	Ornithine aminotransferase, mitochondrial	18.1	8	17	8	176412.4533	12	
Q9VW56	Probable prefoldin subunit 6	44.8	6	30	0	249581.90089	23	
Q9VWA1	Clathrin light chain	41.55	12	58	0	1838924.8418999999	51	
Q9VWA8	Protein FRG1 homolog	11.07	4	7	4	25493.7424	6	
Q9VWB1	DCN1-like protein 4	8.87	2	3	1	25935.012300000002	3	
Q9VWE0	Cytokine receptor	0.78	1	2	1	1753.1338999999998	2	
Q9VWG3	Small ribosomal subunit protein eS10B	28.12	7	15	0	224042.31780000002	14	
Q9VWH4	Probable isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial	69.23	29	196	28	16207386.343319999	165	
Q9VWI0	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial	57.38	7	25	7	808015.813	19	
Q9VWN5	Ubiquitin carboxyl-terminal hydrolase MINDY-3 homolog	17.32	9	22	0	75407.29115	19	
Q9VWP4	Sulfite oxidase, mitochondrial	8.55	5	7	5	14479.004799999999	4	
Q9VWU1	Serine protease persephone	8.88	4	6	4	54661.6155	5	
Q9VWV8	Nitric oxide synthase-interacting protein homolog	10.75	3	3	3	8606.2883	2	
Q9VWW0	Cyclic AMP response element-binding protein B	6.41	3	4	0	15975.582099999998	3	
Q9VWX8	Frequenin-2	37.43	8	52	3	1214956.97859	38	
Q9VWY6	Transcription initiation factor TFIID subunit 8	6.1	2	4	2	11602.5085	2	
Q9VX10	Sulfiredoxin	11.73	2	4	0	12257.2768	3	
Q9VX98	Density-regulated protein homolog	29.63	4	17	4	404291.252	16	
Q9VXB0	NECAP-like protein CG9132	44.72	9	39	3	640052.8243	34	
Q9VXB5	Large ribosomal subunit protein uL22m	12.88	3	3	3	34827.3888	3	
Q9VXE0	Probable small nuclear ribonucleoprotein G	59.21	4	9	4	152862.79080000002	9	
Q9VXE5	Serine/threonine-protein kinase PAK mbt	8.76	4	9	4	25579.262000000002	5	
Q9VXE6	Nuclear pore complex protein Nup153	1.91	3	4	0	12300.669670000001	3	
Q9VXF1	Serine/threonine-protein phosphatase 2B catalytic subunit 3	39.9	18	82	0	811467.39727	66	
Q9VXG4	Annexin B11	23.68	14	41	14	666924.09	38	
Q9VXJ0	Peroxisomal multifunctional enzyme type 2	21.07	11	19	0	141891.66999999998	16	
Q9VXK0	Protein NipSnap	9.89	3	16	0	178991.04313	13	
Q9VXK6	Eukaryotic translation initiation factor 5	18.32	10	21	9	109455.29389999999	12	
Q9VXN2	Protein stunted	81.97	6	16	6	317135.22829999996	9	
Q9VXN4	Probable arginine--tRNA ligase, cytoplasmic	12.63	9	10	9	51568.1933	9	
Q9VXP4	Platelet-activating factor acetylhydrolase IB subunit beta homolog	18.22	3	5	3	70574.5704	5	
Q9VXT7	Probable isoaspartyl peptidase/L-asparaginase CG7860	12.95	4	9	0	77322.60956	7	
Q9VXY0	Probable cytochrome P450 4s3	2.83	2	4	2	561.3729	1	
Q9VXY7	Lipid storage droplets surface-binding protein 2	35.8	10	28	0	735612.7059	22	
Q9VY28	Small ribosomal subunit protein mS25	23.95	4	7	4	30276.5221	5	
Q9VY77	LIM domain-containing protein jub	4.67	3	6	0	4531.19865	4	
Q9VY78	Chloride intracellular channel Clic	38.46	8	8	8	160404.67940000002	7	
Q9VY93	Probable methylthioribulose-1-phosphate dehydratase	7.05	2	3	0	39893.4645	3	
Q9VYB7	Protein-tyrosine sulfotransferase	1.6	1	2	0	8561.3582	2	
Q9VYD7	Mitochondrial import inner membrane translocase subunit Tim9	55.79	4	9	0	478570.13665	9	
Q9VYF8	2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial	9.97	3	4	0	15704.6929	2	
Q9VYG1	26S proteasome non-ATPase regulatory subunit 5	1.78	1	2	0	8263.299500000001	2	
Q9VYG2	Brahma-associated protein of 60 kDa	11.26	6	7	6	20054.8283	5	
Q9VYH3	Probable alpha-aspartyl dipeptidase	29.17	6	13	0	96633.07433999999	12	
Q9VYI3	Large ribosomal subunit protein mL49	5.59	1	2	0	24015.456599999998	2	
Q9VYQ8	Ubiquitin carboxyl-terminal hydrolase 7	3.99	5	7	0	8123.646200000001	3	
Q9VYR0	LSM12 homolog A	14.29	3	8	3	47937.347499999996	7	
Q9VYS5	NADH dehydrogenase (ubiquinone) complex I, assembly factor 6 homolog	9.88	4	5	4	35728.3942	5	
Q9VYV3	Thioredoxin domain-containing protein 5 homolog	47.84	17	42	17	718638.09156	34	
Q9VYV9	COMM domain-containing protein 10 homolog Vlet	12.61	3	3	0	19628.736399999998	3	
Q9VYX1	Enhancer of yellow 2 transcription factor	23.76	2	2	2	35805.24	1	
Q9VYY2	Signal peptidase complex subunit 2	33.67	8	20	0	246039.05836999998	17	
Q9VYY3	Ubiquitin-like modifier-activating enzyme 5	22.52	9	15	9	107072.01933	12	
Q9VZ23	GTP-binding nuclear protein Ran	51.85	11	32	0	899870.31802	29	
Q9VZ35	Protein Vago	5.0	1	1	1	746.2142	1	
Q9VZ40	Uncharacterized protein CG1552	3.8	1	5	0	32305.111899999996	4	
Q9VZ49	Endoribonuclease Arlr	16.72	10	23	10	472322.31437	22	
Q9VZ64	Probable 6-phosphogluconolactonase	32.1	7	18	7	362458.83971	17	
Q9VZA4	Band 7 protein CG42540	12.08	6	14	0	59538.223	8	
Q9VZD5	Small ribosomal subunit protein bS6m	10.2	2	4	0	26755.6517	4	
Q9VZD8	THUMP domain-containing protein 1 homolog	8.64	4	6	4	9456.31198	4	
Q9VZE7	Choline transporter-like 1	3.76	2	3	0	3219.263	1	
Q9VZI3	Unc-112-related protein	3.39	3	3	2	26581.93066	3	
Q9VZJ9	Mitochondrial E3 ubiquitin protein ligase 1	6.21	2	4	2	9180.885479999999	4	
Q9VZL5	Vacuolar fusion protein CCZ1 homolog	5.77	2	3	2	18325.5554	3	
Q9VZL6	Ragulator complex protein LAMTOR4 homolog	10.83	1	3	0	74742.9253	3	
Q9VZS3	Eukaryotic translation initiation factor eIF1	59.09	5	12	5	158208.2632	9	
Q9VZS5	Large ribosomal subunit protein eL28	45.14	8	37	0	476692.96096	30	
Q9VZU4	NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial	47.55	12	78	12	2882323.72108	66	
Q9VZX9	Adenosylhomocysteinase-like 1	21.69	11	18	10	239753.6667	16	
Q9W021	Large ribosomal subunit protein uL23m	9.33	2	4	0	28620.2438	2	
Q9W032	Protein ecdysoneless	5.12	4	4	4	2196.10354	2	
Q9W058	Succinyl-CoA:3-ketoacid-coenzyme A transferase, mitochondrial	40.89	16	58	1	889630.06796	47	
Q9W074	Protein HBS1	4.33	3	4	3	6445.18104	3	
Q9W0A0	Protein draper	9.6	8	20	0	43103.54904	12	
Q9W0C1	Neuronal synaptobrevin	43.17	4	30	4	1105766.9249	28	
Q9W0C7	Protein OPI10 homolog	6.6	1	2	1	8508.1699	2	
Q9W0G1	Tyrosine-protein phosphatase non-receptor type 61F	11.13	7	10	3	21247.0457	8	
Q9W0H3	Lipid droplet-associated hydrolase	11.4	4	10	4	65677.61363	9	
Q9W0K4	Protein bric-a-brac 2	2.53	2	2	0	2865.6506	1	
Q9W0P5	UDP-glucose 4-epimerase	19.43	8	15	0	313759.59278	12	
Q9W0S7	Staphylococcal nuclease domain-containing protein 1	14.25	13	21	13	113697.99208	19	
Q9W0Y1	Troponin C-akin-1 protein	26.95	5	16	3	188271.30503000002	13	
Q9W0Y6	Transient receptor potential cation channel protein painless	2.85	3	4	2	3251.03555	3	
Q9W141	Putative ATP synthase subunit f, mitochondrial	49.53	6	63	6	2561823.35772	50	
Q9W197	7-methylguanosine phosphate-specific 5'-nucleotidase	14.42	5	9	5	99167.94473	8	
Q9W1A4	Protein tamozhennic	5.52	2	2	0	3030.2144	1	
Q9W1C9	Ejaculatory bulb-specific protein 3	58.73	13	119	0	17541450.53234	93	
Q9W1G0	Probable transaldolase	48.04	12	51	12	2410423.1024	45	
Q9W1H9	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 3	15.31	3	3	3	39648.909	3	
Q9W1K0	Transmembrane protein 14 homolog	28.57	3	8	0	62078.2001	5	
Q9W1K5	Sestrin homolog	6.84	4	7	0	39270.26104	5	
Q9W1V3	rRNA 2'-O-methyltransferase fibrillarin	12.79	6	9	6	70776.5961	8	
Q9W1X4	Nuclear pore complex protein Nup214	2.75	5	6	5	9859.88315	4	
Q9W1X8	Probable GDP-L-fucose synthase	12.77	5	11	5	105635.5244	11	
Q9W1X9	OCIA domain-containing protein 1	33.07	7	9	0	51516.0355	9	
Q9W1Y1	ER membrane protein complex subunit 8/9 homolog	24.63	4	12	4	131176.2938	11	
Q9W237	Small ribosomal subunit protein uS9	66.89	13	65	0	2687903.6868	56	
Q9W265	Probable hydroxyacid-oxoacid transhydrogenase, mitochondrial	10.34	6	9	6	94272.8555	9	
Q9W266	Protein windpipe	20.68	10	31	10	194678.32218	24	
Q9W2D6	Mitochondrial import inner membrane translocase subunit Tim10	57.61	5	22	5	523898.50952	20	
Q9W2D9	Eukaryotic translation initiation factor 3 subunit K	28.38	5	8	5	69170.24799999999	6	
Q9W2E7	Protein Rae1	11.56	4	11	4	438908.04904	10	
Q9W2M2	Trehalase	29.36	16	47	0	519578.52757	39	
Q9W2N0	F-actin-capping protein subunit alpha	9.44	3	3	3	18891.8653	2	
Q9W2R3	Phosphatidylinositol 4-phosphate 5-kinase type-1 sktl	3.03	3	3	3	1869.2877	1	
Q9W2U4	Serine/threonine-protein phosphatase 4 regulatory subunit 2	15.6	9	17	1	48599.41405	10	
Q9W2Y3	NAD(P)H-hydrate epimerase	7.83	2	6	2	21303.956599999998	5	
Q9W303	Chitinase-like protein Idgf4	64.25	25	96	0	3188930.9705499997	70	
Q9W334	Small ribosomal subunit protein eS28	63.08	4	26	0	614020.26196	23	
Q9W358	Chaperone Ric-8	10.65	7	8	0	13397.2549	5	
Q9W369	Beta-alanyl-dopamine/carcinine hydrolase	50.65	20	79	20	2448927.16088	69	
Q9W379	Zinc finger protein ZPR1	12.91	6	9	6	33350.66204	8	
Q9W380	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 3	18.18	2	12	2	439824.71666000003	9	
Q9W385	Frataxin homolog, mitochondrial	10.0	2	6	2	45271.0543	6	
Q9W3C7	Palmitoyl-protein thioesterase 1	12.42	4	7	0	22096.62278	7	
Q9W3E2	Protein PIP82	19.83	23	56	23	129098.29895	34	
Q9W3J5	Phenylalanine--tRNA ligase alpha subunit	14.86	8	17	8	52973.90821	15	
Q9W3K5	Glutamate--cysteine ligase	4.88	4	7	0	32771.8908	6	
Q9W3N6	General vesicular transport factor p115	8.37	7	9	7	52118.757	7	
Q9W3T7	UPAR/Ly6 domain-containing protein bou	12.08	2	6	2	119192.215	5	
Q9W3W8	Large ribosomal subunit protein uL22	14.52	3	5	0	171344.3019	5	
Q9W3Y0	Zinc finger protein 593 homolog	11.11	1	1	1	3492.347	1	
Q9W3Y4	GAS2-like protein pickled eggs	2.35	3	3	3	9440.91855	2	
Q9W401	Probable citrate synthase, mitochondrial	55.39	30	238	30	18280161.35587	182	
Q9W415	tRNA (guanine-N(7)-)-methyltransferase non-catalytic subunit wuho	14.86	4	5	4	37791.989799999996	3	
Q9W436	Neprilysin-1	4.24	4	4	4	23747.869599999998	4	
Q9W445	Malignant T-cell-amplified sequence 1 homolog	15.38	3	9	3	59501.89011	9	
Q9W4K2	Uncharacterized protein CG3556	6.72	4	17	0	93771.65815999999	13	
Q9W4P5	V-type proton ATPase subunit d 1	36.86	10	24	10	1087697.81587	24	
Q9W4T4	3',5'-cyclic-AMP phosphodiesterase, isoform I	10.34	12	23	0	131531.46884	18	
Q9W4V8	Mitochondrial import inner membrane translocase subunit TIM50-C	12.38	5	7	0	54502.625499999995	7	
Q9W4X7	Eukaryotic translation initiation factor 3 subunit G-1	18.59	7	21	7	246185.15727	18	
Q9W552	Vacuolar protein sorting-associated protein 26	5.44	3	5	3	63233.661	4	
Q9W596	Microtubule-associated protein futsch	26.66	89	189	0	1174311.00963	158	
Q9W5E1	RING-box protein 1A	7.41	1	2	0	28086.6768	2	
Q9W5N0	Cytochrome c oxidase assembly factor 7 homolog	32.71	9	25	0	135718.62953	22	
Q9W5N2	Large ribosomal subunit protein eL38	28.57	2	12	0	227743.85761	9	
Q9W5P1	Mediator of RNA polymerase II transcription subunit 21	13.38	3	4	3	5912.5875	2	
Q9W5R8	Large ribosomal subunit protein uL18	33.78	8	14	0	193597.57877	13	
Q9W5Y0	Neprilysin-3	2.04	2	3	2	4186.7669	2	
Q9XTL9	Glycogen phosphorylase	31.87	30	75	0	962414.03362	59	
Q9XTM1	Exocyst complex component 5	2.96	3	3	3	36603.570700000004	2	
Q9XTN2	Insulin receptor substrate 1	1.96	2	4	0	1627.8987	1	
Q9XY35	Cytochrome b-c1 complex subunit 9	41.82	2	4	2	560664.425	3	
Q9XYM0	Adapter molecule Crk	49.45	11	28	0	506935.39818	27	
Q9XYZ5	DNA damage-binding protein 1	3.95	5	8	5	59475.876899999996	7	
Q9XZ14	Protein gone early	4.44	4	4	1	11811.98	1	
Q9XZ58	COP9 signalosome complex subunit 5	10.4	4	7	1	70984.82094	7	
Q9XZ63	Mesencephalic astrocyte-derived neurotrophic factor homolog	34.68	7	22	7	352913.8952	21	
Q9XZH6	V-type proton ATPase subunit G	31.62	5	27	0	351407.59656	20	
Q9XZJ4	Proteasome subunit alpha type-6	44.26	13	36	0	361727.99354	31	
Q9XZL8	Protein sarah	34.25	7	12	0	100895.50471	9	
Q9Y091	Pre-mRNA-splicing regulator female-lethal(2)D	3.73	2	2	0	3086.1328	1	
Q9Y0I1	NuA4 complex subunit EAF3 homolog	11.79	3	6	0	7227.06116	6	
Q9Y0V3	Mitochondrial import inner membrane translocase subunit Tim10B	32.48	4	6	4	33535.4918	5	
Q9Y0Y2	Adenylosuccinate synthetase	32.44	11	27	11	933385.24044	24	
Q9Y105	Probable glutamine--tRNA ligase	3.6	3	3	3	329282.3453	3	
Q9Y1A3	Mitochondrial import inner membrane translocase subunit Tim8	63.64	6	18	0	1341586.2893	16	
X2JAU8	Protein nervous wreck	29.3	30	114	30	1798055.173	100	
A0A023GPM5	Diacylglycerol kinase	7.87	8	12	0	12135.61575	7	
A0A0B4JCQ7	Suppressor of variegation 2-10, isoform K	5.03	3	3	0	23858.446239999997	3	
A0A0B4JCR9	Uncharacterized protein, isoform D	5.04	2	2	0	993.12987	2	
A0A0B4JCT7	Jabba, isoform F	19.37	11	28	0	192633.93554	22	
A0A0B4JCW4	Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial	63.86	25	140	0	257769.65899999999	6	
A0A0B4JCX2	RIM-binding protein, isoform G	5.01	9	16	0	40404.70987	10	
A0A0B4JCY5	Myosin heavy chain-like, isoform H	8.07	5	5	0	2793.2495	3	
A0A0B4JCY6	Cheerio, isoform I	31.43	63	129	0	2892829.61717	118	
A0A0B4JCZ0	Oxysterol-binding protein	4.44	5	8	0	11131.41783	5	
A0A0B4JD18	Related to the N terminus of tre oncogene, isoform E	7.48	4	6	0	23002.4216	4	
A0A0B4JD47	Missing-in-metastasis, isoform E	4.61	4	4	0	472.37415	1	
A0A0B4JD57	Zipper, isoform F	9.7	20	33	0	8946.93687	2	
A0A0B4JD97	Transforming acidic coiled-coil protein, isoform K	12.56	17	31	0	223776.13348000002	25	
A0A0B4K615	Smallish, isoform O	8.18	11	16	0	63501.9421	10	
A0A0B4K618	Fragile X messenger ribonucleoprotein 1, isoform G	8.5	6	10	0	23381.26659	9	
A0A0B4K620	Oxidation resistance protein 1	13.76	18	38	0	280474.03441	35	
A0A0B4K661	Tropomyosin 1, isoform Q	75.2	34	259	0	5253420.13635	161	
A0A0B4K663	Non-specific lethal 1, isoform N	4.02	5	8	0	22282.69005	6	
A0A0B4K6C8	Uncharacterized protein, isoform G	5.14	6	7	0	30730.443300000003	4	
A0A0B4K6I1	Scribble, isoform N	9.51	23	39	0	262038.76495	33	
A0A0B4K6K8	Musashi, isoform D	12.73	5	9	0	54982.72586	8	
A0A0B4K6P4	Hephaestus, isoform W	2.88	3	5	0	27699.34176	5	
A0A0B4K6Z2	Dystrobrevin	11.84	8	16	0	72405.74976	12	
A0A0B4K716	Diacylglycerol kinase	5.54	9	14	0	82599.3655	12	
A0A0B4K765	Paired amphipathic helix protein Sin3a	1.98	4	4	0	6648.99036	2	
A0A0B4K774	Abelson interacting protein, isoform D	15.72	8	16	0	93323.075	12	
A0A0B4K775	Golgin 97, isoform B	5.14	3	4	0	7009.08782	3	
A0A0B4K7A5	Hu li tai shao, isoform Q	53.59	36	151	0	4837060.86849	130	
A0A0B4K7B0	Smooth, isoform O	19.03	8	23	0	150620.98628	21	
A0A0B4K7C1	Aspartyl beta-hydroxylase, isoform H	3.86	4	6	0	26430.616500000004	4	
A0A0B4K7D8	Uncharacterized protein, isoform B	4.31	2	3	0	16302.22993	3	
A0A0B4K7E3	Phosphatidylinositol 4-phosphate 5-kinase 59B, isoform F	7.72	4	7	0	18475.34318	3	
A0A0B4K7H0	Tetratricopeptide repeat domain 7, isoform B	3.29	3	3	0	6352.801	1	
A0A0B4K7H3	Eucalyptus, isoform B	81.25	8	43	2	2355664.26598	41	
A0A0B4K7H7	Down syndrome cell adhesion molecule 1, isoform BY (Fragment)	2.62	5	6	0	60808.6976	5	
A0A0B4K7T7	Rho guanine nucleotide exchange factor 2, isoform G	2.19	5	5	0	761.25423	2	
A0A0B4K7U0	Myosin-7a binding protein, isoform M	8.12	19	54	0	661882.90159	49	
A0A0B4K7V8	Bruchpilot, isoform K	51.55	104	349	1	9908.51547	8	
A0A0B4K7X5	glycogenin glucosyltransferase	13.58	7	31	0	191712.28068	28	
A0A0B4K885	Kenny, isoform B	17.48	7	9	2	36171.31628	9	
A0A0B4K891	Poly(A) binding protein interacting protein 1, isoform E	16.15	8	14	0	32451.20243	12	
A0A0B4KED6	Defective proboscis extension response 12, isoform D	8.72	3	4	0	14931.2133	4	
A0A0B4KEE1	Aldehyde dehydrogenase	23.34	11	18	0	174470.7723	14	
A0A0B4KEE5	Myosin-7a binding protein, isoform Q	12.46	23	62	0	174352.515	9	
A0A0B4KEH7	CAP, isoform Y	12.79	32	56	0	268210.24924000003	46	
A0A0B4KEI5	Serrate RNA effector molecule homolog	8.34	9	11	1	20635.5274	8	
A0A0B4KEJ7	Coronin	17.01	9	17	0	90153.40254000001	14	
A0A0B4KEP1	Reduction in Cnn dots 1, isoform D	4.5	5	7	0	17548.377099999998	5	
A0A0B4KEP4	Myocyte enhancer factor 2, isoform G	2.35	1	1	0	2730.2646	1	
A0A0B4KER0	Relative of woc, isoform C	3.23	3	3	0	8350.2451	3	
A0A0B4KEW6	Amphiphysin, isoform B	47.41	25	90	1	24735.102	1	
A0A0B4KEX6	Jitterbug, isoform M	8.52	25	39	0	134256.74258	31	
A0A0B4KF06	Valine--tRNA ligase	1.52	2	2	0	2917.1142	2	
A0A0B4KF22	Juvenile hormone binding protein 2, isoform E	10.63	3	4	0	9558.19756	3	
A0A0B4KF34	Uncharacterized protein, isoform D	5.75	5	8	0	12707.384269999999	5	
A0A0B4KF46	E1 ubiquitin-activating enzyme	8.93	10	20	0	197335.97796	14	
A0A0B4KF84	Stretchin-Mlck, isoform S	1.17	10	13	0	41877.518800000005	10	
A0A0B4KFA3	Uncharacterized protein, isoform F	3.66	5	6	0	5821.2403300000005	4	
A0A0B4KFA6	alpha-glucosidase	31.75	16	39	0	1238881.08677	36	
A0A0B4KFD1	LDL receptor protein 1, isoform F	1.22	6	8	0	37428.6207	6	
A0A0B4KFE2	Like-AP180, isoform I	25.26	20	101	0	2819983.7653300003	81	
A0A0B4KFE4	long-chain-fatty-acid--CoA ligase	12.91	10	15	0	35245.01314	11	
A0A0B4KFE5	methenyltetrahydrofolate cyclohydrolase	22.44	9	22	1	177618.1711	18	
A0A0B4KFF6	DNAation factor-related protein 2, isoform D	13.88	7	20	0	444132.74275000003	12	
A0A0B4KFK4	Uncharacterized protein, isoform E	9.98	5	10	0	98470.74811999999	10	
A0A0B4KFQ3	DNAation factor-related protein 1, isoform B	15.03	4	7	0	11011.7059	6	
A0A0B4KFT3	Protein kinase C	11.94	9	12	0	82208.63776	9	
A0A0B4KFT9	Quaking related 54B, isoform E	8.1	5	12	0	40193.2537	9	
A0A0B4KFX8	Flapper, isoform C	3.46	3	5	0	10791.4187	4	
A0A0B4KFZ2	Uncharacterized protein, isoform G	4.13	4	5	0	13544.3678	4	
A0A0B4KFZ4	Transmembrane 4 superfamily, isoform C	3.42	1	2	0	5192.924400000001	2	
A0A0B4KG94	Uncharacterized protein, isoform B	7.71	4	8	0	82855.94427	8	
A0A0B4KGE5	Bonus, isoform C	8.86	10	13	0	34765.20156	8	
A0A0B4KGF0	Protein kinase D, isoform H	18.87	3	3	0	13669.5407	3	
