Accession	Description	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	Abundance: F8: 128N, Sample, n/a, SF1g_M3	Abundances Count: F8: 128N, Sample, n/a, SF1g_M3	Modifications
Q9VMU4	Large ribosomal subunit protein eL43	18.48	2	2	0	55215.097	2	
Q9VMU5	Protein quick-to-court	13.04	9	9	0	158638.72869999998	9	
Q9VMW7	Inosine triphosphate pyrophosphatase	63.35	12	22	12	1326094.3547	21	
Q9VMX0	Large ribosomal subunit protein bL28m	6.62	2	2	0	22594.5943	2	
Q9VMY1	Large ribosomal subunit protein uL24m	27.94	8	9	8	172089.72340000002	9	
Q9VMY9	Guanine deaminase	8.04	4	4	4	35611.957	3	
Q9VN12	Probable sodium/potassium/calcium exchanger CG1090	4.58	2	2	0	11704.4845	2	
Q9VN13	Sideroflexin-1-3	14.02	6	8	6	228445.49746	7	
Q9VN14	Contactin	19.93	25	44	25	1350601.9234	39	
Q9VN19	Golgi to ER traffic protein 4 homolog	10.32	3	3	0	31825.5072	2	
Q9VN25	Eukaryotic translation initiation factor 3 subunit A	2.28	3	3	3	13818.7449	3	
Q9VN50	Eukaryotic translation initiation factor 3 subunit F-1	20.36	6	9	6	520523.43580000004	7	
Q9VN91	MORN repeat-containing protein 4 homolog	43.43	8	35	8	2024872.97114	25	
Q9VN93	Cathepsin F	34.85	22	48	19	2465125.11614	41	
Q9VN95	Enolase-phosphatase E1	37.11	7	12	7	598622.7180000001	12	
Q9VNA4	Uncharacterized protein CG1161	9.25	2	4	0	84254.909	4	
Q9VNA5	Proteasome subunit beta type-4	40.3	7	9	7	187499.0838	8	
Q9VND8	GTP-binding protein Rheb homolog	21.98	5	11	5	542254.2772	11	
Q9VNE2	Protein krasavietz	19.91	11	23	11	938948.6631	20	
Q9VNE9	Large ribosomal subunit protein uL13	33.66	9	15	6	1150539.823	12	
Q9VNI3	Histone PARylation factor 1	1.56	1	1	1	8740.805	1	
Q9VP48	Ras-related protein Rab-26	7.99	3	12	0	11408.542	1	
Q9VP61	Acetyl-coenzyme A synthetase	13.88	10	12	0	129374.0799	12	
Q9VP65	Multifunctional methyltransferase subunit TRM112-like protein	26.61	3	6	3	43757.368500000004	6	
Q9VPC1	Distal membrane arm assembly component 2	9.15	3	3	3	115366.66600000001	3	
Q9VPH7	Eukaryotic peptide chain release factor subunit 1	11.42	5	7	0	161369.0376	7	
Q9VPL3	Large ribosomal subunit protein uL10m	14.92	4	5	4	142875.5018	5	
Q9VPQ2	DnaJ homolog shv	22.88	8	13	8	270361.57956	12	
Q9VQ29	Cytochrome b-c1 complex subunit Rieske, mitochondrial	43.04	10	55	10	6902802.77194	48	
Q9VQ62	NPC intracellular cholesterol transporter 2 homolog a	47.3	5	18	5	938216.1473	16	
Q9VQ79	Putative apoptosis-inducing factor 1, mitochondrial	12.04	7	12	0	179960.20904000002	10	
Q9VQ91	Tudor and KH domain-containing protein homolog	12.33	7	10	7	89928.6208	7	
Q9VQ93	Golgi phosphoprotein 3 homolog sauron	18.71	5	6	5	218828.6526	4	
Q9VQC4	Glycerate kinase	15.61	8	9	0	78995.6442	9	
Q9VQF7	Bacchus	40.79	6	15	6	754027.4986	14	
Q9VQF9	SNAPIN protein homolog	28.36	3	3	3	55049.595	3	
Q9VQG4	Congested-like trachea protein	27.45	9	22	8	1252477.116	20	
Q9VQQ0	Serine/threonine-protein phosphatase 2A activator	21.86	8	12	8	396523.2845	11	
Q9VQX4	Nicotinate phosphoribosyltransferase	10.45	7	7	0	75130.04490000001	7	
Q9VR35	Eukaryotic translation initiation factor 4E-binding protein Mextli	17.15	11	12	0	299403.709	11	
Q9VR59	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase	0.53	1	1	0	792.5312	1	
Q9VR81	N-acetylglucosamine-6-phosphate deacetylase	9.59	4	5	0	62734.18555	5	
Q9VR89	RNA-binding protein pno1	10.42	2	3	2	7865.7596	2	
Q9VR94	General odorant-binding protein 19a	10.27	2	4	2	103259.6096	4	
Q9VRJ9	Ubiquitin thioesterase Otu1	22.77	6	12	0	168859.63554	12	
Q9VRL2	Probable Golgi SNAP receptor complex member 2	13.43	3	3	3	17012.2217	3	
Q9VRP9	E3 ubiquitin-protein ligase Bre1	2.78	3	4	0	53485.394440000004	4	
Q9VRQ9	Glutaminyl-peptide cyclotransferase	7.94	3	5	3	21215.2302	4	
Q9VRV7	Splicing factor 3B subunit 6	16.53	2	5	2	68336.367	5	
Q9VRZ7	Ubiquinol-cytochrome c reductase complex assembly factor 1	16.22	4	6	4	332435.4542	5	
Q9VS34	Large ribosomal subunit protein eL18	20.21	3	8	0	323633.887	7	
Q9VS97	Peptidoglycan-recognition protein SD	16.67	2	3	2	49095.234	2	
Q9VSA3	Medium-chain specific acyl-CoA dehydrogenase, mitochondrial	49.16	20	98	20	8109435.4918	89	
Q9VSF3	Nedd8-conjugating enzyme UbcE2M	33.7	6	11	0	274857.31810000003	10	
Q9VSH4	Cleavage and polyadenylation specificity factor subunit 6	4.29	3	3	0	19381.561700000002	3	
Q9VSJ8	Exocyst complex component 7	8.23	6	8	6	82570.322	8	
Q9VSK9	Pseudouridylate synthase 7 homolog	4.63	3	3	3	16283.344	2	
Q9VSL3	Pyrimidodiazepine synthase	62.14	14	64	13	19232136.13931	62	
Q9VSR3	Translational regulator orb2	4.26	3	3	0	87027.109	3	
Q9VSS1	Protein Pixie	1.15	1	1	1	15595.992	1	
Q9VSS2	Signal recognition particle subunit SRP68	13.08	8	10	8	128941.0267	9	
Q9VSU7	Vesicle transport protein USE1	11.2	3	3	3	20757.0666	2	
Q9VSY4	Alpha-tubulin N-acetyltransferase 1	45.99	18	56	7	2172628.22907	52	
Q9VSY6	Phosphoserine phosphatase	16.3	4	5	4	335386.4869	5	
Q9VSZ6	Queuine tRNA-ribosyltransferase accessory subunit 2	1.91	1	1	1	21987.148	1	
Q9VT70	Nuclear distribution protein nudE homolog	11.67	3	3	0	20541.83	2	
Q9VTC4	MIP18 family protein galla-2	13.46	2	3	2	29681.285499999998	3	
Q9VTE0	Biogenesis of lysosome-related organelles complex 1 subunit 2	15.72	3	3	3	10121.3977	2	
Q9VTE5	Probable prefoldin subunit 2	53.15	8	18	0	1091741.5409	18	
Q9VTE9	Nedd8-activating enzyme E1 regulatory subunit	10.31	5	6	0	177315.3058	6	
Q9VTF9	Ubiquitin fusion degradation protein 1 homolog	17.09	6	8	6	298915.444	8	
Q9VTH0	Procollagen-lysine,2-oxoglutarate 5-dioxygenase	3.19	3	3	3	59358.561	3	
Q9VTJ4	Putative alpha-L-fucosidase	3.24	2	3	2	210104.45500000002	3	
Q9VTJ8	Mitochondrial import inner membrane translocase subunit TIM14	27.97	4	6	0	101059.0555	6	
Q9VTM6	UPAR/Ly6 domain-containing protein crim	20.25	3	5	3	102279.2059	5	
Q9VTP4	Large ribosomal subunit protein uL1	39.63	8	50	8	3170374.5308	44	
Q9VTU3	Rho GTPase-activating protein 68F	19.54	9	12	0	346856.081	11	
Q9VTZ5	Transferrin 2	24.42	20	23	20	541494.8304999999	20	
Q9VTZ6	Phosphomannomutase	39.37	10	13	10	187014.7969	12	
Q9VU08	Intermembrane lipid transfer protein Vps13D	0.2	1	3	1	19374.477	1	
Q9VU58	Neuropeptide-like 2	67.44	7	116	0	14691704.23086	112	
Q9VU68	Actin-interacting protein 1	29.77	20	40	20	1174466.8607	36	
Q9VU70	Tetratricopeptide repeat protein 36 homolog	28.11	4	5	4	73145.192	4	
Q9VU84	Drebrin-like protein	33.33	15	28	15	904113.3831	26	
Q9VU95	Alanine--glyoxylate aminotransferase 2-like	14.57	6	8	6	199973.1093	7	
Q9VUJ0	Large ribosomal subunit protein mL39	16.82	5	5	5	125361.10919999999	5	
Q9VUK8	Glycine--tRNA ligase	27.58	20	47	20	3397065.553	45	
Q9VUR3	Probable aminoacyl tRNA synthase complex-interacting multifunctional protein 2	19.16	8	10	1	323872.1434	10	
Q9VUY9	Phosphoglucomutase 1	38.04	20	45	20	1666222.811	38	
Q9VUZ1	Probable trafficking protein particle complex subunit 2	21.58	2	2	2	641.44916	1	
Q9VV36	Retinin	29.84	5	103	5	30102008.35418	84	
Q9VV43	Tubulin polymerization-promoting protein homolog	66.15	11	50	0	3247970.86352	43	
Q9VV72	Multiple inositol polyphosphate phosphatase 1	31.05	15	28	15	1644912.3671	27	
Q9VV74	Survival motor neuron protein	14.6	3	5	3	83484.02859999999	4	
Q9VVA0	Cold shock domain-containing protein CG9705	13.29	2	6	0	236574.08359999998	6	
Q9VVA6	Nuclear migration protein nudC	34.64	13	27	13	948221.55173	25	
Q9VVB4	Coiled-coil domain-containing protein 22 homolog	13.15	7	8	7	85200.533	7	
Q9VVE2	Protein rogdi	33.96	9	14	9	698213.1635	14	
Q9VVE5	RNA-binding protein Musashi homolog Rbp6	14.63	5	13	0	769248.6016500001	13	
Q9VVG6	Ubiquinone biosynthesis protein COQ4 homolog, mitochondrial	13.43	4	5	0	49537.614	5	
Q9VVH3	MICOS complex subunit MIC13 homolog QIL1	67.21	7	29	7	1245221.2939	28	
Q9VVI2	Enhancer of mRNA-decapping protein 3	11.76	7	8	7	53732.63186	8	
Q9VVI3	E3 ubiquitin-protein ligase Nedd-4	2.88	3	3	0	13215.579259999999	3	
Q9VVI9	Charged multivesicular body protein 5	69.47	12	41	0	1210380.4269	34	
Q9VVN2	Small ribosomal subunit protein mS26	19.56	4	6	4	56752.165	4	
Q9VVU5	COP9 signalosome complex subunit 1b	4.0	2	4	2	67351.1642	4	
Q9VVW3	Sideroflexin-2	15.6	5	7	5	250476.7347	7	
Q9VVW8	ATP-dependent (S)-NAD(P)H-hydrate dehydratase	23.33	5	6	5	112346.2179	4	
Q9VVY3	Glycogen-binding subunit 76A	12.48	7	8	0	34541.10223	7	
Q9VW12	UPF0389 protein CG9231	44.0	5	24	0	1624581.54474	21	
Q9VW14	rRNA methyltransferase 3, mitochondrial	7.13	3	3	3	8027.6855000000005	3	
Q9VW26	Ornithine aminotransferase, mitochondrial	19.03	7	12	7	222947.0247	10	
Q9VW56	Probable prefoldin subunit 6	60.8	7	20	0	869096.04692	20	
Q9VWA1	Clathrin light chain	43.84	14	43	0	4071241.0855300003	38	
Q9VWA8	Protein FRG1 homolog	6.49	2	2	2	46466.632	2	
Q9VWB1	DCN1-like protein 4	15.73	4	4	0	46627.5135	4	
Q9VWE0	Cytokine receptor	3.28	4	4	4	7070.5725299999995	3	
Q9VWF4	Dual specificity protein phosphatase MPK-4	6.46	2	2	2	4684.57542	2	
Q9VWG3	Small ribosomal subunit protein eS10B	30.62	7	15	0	637999.8348	11	
Q9VWH4	Probable isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial	70.56	29	221	28	36360827.40109	198	
Q9VWI0	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial	39.89	6	39	6	4638553.6871	26	
Q9VWN5	Ubiquitin carboxyl-terminal hydrolase MINDY-3 homolog	22.5	12	16	0	209462.49215	15	
Q9VWP4	Sulfite oxidase, mitochondrial	10.12	6	6	6	62022.2298	6	
Q9VWU1	Serine protease persephone	6.85	2	2	2	22563.938000000002	2	
Q9VWV8	Nitric oxide synthase-interacting protein homolog	6.51	2	4	2	228072.636	2	
Q9VWW0	Cyclic AMP response element-binding protein B	2.51	1	1	0	2798.5051	1	
Q9VWX8	Frequenin-2	54.01	10	42	4	2880504.6469	40	
Q9VWY6	Transcription initiation factor TFIID subunit 8	9.15	3	3	3	17761.338	2	
Q9VX10	Sulfiredoxin	11.73	2	3	0	49387.62333	3	
Q9VX98	Density-regulated protein homolog	50.26	8	14	8	265598.6772	12	
Q9VXB0	NECAP-like protein CG9132	45.53	10	29	2	3261300.2319	27	
Q9VXB5	Large ribosomal subunit protein uL22m	5.58	1	1	1	16771.486	1	
Q9VXE0	Probable small nuclear ribonucleoprotein G	76.32	6	10	6	401073.4004	10	
Q9VXE5	Serine/threonine-protein kinase PAK mbt	8.61	5	6	5	25748.1468	4	
Q9VXE6	Nuclear pore complex protein Nup153	2.44	3	4	0	21152.0887	4	
Q9VXF1	Serine/threonine-protein phosphatase 2B catalytic subunit 3	38.87	19	55	0	3364547.057	53	
Q9VXG4	Annexin B11	22.31	13	30	13	2089244.4613	28	
Q9VXJ0	Peroxisomal multifunctional enzyme type 2	25.25	14	19	0	679108.8885	16	
Q9VXK0	Protein NipSnap	15.38	4	6	0	315937.50539999997	6	
Q9VXK6	Eukaryotic translation initiation factor 5	23.92	10	14	10	279363.4215	14	
Q9VXN2	Protein stunted	55.74	4	15	4	575150.2605999999	9	
Q9VXN4	Probable arginine--tRNA ligase, cytoplasmic	6.62	4	5	4	54863.3058	5	
Q9VXP4	Platelet-activating factor acetylhydrolase IB subunit beta homolog	38.22	8	21	8	895059.94819	19	
Q9VXT7	Probable isoaspartyl peptidase/L-asparaginase CG7860	12.95	4	7	0	587398.9319999999	7	
Q9VXY0	Probable cytochrome P450 4s3	4.44	3	3	3	16062.8017	3	
Q9VXY7	Lipid storage droplets surface-binding protein 2	53.41	15	33	1	2198509.1821	31	
Q9VY28	Small ribosomal subunit protein mS25	19.16	3	5	3	51734.8909	5	
Q9VY77	LIM domain-containing protein jub	6.04	4	4	0	8157.6198	3	
Q9VY78	Chloride intracellular channel Clic	23.46	6	14	6	920285.4452	11	
Q9VY93	Probable methylthioribulose-1-phosphate dehydratase	14.1	3	3	0	94788.5752	3	
Q9VYB7	Protein-tyrosine sulfotransferase	5.61	3	3	0	13904.848999999998	2	
Q9VYD7	Mitochondrial import inner membrane translocase subunit Tim9	67.37	6	12	0	673707.6495	12	
Q9VYF8	2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial	3.99	1	1	0	960.54614	1	
Q9VYG1	26S proteasome non-ATPase regulatory subunit 5	3.56	2	2	0	29679.5106	2	
Q9VYG2	Brahma-associated protein of 60 kDa	2.33	1	1	1	4038.5461	1	
Q9VYH3	Probable alpha-aspartyl dipeptidase	29.17	6	13	0	565496.4102	10	
Q9VYI3	Large ribosomal subunit protein mL49	5.59	1	1	0	18230.75	1	
Q9VYQ8	Ubiquitin carboxyl-terminal hydrolase 7	4.25	5	5	0	35146.53607	4	
Q9VYR0	LSM12 homolog A	14.29	3	5	3	150317.1812	4	
Q9VYS5	NADH dehydrogenase (ubiquinone) complex I, assembly factor 6 homolog	5.09	2	2	2	27641.298000000003	2	
Q9VYV3	Thioredoxin domain-containing protein 5 homolog	59.13	24	58	24	3710880.2034	57	
Q9VYV9	COMM domain-containing protein 10 homolog Vlet	12.18	3	4	0	60833.3497	4	
Q9VYX1	Enhancer of yellow 2 transcription factor	40.59	3	4	3	111567.052	2	
Q9VYY2	Signal peptidase complex subunit 2	49.25	11	18	0	818563.64295	18	
Q9VYY3	Ubiquitin-like modifier-activating enzyme 5	22.77	9	11	9	300547.751	10	
Q9VZ23	GTP-binding nuclear protein Ran	54.63	11	34	0	3590181.38566	33	
Q9VZ35	Protein Vago	20.62	2	2	2	9900.3321	2	
Q9VZ40	Uncharacterized protein CG1552	33.7	4	7	0	307495.79344	7	
Q9VZ49	Endoribonuclease Arlr	18.07	10	26	10	683814.829	24	
Q9VZ64	Probable 6-phosphogluconolactonase	52.26	12	25	12	1295553.5777	23	
Q9VZA4	Band 7 protein CG42540	16.24	7	11	0	104583.27187	11	
Q9VZD5	Small ribosomal subunit protein bS6m	13.61	2	3	0	196644.131	3	
Q9VZD8	THUMP domain-containing protein 1 homolog	13.89	4	4	4	20798.593	3	
Q9VZE7	Choline transporter-like 1	2.32	1	1	0	17785.006	1	
Q9VZI3	Unc-112-related protein	9.18	6	6	6	39638.53585	6	
Q9VZJ9	Mitochondrial E3 ubiquitin protein ligase 1	9.76	3	3	3	14702.513159999999	3	
Q9VZL5	Vacuolar fusion protein CCZ1 homolog	3.09	1	1	1	6998.773	1	
Q9VZL6	Ragulator complex protein LAMTOR4 homolog	21.67	2	3	0	78635.73300000001	2	
Q9VZS3	Eukaryotic translation initiation factor eIF1	81.82	7	11	7	491472.807	9	
Q9VZS5	Large ribosomal subunit protein eL28	59.72	12	34	0	2316161.0746999998	32	
Q9VZU4	NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial	64.53	16	83	16	3274505.8802	66	
Q9VZX9	Adenosylhomocysteinase-like 1	24.76	11	18	9	545468.8977	18	
Q9W021	Large ribosomal subunit protein uL23m	11.33	2	2	0	54167.387	1	
Q9W058	Succinyl-CoA:3-ketoacid-coenzyme A transferase, mitochondrial	53.1	19	62	1	3746863.8676	57	
Q9W074	Protein HBS1	4.63	3	3	3	23402.6106	3	
Q9W0A0	Protein draper	6.21	5	7	0	32103.644800000002	6	
Q9W0C1	Neuronal synaptobrevin	47.54	7	38	7	4049725.0596	36	
Q9W0C7	Protein OPI10 homolog	11.68	2	2	2	5491.3735	1	
Q9W0G1	Tyrosine-protein phosphatase non-receptor type 61F	9.49	6	7	4	60763.112940000006	6	
Q9W0H3	Lipid droplet-associated hydrolase	24.1	8	13	8	157262.1804	13	
Q9W0P5	UDP-glucose 4-epimerase	30.29	11	17	0	921060.8612	16	
Q9W0S7	Staphylococcal nuclease domain-containing protein 1	18.36	17	22	17	841254.0269	20	
Q9W0Y1	Troponin C-akin-1 protein	24.55	5	11	2	297877.2693	10	
Q9W0Y2	Putative gamma-glutamylcyclotransferase CG2811	7.64	2	2	0	32986.542	2	
Q9W0Y6	Transient receptor potential cation channel protein painless	1.1	1	1	1	3548.835	1	
Q9W141	Putative ATP synthase subunit f, mitochondrial	49.53	6	53	6	13220562.6793	41	
Q9W197	7-methylguanosine phosphate-specific 5'-nucleotidase	14.42	5	7	5	246078.0457	7	
Q9W1A4	Protein tamozhennic	6.65	4	5	0	17142.32635	5	
Q9W1C9	Ejaculatory bulb-specific protein 3	57.14	13	92	0	67116063.535	90	
Q9W1G0	Probable transaldolase	56.5	17	62	17	7561308.8919	59	
Q9W1H9	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 3	8.16	1	1	1	6443.512	1	
Q9W1K0	Transmembrane protein 14 homolog	13.39	2	7	0	978121.64	6	
Q9W1K5	Sestrin homolog	1.41	1	1	0	23283.963	1	
Q9W1L5	Peptidyl-alpha-hydroxyglycine alpha-amidating lyase 2	8.87	2	3	0	130208.209	3	
Q9W1V3	rRNA 2'-O-methyltransferase fibrillarin	21.51	7	8	7	420998.912	7	
Q9W1X4	Nuclear pore complex protein Nup214	5.26	7	8	7	63334.4984	7	
Q9W1X8	Probable GDP-L-fucose synthase	19.63	5	6	5	54301.7698	5	
Q9W1X9	OCIA domain-containing protein 1	27.63	5	8	0	44811.8375	6	
Q9W1Y1	ER membrane protein complex subunit 8/9 homolog	21.67	4	6	4	334648.348	6	
Q9W237	Small ribosomal subunit protein uS9	70.95	16	57	0	5296893.36558	49	
Q9W265	Probable hydroxyacid-oxoacid transhydrogenase, mitochondrial	18.97	9	10	9	299224.28	10	
Q9W266	Protein windpipe	13.44	10	18	10	616801.16313	18	
Q9W2D6	Mitochondrial import inner membrane translocase subunit Tim10	72.83	7	23	7	2057857.5544999999	23	
Q9W2D9	Eukaryotic translation initiation factor 3 subunit K	41.89	7	15	7	761045.5033	13	
Q9W2E7	Protein Rae1	17.63	6	8	6	361954.965	7	
Q9W2M2	Trehalase	40.94	22	40	0	1049957.1773	37	
Q9W2N0	F-actin-capping protein subunit alpha	17.83	5	7	5	211536.30099999998	6	
Q9W2R3	Phosphatidylinositol 4-phosphate 5-kinase type-1 sktl	1.89	2	2	2	41652.2726	2	
Q9W2U4	Serine/threonine-protein phosphatase 4 regulatory subunit 2	12.64	6	6	0	24820.24817	5	
Q9W2Y3	NAD(P)H-hydrate epimerase	38.7	7	8	7	164289.55839999998	7	
Q9W303	Chitinase-like protein Idgf4	54.3	23	92	0	4888168.5565	71	
Q9W334	Small ribosomal subunit protein eS28	69.23	5	18	0	787688.3261000001	15	
Q9W358	Chaperone Ric-8	8.55	6	6	0	58061.24572	4	
Q9W369	Beta-alanyl-dopamine/carcinine hydrolase	57.88	22	103	22	8075068.4675	97	
Q9W379	Zinc finger protein ZPR1	22.32	8	9	8	187117.6202	8	
Q9W380	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 3	19.48	3	8	3	300381.458	6	
Q9W385	Frataxin homolog, mitochondrial	16.84	4	6	4	226215.9514	6	
Q9W3C7	Palmitoyl-protein thioesterase 1	5.73	2	4	0	148733.745	4	
Q9W3E2	Protein PIP82	26.03	29	40	29	258499.90626	29	
Q9W3J5	Phenylalanine--tRNA ligase alpha subunit	18.88	10	11	10	200137.5113	11	
Q9W3K5	Glutamate--cysteine ligase	3.77	3	3	0	31812.11434	3	
Q9W3N6	General vesicular transport factor p115	13.88	9	11	9	97928.63	8	
Q9W3T7	UPAR/Ly6 domain-containing protein bou	12.08	2	4	2	252115.2957	4	
Q9W3W8	Large ribosomal subunit protein uL22	29.03	6	9	0	194514.9463	8	
Q9W3Y0	Zinc finger protein 593 homolog	27.16	3	3	3	5002.1624	3	
Q9W3Z3	Alanine--glyoxylate aminotransferase	5.08	2	4	2	9125.8897	2	
Q9W401	Probable citrate synthase, mitochondrial	60.99	28	217	28	46485179.65343	182	
Q9W415	tRNA (guanine-N(7)-)-methyltransferase non-catalytic subunit wuho	18.16	6	7	6	158182.37660000002	5	
Q9W436	Neprilysin-1	7.54	6	7	6	55069.130600000004	6	
Q9W445	Malignant T-cell-amplified sequence 1 homolog	37.36	6	8	6	88536.0203	8	
Q9W4D2	RNA-binding protein 4F	2.44	2	2	0	2031.1139	1	
Q9W4K2	Uncharacterized protein CG3556	6.39	4	7	0	191848.01425	5	
Q9W4P5	V-type proton ATPase subunit d 1	31.14	9	18	9	1086985.0685999999	18	
Q9W4T4	3',5'-cyclic-AMP phosphodiesterase, isoform I	17.12	17	26	0	354175.90052	24	
Q9W4V8	Mitochondrial import inner membrane translocase subunit TIM50-C	20.09	7	11	0	404982.282	11	
Q9W4X7	Eukaryotic translation initiation factor 3 subunit G-1	34.2	10	24	9	1922981.654	23	
Q9W552	Vacuolar protein sorting-associated protein 26	19.67	6	9	6	107332.6043	5	
Q9W596	Microtubule-associated protein futsch	30.08	101	161	0	3413701.06344	149	
Q9W5E1	RING-box protein 1A	22.22	2	4	0	98376.544	4	
Q9W5N0	Cytochrome c oxidase assembly factor 7 homolog	39.1	11	25	0	1320920.6149	25	
Q9W5N2	Large ribosomal subunit protein eL38	28.57	2	11	0	241563.96610000002	10	
Q9W5P1	Mediator of RNA polymerase II transcription subunit 21	13.38	2	3	2	33146.4342	3	
Q9W5R8	Large ribosomal subunit protein uL18	21.07	9	16	0	784808.4506	15	
Q9W5Y0	Neprilysin-3	1.02	1	1	1	6498.904	1	
Q9XTL9	Glycogen phosphorylase	43.13	40	74	0	1685189.6072	63	
Q9XTM1	Exocyst complex component 5	1.27	1	1	1	2546.285	1	
Q9XTN2	Insulin receptor substrate 1	1.86	2	2	0	6211.685	1	
Q9XY35	Cytochrome b-c1 complex subunit 9	41.82	2	12	2	912462.4095000001	10	
Q9XYM0	Adapter molecule Crk	49.45	13	35	0	1683263.6492	29	
Q9XYZ5	DNA damage-binding protein 1	4.82	6	6	6	69227.9423	5	
Q9XZ14	Protein gone early	8.19	5	6	0	31022.237399999998	5	
Q9XZ58	COP9 signalosome complex subunit 5	25.99	7	13	1	153045.5582	12	
Q9XZ63	Mesencephalic astrocyte-derived neurotrophic factor homolog	31.21	7	16	7	1206429.7131	16	
Q9XZH6	V-type proton ATPase subunit G	40.17	6	24	0	2462145.8654	19	
Q9XZJ4	Proteasome subunit alpha type-6	44.26	12	38	0	4167478.098	35	
Q9XZL8	Protein sarah	31.16	7	13	0	272951.39	9	
Q9Y091	Pre-mRNA-splicing regulator female-lethal(2)D	3.73	2	2	0	13165.0076	2	
Q9Y0I1	NuA4 complex subunit EAF3 homolog	6.6	2	2	0	51257.162800000006	2	
Q9Y0V3	Mitochondrial import inner membrane translocase subunit Tim10B	47.01	5	8	5	32288.944199999998	6	
Q9Y0Y2	Adenylosuccinate synthetase	30.43	12	21	12	705454.85683	20	
Q9Y105	Probable glutamine--tRNA ligase	4.76	4	5	4	193624.496	4	
Q9Y1A3	Mitochondrial import inner membrane translocase subunit Tim8	44.32	5	17	0	1798604.749	15	
X2JAU8	Protein nervous wreck	40.0	41	115	41	7115642.61923	101	
A0A021WW32	Verthandi, isoform B	2.21	2	2	0	20100.734	1	
A0A023GPM5	Diacylglycerol kinase	13.32	12	17	0	202363.32155999998	16	
A0A0B4JCR9	Uncharacterized protein, isoform D	2.88	1	1	0	30649.66	1	
A0A0B4JCT7	Jabba, isoform F	15.27	8	17	0	299533.35599999997	15	
A0A0B4JCW4	Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial	66.08	27	176	0	94955.614	5	
A0A0B4JCX2	RIM-binding protein, isoform G	8.37	12	16	0	296198.8875	14	
A0A0B4JCY5	Myosin heavy chain-like, isoform H	3.38	2	2	0	5476.04184	2	
A0A0B4JCY6	Cheerio, isoform I	37.5	70	122	0	8121815.18697	116	
A0A0B4JCZ0	Oxysterol-binding protein	2.73	3	3	0	17717.591699999997	3	
A0A0B4JD18	Related to the N terminus of tre oncogene, isoform E	2.35	1	1	0	3261.5603	1	
A0A0B4JD97	Transforming acidic coiled-coil protein, isoform K	16.49	21	30	0	414004.66948	29	
A0A0B4K615	Smallish, isoform O	10.77	14	16	0	212082.66025	13	
A0A0B4K618	Fragile X messenger ribonucleoprotein 1, isoform G	10.29	6	7	0	45438.6051	5	
A0A0B4K620	Oxidation resistance protein 1	13.84	17	21	0	558292.68814	21	
A0A0B4K661	Tropomyosin 1, isoform Q	82.4	41	229	0	18917673.32871	167	
A0A0B4K663	Non-specific lethal 1, isoform N	5.54	6	9	0	40594.9416	5	
A0A0B4K6C8	Uncharacterized protein, isoform G	3.9	5	7	0	82229.497	7	
A0A0B4K6I1	Scribble, isoform N	11.94	25	37	0	593257.79473	37	
A0A0B4K6K8	Musashi, isoform D	16.69	7	14	0	533901.7481	13	
A0A0B4K6P4	Hephaestus, isoform W	4.51	4	4	0	96077.1097	4	
A0A0B4K6Z2	Dystrobrevin	16.46	11	13	0	239554.54166	12	
A0A0B4K709	Uncharacterized protein, isoform E	9.93	6	7	0	78605.3303	6	
A0A0B4K716	Diacylglycerol kinase	4.47	7	8	0	209704.9485	8	
A0A0B4K765	Paired amphipathic helix protein Sin3a	1.89	4	5	0	23286.65926	4	
A0A0B4K774	Abelson interacting protein, isoform D	29.77	11	19	0	340580.13648	17	
A0A0B4K775	Golgin 97, isoform B	1.99	1	1	0	2267.4626	1	
A0A0B4K7A5	Hu li tai shao, isoform Q	62.38	42	137	1	9915905.69949	125	
A0A0B4K7B0	Smooth, isoform O	20.65	9	17	0	662994.6224	15	
A0A0B4K7C1	Aspartyl beta-hydroxylase, isoform H	8.47	7	9	0	131181.1466	7	
A0A0B4K7D8	Uncharacterized protein, isoform B	5.46	2	2	0	29072.8385	2	
A0A0B4K7E3	Phosphatidylinositol 4-phosphate 5-kinase 59B, isoform F	11.71	6	6	0	27607.457000000002	5	
A0A0B4K7H0	Tetratricopeptide repeat domain 7, isoform B	1.29	1	1	0	1639.5985	1	
A0A0B4K7H3	Eucalyptus, isoform B	81.25	8	45	2	6287967.27754	42	
A0A0B4K7H7	Down syndrome cell adhesion molecule 1, isoform BY (Fragment)	3.51	7	8	0	53896.2603	6	
A0A0B4K7T7	Rho guanine nucleotide exchange factor 2, isoform G	1.13	3	3	0	3584.81675	2	
A0A0B4K7U0	Myosin-7a binding protein, isoform M	12.92	28	69	0	2600421.64232	66	
A0A0B4K7V8	Bruchpilot, isoform K	54.13	106	316	1	71352.92679999999	5	
