Accession	Description	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	Abundance: F5: 130C, Sample, n/a, ctrl_pool_1	Abundance: F5: 131, Sample, n/a, ctrl_pool_2	Modifications
Q9VN95	Enolase-phosphatase E1	17.97	4	13	4	139183.352	124998.52547	
Q9VNA4	Uncharacterized protein CG1161	9.25	2	4	0	3327.7780000000002	940.5924	
Q9VNA5	Proteasome subunit beta type-4	27.99	5	5	5	262536.0045	216362.9325	
Q9VND8	GTP-binding protein Rheb homolog	26.37	6	15	6	179466.44738	162020.96673000001	
Q9VNE2	Protein krasavietz	22.04	12	30	12	453890.35891	406101.78427	
Q9VNE9	Large ribosomal subunit protein uL13	24.39	7	12	3	208882.74693	186199.601	
Q9VNI3	Histone PARylation factor 1	9.8	4	4	4	9096.8682	9909.43194	
Q9VP48	Ras-related protein Rab-26	12.89	5	12	0	17762.8663	13928.33584	
Q9VP61	Acetyl-coenzyme A synthetase	13.58	10	14	0	133580.2154	111480.3001	
Q9VPC1	Distal membrane arm assembly component 2	6.34	2	2	2	41306.546700000006	27216.66	
Q9VPH7	Eukaryotic peptide chain release factor subunit 1	3.65	2	3	0	14958.0983	6987.69416	
Q9VPL3	Large ribosomal subunit protein uL10m	12.5	4	7	4	53118.6249	37958.76933	
Q9VPQ2	DnaJ homolog shv	8.76	4	6	4	31755.03534	19192.214200000002	
Q9VQ29	Cytochrome b-c1 complex subunit Rieske, mitochondrial	42.17	8	52	8	2374273.68315	1972052.11011	
Q9VQ62	NPC intracellular cholesterol transporter 2 homolog a	47.3	5	25	5	777703.8718	610011.2101799999	
Q9VQ79	Putative apoptosis-inducing factor 1, mitochondrial	11.91	8	11	0	44024.0879	29157.3535	
Q9VQ91	Tudor and KH domain-containing protein homolog	11.46	6	9	6	24246.368000000002	15223.19674	
Q9VQ93	Golgi phosphoprotein 3 homolog sauron	9.86	4	6	4	79964.7927	69423.4211	
Q9VQC4	Glycerate kinase	13.14	9	14	0	140272.69805	99807.1809	
Q9VQF7	Bacchus	38.16	4	21	4	446436.15578	271882.1385	
Q9VQG4	Congested-like trachea protein	24.84	9	25	8	225393.1747	189137.23028	
Q9VQQ0	Serine/threonine-protein phosphatase 2A activator	17.59	7	17	7	329799.67459999997	273143.2058	
Q9VQX4	Nicotinate phosphoribosyltransferase	6.85	4	7	0	36238.6967	27632.69416	
Q9VR35	Eukaryotic translation initiation factor 4E-binding protein Mextli	12.56	9	22	0	180162.3155	164249.32194	
Q9VR59	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase	2.0	3	3	0	3295.8362	1915.2094	
Q9VR81	N-acetylglucosamine-6-phosphate deacetylase	3.84	2	4	0	2104.95085	1654.8359	
Q9VR89	RNA-binding protein pno1	6.25	2	3	2	12144.8596	10071.2252	
Q9VR94	General odorant-binding protein 19a	10.27	2	3	2	5420.0575	4651.80124	
Q9VRJ9	Ubiquitin thioesterase Otu1	14.41	5	17	0	89003.56257	59380.582109999996	
Q9VRL2	Probable Golgi SNAP receptor complex member 2	13.43	3	6	3	2900.9649600000002	1220.74017	
Q9VRL3	Probable prefoldin subunit 4	14.49	3	6	3	163200.1802	111646.5215	
Q9VRP9	E3 ubiquitin-protein ligase Bre1	5.56	7	8	0	24449.7244	14420.3405	
Q9VRQ9	Glutaminyl-peptide cyclotransferase	5.88	3	8	3	13770.12284	7308.83948	
Q9VRV7	Splicing factor 3B subunit 6	30.58	4	7	4	35204.42243	29033.16947	
Q9VRZ7	Ubiquinol-cytochrome c reductase complex assembly factor 1	24.32	6	12	6	85351.19579	66424.05127	
Q9VS34	Large ribosomal subunit protein eL18	26.06	4	16	0	287739.4962	349568.15386	
Q9VS97	Peptidoglycan-recognition protein SD	12.9	3	4	3	28806.549600000002	25729.5396	
Q9VSA3	Medium-chain specific acyl-CoA dehydrogenase, mitochondrial	47.02	20	86	20	1452423.36299	1146595.54228	
Q9VSF3	Nedd8-conjugating enzyme UbcE2M	25.97	6	11	0	73715.89853	70595.2096	
Q9VSH4	Cleavage and polyadenylation specificity factor subunit 6	3.37	2	2	1	2498.8381	3142.875	
Q9VSJ8	Exocyst complex component 7	10.53	8	12	8	26247.25688	21364.42546	
Q9VSK9	Pseudouridylate synthase 7 homolog	7.77	6	6	6	23478.54847	18461.972840000002	
Q9VSL3	Pyrimidodiazepine synthase	55.97	11	73	10	1671824.43374	1685547.07845	
Q9VSR3	Translational regulator orb2	7.39	4	5	0	5121.40768	2436.4705	
Q9VSS1	Protein Pixie	5.56	4	4	4	41651.7944	24359.7756	
Q9VSS2	Signal recognition particle subunit SRP68	12.42	8	13	8	48156.33297	41319.36376000001	
Q9VSU7	Vesicle transport protein USE1	22.8	6	9	6	57615.273199999996	38796.47687	
Q9VSY4	Alpha-tubulin N-acetyltransferase 1	33.84	18	61	8	1031341.57776	773871.6163999999	
Q9VSY6	Phosphoserine phosphatase	30.0	7	20	7	146152.8663	113945.99934000001	
Q9VSZ6	Queuine tRNA-ribosyltransferase accessory subunit 2	1.91	1	1	1	2259.778	891.5746	
Q9VT70	Nuclear distribution protein nudE homolog	7.26	2	2	0	16582.9093	13329.4054	
Q9VTE0	Biogenesis of lysosome-related organelles complex 1 subunit 2	4.4	1	2	1	27800.67	20667.673	
Q9VTE5	Probable prefoldin subunit 2	35.66	5	16	0	232321.0787	177625.86560000002	
Q9VTE9	Nedd8-activating enzyme E1 regulatory subunit	13.93	7	9	0	29079.18725	21897.25175	
Q9VTF9	Ubiquitin fusion degradation protein 1 homolog	8.23	4	9	4	125073.28782	92785.34874	
Q9VTJ4	Putative alpha-L-fucosidase	4.45	3	4	3	8711.38296	8341.4176	
Q9VTJ8	Mitochondrial import inner membrane translocase subunit TIM14	15.25	2	3	0	39680.967000000004	32197.992	
Q9VTM6	UPAR/Ly6 domain-containing protein crim	31.65	4	11	4	99324.26762	62797.04372	
Q9VTP4	Large ribosomal subunit protein uL1	40.55	9	32	9	1414603.1889	1168003.13206	
Q9VTU3	Rho GTPase-activating protein 68F	15.76	8	12	0	57422.5032	50804.00177	
Q9VTZ5	Transferrin 2	17.95	16	27	16	152615.93565	109673.2369	
Q9VTZ6	Phosphomannomutase	21.26	5	11	5	84683.7649	81440.73741999999	
Q9VU08	Intermembrane lipid transfer protein Vps13D	0.38	2	10	2	177922.2876	151728.91950000002	
Q9VU58	Neuropeptide-like 2	66.28	6	133	0	10315665.12039	7477287.74374	
Q9VU68	Actin-interacting protein 1	21.38	13	35	13	301047.17559	251988.01633	
Q9VU70	Tetratricopeptide repeat protein 36 homolog	17.84	4	6	4	41020.51004	25575.2	
Q9VU84	Drebrin-like protein	12.99	8	24	8	320318.36342	217663.10394	
Q9VU95	Alanine--glyoxylate aminotransferase 2-like	14.17	6	12	6	43365.68303	37248.13801	
Q9VUJ0	Large ribosomal subunit protein mL39	16.82	5	7	5	21825.69934	15865.8904	
Q9VUK8	Glycine--tRNA ligase	17.12	14	37	14	891469.38905	705683.50142	
Q9VUR3	Probable aminoacyl tRNA synthase complex-interacting multifunctional protein 2	16.47	7	12	0	202798.69113999998	37562.87414	
Q9VUY9	Phosphoglucomutase 1	30.36	18	47	18	386730.91977000004	343002.7051	
Q9VUZ1	Probable trafficking protein particle complex subunit 2	5.76	1	1	1	5854.169	4893.439	
Q9VV36	Retinin	31.94	8	155	8	4607206.57549	3471326.37459	
Q9VV43	Tubulin polymerization-promoting protein homolog	53.12	9	54	0	905841.46427	775722.96297	
Q9VV72	Multiple inositol polyphosphate phosphatase 1	22.91	12	33	12	221624.98916	192432.30754	
Q9VV74	Survival motor neuron protein	11.95	3	4	3	17754.39675	10645.692500000001	
Q9VVA0	Cold shock domain-containing protein CG9705	13.29	2	5	0	15983.18	10983.4499	
Q9VVA6	Nuclear migration protein nudC	27.41	10	34	10	486728.59803	405111.35504	
Q9VVB4	Coiled-coil domain-containing protein 22 homolog	10.99	6	10	6	46184.1126	28760.91105	
Q9VVE2	Protein rogdi	26.49	7	15	7	252379.67656	243385.1227	
Q9VVE5	RNA-binding protein Musashi homolog Rbp6	12.2	4	7	0	34555.8525	27270.630839999998	
Q9VVG6	Ubiquinone biosynthesis protein COQ4 homolog, mitochondrial	12.69	4	6	0	16155.5189	16189.5656	
Q9VVH3	MICOS complex subunit MIC13 homolog QIL1	49.18	5	14	5	1264911.59708	1075894.53556	
Q9VVI2	Enhancer of mRNA-decapping protein 3	8.24	6	7	6	21518.01794	14212.30214	
Q9VVI9	Charged multivesicular body protein 5	52.65	10	29	0	588031.39399	390493.67055	
Q9VVN2	Small ribosomal subunit protein mS26	17.78	4	6	4	22879.025200000004	17133.5193	
Q9VVU5	COP9 signalosome complex subunit 1b	5.71	3	5	3	15585.1404	15651.5974	
Q9VVW3	Sideroflexin-2	10.7	4	10	4	15161.15696	12595.93334	
Q9VVW8	ATP-dependent (S)-NAD(P)H-hydrate dehydratase	16.0	4	8	4	36017.7281	29253.0066	
Q9VVY3	Glycogen-binding subunit 76A	6.17	4	8	0	11621.5755	6614.4709	
Q9VW12	UPF0389 protein CG9231	41.6	5	24	0	579391.15659	483625.3902	
Q9VW14	rRNA methyltransferase 3, mitochondrial	18.18	7	11	7	23061.20177	17234.24609	
Q9VW26	Ornithine aminotransferase, mitochondrial	18.1	8	17	8	101083.2524	83085.76905	
Q9VW56	Probable prefoldin subunit 6	44.8	6	30	0	341253.27429	246926.19338	
Q9VWA1	Clathrin light chain	41.55	12	58	0	2715213.55664	1995802.7467399999	
Q9VWA8	Protein FRG1 homolog	11.07	4	7	4	27065.4583	18240.6675	
Q9VWB1	DCN1-like protein 4	8.87	2	3	1	24301.5517	18822.3852	
Q9VWE0	Cytokine receptor	0.78	1	2	1	835.8231	1148.87208	
Q9VWG3	Small ribosomal subunit protein eS10B	28.12	7	15	0	371283.8938	258082.75826	
Q9VWH4	Probable isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial	69.23	29	196	28	16035300.88929	13969025.01914	
Q9VWI0	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial	57.38	7	25	7	1162997.42995	784248.8064	
Q9VWN5	Ubiquitin carboxyl-terminal hydrolase MINDY-3 homolog	17.32	9	22	0	46541.8182	34752.10736	
Q9VWP4	Sulfite oxidase, mitochondrial	8.55	5	7	5	10855.29329	6526.69477	
Q9VWU1	Serine protease persephone	8.88	4	6	4	32425.1105	26046.5464	
Q9VWV8	Nitric oxide synthase-interacting protein homolog	10.75	3	3	3	13774.4263	7467.6697	
Q9VWW0	Cyclic AMP response element-binding protein B	6.41	3	4	0	24476.343	15132.91615	
Q9VWX8	Frequenin-2	37.43	8	52	3	1294211.06984	927616.28388	
Q9VWY6	Transcription initiation factor TFIID subunit 8	6.1	2	4	2	16416.61	11742.704099999999	
Q9VX10	Sulfiredoxin	11.73	2	4	0	16722.9374	13126.7792	
Q9VX98	Density-regulated protein homolog	29.63	4	17	4	434114.6508	365723.50667	
Q9VXB0	NECAP-like protein CG9132	44.72	9	39	3	563366.5945	439619.38406	
Q9VXB5	Large ribosomal subunit protein uL22m	12.88	3	3	3	16572.12795	15112.723399999999	
Q9VXE0	Probable small nuclear ribonucleoprotein G	59.21	4	9	4	182458.8026	125047.55720000001	
Q9VXE5	Serine/threonine-protein kinase PAK mbt	8.76	4	9	4	13185.7424	10911.31363	
Q9VXE6	Nuclear pore complex protein Nup153	1.91	3	4	0	14403.5701	8762.603920000001	
Q9VXF1	Serine/threonine-protein phosphatase 2B catalytic subunit 3	39.9	18	82	0	598789.05904	451419.53841	
Q9VXG4	Annexin B11	23.68	14	41	14	613481.34316	565229.22667	
Q9VXJ0	Peroxisomal multifunctional enzyme type 2	21.07	11	19	0	112255.9181	113268.6279	
Q9VXK0	Protein NipSnap	9.89	3	16	0	254918.15933999998	246964.68774000002	
Q9VXK6	Eukaryotic translation initiation factor 5	18.32	10	21	9	199720.67081	167134.60530999998	
Q9VXN2	Protein stunted	81.97	6	16	6	682035.5921	421427.0147	
Q9VXN4	Probable arginine--tRNA ligase, cytoplasmic	12.63	9	10	9	27131.1522	22973.78623	
Q9VXP4	Platelet-activating factor acetylhydrolase IB subunit beta homolog	18.22	3	5	3	66588.0165	58121.2959	
Q9VXT7	Probable isoaspartyl peptidase/L-asparaginase CG7860	12.95	4	9	0	74577.92940000001	58134.76861	
Q9VXY0	Probable cytochrome P450 4s3	2.83	2	4	2	889.13513	0.0	
Q9VXY7	Lipid storage droplets surface-binding protein 2	35.8	10	28	0	1233115.5945	1008586.78137	
Q9VY28	Small ribosomal subunit protein mS25	23.95	4	7	4	22384.56683	19278.35427	
Q9VY77	LIM domain-containing protein jub	4.67	3	6	0	5118.223	2340.3054700000002	
Q9VY78	Chloride intracellular channel Clic	38.46	8	8	8	94720.629	70056.8361	
Q9VY93	Probable methylthioribulose-1-phosphate dehydratase	7.05	2	3	0	29425.088799999998	20544.8084	
Q9VYB7	Protein-tyrosine sulfotransferase	1.6	1	2	0	10686.2392	4639.26405	
Q9VYD7	Mitochondrial import inner membrane translocase subunit Tim9	55.79	4	9	0	443412.31799999997	371094.9825	
Q9VYF8	2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial	9.97	3	4	0	9731.358	8106.235500000001	
Q9VYG1	26S proteasome non-ATPase regulatory subunit 5	1.78	1	2	0	4372.5013	2739.6977	
Q9VYG2	Brahma-associated protein of 60 kDa	11.26	6	7	6	15501.4934	11653.653699999999	
Q9VYH3	Probable alpha-aspartyl dipeptidase	29.17	6	13	0	104304.2896	84175.03436	
Q9VYI3	Large ribosomal subunit protein mL49	5.59	1	2	0	17222.7977	14338.8675	
Q9VYQ8	Ubiquitin carboxyl-terminal hydrolase 7	3.99	5	7	0	8663.844000000001	6932.63112	
Q9VYR0	LSM12 homolog A	14.29	3	8	3	51533.040550000005	45515.04464	
Q9VYS5	NADH dehydrogenase (ubiquinone) complex I, assembly factor 6 homolog	9.88	4	5	4	28251.5781	31612.7536	
Q9VYV3	Thioredoxin domain-containing protein 5 homolog	47.84	17	42	17	625536.60988	530703.37938	
Q9VYV9	COMM domain-containing protein 10 homolog Vlet	12.61	3	3	0	20886.993560000003	17423.0827	
Q9VYX1	Enhancer of yellow 2 transcription factor	23.76	2	2	2	39673.895	30052.652	
Q9VYY2	Signal peptidase complex subunit 2	33.67	8	20	0	401009.66974000004	251710.0406	
Q9VYY3	Ubiquitin-like modifier-activating enzyme 5	22.52	9	15	9	73040.82117	54410.945850000004	
Q9VZ23	GTP-binding nuclear protein Ran	51.85	11	32	0	547617.95245	402447.62497	
Q9VZ35	Protein Vago	5.0	1	1	1	0.0	313.27625	
Q9VZ40	Uncharacterized protein CG1552	3.8	1	5	0	38919.4665	26386.4969	
Q9VZ49	Endoribonuclease Arlr	16.72	10	23	10	370182.04747	283332.30919	
Q9VZ64	Probable 6-phosphogluconolactonase	32.1	7	18	7	407819.44508	372991.23589999997	
Q9VZA4	Band 7 protein CG42540	12.08	6	14	0	58719.117	38168.517	
Q9VZD5	Small ribosomal subunit protein bS6m	10.2	2	4	0	26618.5046	22043.7042	
Q9VZD8	THUMP domain-containing protein 1 homolog	8.64	4	6	4	18459.47236	8941.42166	
Q9VZE7	Choline transporter-like 1	3.76	2	3	0	3612.3675000000003	2780.685	
Q9VZI3	Unc-112-related protein	3.39	3	3	2	29682.422000000002	19275.009	
Q9VZJ9	Mitochondrial E3 ubiquitin protein ligase 1	6.21	2	4	2	6720.2528	6198.4838	
Q9VZL5	Vacuolar fusion protein CCZ1 homolog	5.77	2	3	2	6950.956899999999	5449.1437000000005	
Q9VZL6	Ragulator complex protein LAMTOR4 homolog	10.83	1	3	0	76588.1449	70256.451	
Q9VZS3	Eukaryotic translation initiation factor eIF1	59.09	5	12	5	204988.1273	147126.67295	
Q9VZS5	Large ribosomal subunit protein eL28	45.14	8	37	0	735335.09473	614012.74826	
Q9VZU4	NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial	47.55	12	78	12	4142901.6331	2744963.50929	
Q9VZX9	Adenosylhomocysteinase-like 1	21.69	11	18	10	210766.83364	160918.39694	
Q9W021	Large ribosomal subunit protein uL23m	9.33	2	4	0	17632.5692	11669.103	
Q9W032	Protein ecdysoneless	5.12	4	4	4	486.53497	514.7015	
Q9W058	Succinyl-CoA:3-ketoacid-coenzyme A transferase, mitochondrial	40.89	16	58	1	825491.29784	752460.83351	
Q9W074	Protein HBS1	4.33	3	4	3	8477.0823	6349.806189999999	
Q9W0A0	Protein draper	9.6	8	20	0	40566.3534	29617.63353	
Q9W0C1	Neuronal synaptobrevin	43.17	4	30	4	1925209.7637999998	1522243.7077	
Q9W0C7	Protein OPI10 homolog	6.6	1	2	1	5270.125840000001	6505.4344	
Q9W0G1	Tyrosine-protein phosphatase non-receptor type 61F	11.13	7	10	3	14900.28813	13771.50677	
Q9W0H3	Lipid droplet-associated hydrolase	11.4	4	10	4	109303.30990000001	80632.8395	
Q9W0K4	Protein bric-a-brac 2	2.53	2	2	0	1798.9404	795.7044	
Q9W0P5	UDP-glucose 4-epimerase	19.43	8	15	0	205482.82341	186434.33617	
Q9W0S7	Staphylococcal nuclease domain-containing protein 1	14.25	13	21	13	101688.3951	78096.50052	
Q9W0Y1	Troponin C-akin-1 protein	26.95	5	16	3	135416.10834	131878.33402	
Q9W0Y2	Putative gamma-glutamylcyclotransferase CG2811	5.1	1	2	0	0.0	445.04028	
Q9W0Y6	Transient receptor potential cation channel protein painless	2.85	3	4	2	3724.0409	2419.3271999999997	
Q9W141	Putative ATP synthase subunit f, mitochondrial	49.53	6	63	6	3193070.48045	2488283.15956	
Q9W197	7-methylguanosine phosphate-specific 5'-nucleotidase	14.42	5	9	5	101619.5879	65344.98117	
Q9W1A4	Protein tamozhennic	5.52	2	2	0	1584.4883	860.4421	
Q9W1C9	Ejaculatory bulb-specific protein 3	58.73	13	119	0	26526862.45324	19319817.79224	
Q9W1G0	Probable transaldolase	48.04	12	51	12	2549299.5272	2292642.8944699997	
Q9W1H9	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 3	15.31	3	3	3	22720.976199999997	22441.5336	
Q9W1K0	Transmembrane protein 14 homolog	28.57	3	8	0	38658.085600000006	32766.6685	
Q9W1K5	Sestrin homolog	6.84	4	7	0	18200.4448	14026.4735	
Q9W1V3	rRNA 2'-O-methyltransferase fibrillarin	12.79	6	9	6	37206.3137	30784.80383	
Q9W1X4	Nuclear pore complex protein Nup214	2.75	5	6	5	11515.69403	5489.126	
Q9W1X8	Probable GDP-L-fucose synthase	12.77	5	11	5	95204.98206	70948.16350000001	
Q9W1X9	OCIA domain-containing protein 1	33.07	7	9	0	68874.40520000001	47043.44902	
Q9W1Y1	ER membrane protein complex subunit 8/9 homolog	24.63	4	12	4	96471.55226	72548.30533999999	
Q9W237	Small ribosomal subunit protein uS9	66.89	13	65	0	2709664.80571	2282886.12471	
Q9W265	Probable hydroxyacid-oxoacid transhydrogenase, mitochondrial	10.34	6	9	6	59290.51973	45744.60366	
Q9W266	Protein windpipe	20.68	10	31	10	412154.9536	310519.89782	
Q9W2D6	Mitochondrial import inner membrane translocase subunit Tim10	57.61	5	22	5	662150.36385	506982.53825	
Q9W2D9	Eukaryotic translation initiation factor 3 subunit K	28.38	5	8	5	64154.16157	38053.572700000004	
Q9W2E7	Protein Rae1	11.56	4	11	4	163551.41877	137592.64514	
Q9W2M2	Trehalase	29.36	16	47	0	408017.64849	382580.51083	
Q9W2N0	F-actin-capping protein subunit alpha	9.44	3	3	3	26711.7377	20382.856499999998	
Q9W2R3	Phosphatidylinositol 4-phosphate 5-kinase type-1 sktl	3.03	3	3	3	1760.0663	1750.6959	
Q9W2U4	Serine/threonine-protein phosphatase 4 regulatory subunit 2	15.6	9	17	1	126678.52885	90997.24225	
Q9W2Y3	NAD(P)H-hydrate epimerase	7.83	2	6	2	19820.838499999998	21136.82691	
Q9W303	Chitinase-like protein Idgf4	64.25	25	96	0	2991175.60931	2532645.20312	
Q9W334	Small ribosomal subunit protein eS28	63.08	4	26	0	768633.18533	637720.89587	
Q9W358	Chaperone Ric-8	10.65	7	8	0	14736.04336	10594.6054	
Q9W369	Beta-alanyl-dopamine/carcinine hydrolase	50.65	20	79	20	4201760.446	3162088.5671900003	
Q9W379	Zinc finger protein ZPR1	12.91	6	9	6	38200.121	23718.8272	
Q9W380	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 3	18.18	2	12	2	474798.6046	407690.936	
Q9W385	Frataxin homolog, mitochondrial	10.0	2	6	2	59893.9815	48397.5764	
Q9W3C7	Palmitoyl-protein thioesterase 1	12.42	4	7	0	10765.81607	7977.24427	
Q9W3E2	Protein PIP82	19.83	23	56	23	413183.02995	297753.08181	
Q9W3J5	Phenylalanine--tRNA ligase alpha subunit	14.86	8	17	8	43990.69805	33996.67104	
Q9W3K5	Glutamate--cysteine ligase	4.88	4	7	0	32312.687300000005	24814.57684	
Q9W3N6	General vesicular transport factor p115	8.37	7	9	7	33241.72486	29523.06076	
Q9W3T7	UPAR/Ly6 domain-containing protein bou	12.08	2	6	2	116829.4568	89194.039	
Q9W3W8	Large ribosomal subunit protein uL22	14.52	3	5	0	102064.7093	137795.1045	
Q9W3Y0	Zinc finger protein 593 homolog	11.11	1	1	1	3884.7102	2135.1726	
Q9W3Y4	GAS2-like protein pickled eggs	2.35	3	3	3	7852.44376	7855.07465	
Q9W3Z3	Alanine--glyoxylate aminotransferase	5.84	2	2	2	2868.9656299999997	2446.8774	
Q9W401	Probable citrate synthase, mitochondrial	55.39	30	238	30	10187283.30669	8034174.98139	
Q9W415	tRNA (guanine-N(7)-)-methyltransferase non-catalytic subunit wuho	14.86	4	5	4	17047.9982	19600.6386	
Q9W436	Neprilysin-1	4.24	4	4	4	17527.7413	11817.04274	
Q9W445	Malignant T-cell-amplified sequence 1 homolog	15.38	3	9	3	63930.654050000005	51338.2156	
Q9W4K2	Uncharacterized protein CG3556	6.72	4	17	0	89620.21016	66424.7531	
Q9W4P5	V-type proton ATPase subunit d 1	36.86	10	24	10	815410.2101499999	778146.68206	
Q9W4T4	3',5'-cyclic-AMP phosphodiesterase, isoform I	10.34	12	23	0	101531.08009999999	70900.93498	
Q9W4V8	Mitochondrial import inner membrane translocase subunit TIM50-C	12.38	5	7	0	28354.507129999998	27138.58823	
Q9W4X7	Eukaryotic translation initiation factor 3 subunit G-1	18.59	7	21	7	275136.01316	198946.15763	
Q9W552	Vacuolar protein sorting-associated protein 26	5.44	3	5	3	50184.4138	48091.037500000006	
Q9W596	Microtubule-associated protein futsch	26.66	89	189	0	2062982.98477	1540503.39625	
Q9W5E1	RING-box protein 1A	7.41	1	2	0	22473.713900000002	17661.325	
Q9W5N0	Cytochrome c oxidase assembly factor 7 homolog	32.71	9	25	0	139261.08255	111355.65	
Q9W5N2	Large ribosomal subunit protein eL38	28.57	2	12	0	463623.13321999996	468324.64200000005	
Q9W5P1	Mediator of RNA polymerase II transcription subunit 21	13.38	3	4	3	3712.1142	4770.5725999999995	
Q9W5R8	Large ribosomal subunit protein uL18	33.78	8	14	0	236224.67071	180704.78184	
Q9W5Y0	Neprilysin-3	2.04	2	3	2	1683.5398	0.0	
Q9XTL9	Glycogen phosphorylase	31.87	30	75	0	2212047.21312	1914633.83919	
Q9XTM1	Exocyst complex component 5	2.96	3	3	3	20946.6074	30949.8349	
Q9XTN2	Insulin receptor substrate 1	1.96	2	4	0	776.83887	956.5175	
Q9XY35	Cytochrome b-c1 complex subunit 9	41.82	2	4	2	393381.923	404166.91000000003	
Q9XYM0	Adapter molecule Crk	49.45	11	28	0	585085.4328	427952.50125000003	
Q9XYZ5	DNA damage-binding protein 1	3.95	5	8	5	37587.3635	28469.6934	
Q9XZ14	Protein gone early	4.44	4	4	1	9538.6779	11253.529	
Q9XZ58	COP9 signalosome complex subunit 5	10.4	4	7	1	63452.27761	40843.6559	
Q9XZ63	Mesencephalic astrocyte-derived neurotrophic factor homolog	34.68	7	22	7	897427.525	360248.24689999997	
Q9XZH6	V-type proton ATPase subunit G	31.62	5	27	0	702819.27773	481801.70509	
Q9XZJ4	Proteasome subunit alpha type-6	44.26	13	36	0	240388.62364	167492.59322	
Q9XZL8	Protein sarah	34.25	7	12	0	148909.31989	106110.19007	
Q9Y091	Pre-mRNA-splicing regulator female-lethal(2)D	3.73	2	2	0	4695.4694	2450.5862	
Q9Y0I1	NuA4 complex subunit EAF3 homolog	11.79	3	6	0	8704.60795	6019.74856	
Q9Y0V3	Mitochondrial import inner membrane translocase subunit Tim10B	32.48	4	6	4	42671.66656	37423.885800000004	
Q9Y0Y2	Adenylosuccinate synthetase	32.44	11	27	11	376276.1193	350927.15696	
Q9Y105	Probable glutamine--tRNA ligase	3.6	3	3	3	274673.35229999997	237217.5621	
Q9Y1A3	Mitochondrial import inner membrane translocase subunit Tim8	63.64	6	18	0	1424450.7258000001	1074649.5585	
X2JAU8	Protein nervous wreck	29.3	30	114	30	2553431.4018200003	2088882.94594	
A0A023GPM5	Diacylglycerol kinase	7.87	8	12	0	49394.38548	32262.180249999998	
A0A0B4JCQ7	Suppressor of variegation 2-10, isoform K	5.03	3	3	0	18087.47372	14294.4476	
A0A0B4JCR9	Uncharacterized protein, isoform D	5.04	2	2	0	784.7941	1691.2812	
A0A0B4JCT7	Jabba, isoform F	19.37	11	28	0	339601.4955	290349.70116	
A0A0B4JCW4	Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial	63.86	25	140	0	179190.4778	183839.597	
A0A0B4JCX2	RIM-binding protein, isoform G	5.01	9	16	0	33844.13758	18516.4156	
A0A0B4JCY5	Myosin heavy chain-like, isoform H	8.07	5	5	0	5694.2119	2307.8224099999998	
A0A0B4JCY6	Cheerio, isoform I	31.43	63	129	0	1481359.74227	1124368.7672	
A0A0B4JCZ0	Oxysterol-binding protein	4.44	5	8	0	25790.08244	16335.42974	
A0A0B4JD18	Related to the N terminus of tre oncogene, isoform E	7.48	4	6	0	20076.772100000002	13207.76485	
A0A0B4JD47	Missing-in-metastasis, isoform E	4.61	4	4	0	452.87845	543.5769	
A0A0B4JD57	Zipper, isoform F	9.7	20	33	0	9312.65378	7910.067	
A0A0B4JD97	Transforming acidic coiled-coil protein, isoform K	12.56	17	31	0	181514.32025	120871.22165	
A0A0B4K615	Smallish, isoform O	8.18	11	16	0	81953.70047	62467.90853	
A0A0B4K618	Fragile X messenger ribonucleoprotein 1, isoform G	8.5	6	10	0	15435.420559999999	11264.78376	
A0A0B4K620	Oxidation resistance protein 1	13.76	18	38	0	358488.18379	287469.38085	
A0A0B4K661	Tropomyosin 1, isoform Q	75.2	34	259	0	6715831.65675	4726014.53353	
A0A0B4K663	Non-specific lethal 1, isoform N	4.02	5	8	0	23118.87886	15030.186419999998	
A0A0B4K6C8	Uncharacterized protein, isoform G	5.14	6	7	0	33503.64228	18839.084830000003	
A0A0B4K6I1	Scribble, isoform N	9.51	23	39	0	362539.71987	225092.81505	
A0A0B4K6K8	Musashi, isoform D	12.73	5	9	0	48587.35804000001	44469.6128	
A0A0B4K6P4	Hephaestus, isoform W	2.88	3	5	0	15944.3712	12592.83383	
A0A0B4K6Z2	Dystrobrevin	11.84	8	16	0	59398.99983	49213.89516	
A0A0B4K709	Uncharacterized protein, isoform E	2.78	2	3	0	6829.3518	0.0	
A0A0B4K716	Diacylglycerol kinase	5.54	9	14	0	66833.8451	48550.72894	
A0A0B4K765	Paired amphipathic helix protein Sin3a	1.98	4	4	0	3372.8615999999997	4180.7554	
A0A0B4K774	Abelson interacting protein, isoform D	15.72	8	16	0	104835.64703000001	78518.3612	
A0A0B4K775	Golgin 97, isoform B	5.14	3	4	0	6757.24626	6020.778200000001	
