Accession	Description	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	Abundance: F8: 127C, Sample, n/a, SF1g_F3	Abundances Count: F8: 127C, Sample, n/a, SF1g_F3	Modifications
Q9VN13	Sideroflexin-1-3	14.02	6	8	6	234137.95	6	
Q9VN14	Contactin	19.93	25	44	25	1276184.3085	39	
Q9VN19	Golgi to ER traffic protein 4 homolog	10.32	3	3	0	34966.481199999995	2	
Q9VN25	Eukaryotic translation initiation factor 3 subunit A	2.28	3	3	3	21996.1201	3	
Q9VN50	Eukaryotic translation initiation factor 3 subunit F-1	20.36	6	9	6	460430.0173	7	
Q9VN91	MORN repeat-containing protein 4 homolog	43.43	8	35	8	1477348.0567	25	
Q9VN93	Cathepsin F	34.85	22	48	19	2278248.08934	41	
Q9VN95	Enolase-phosphatase E1	37.11	7	12	7	551521.5593600001	12	
Q9VNA4	Uncharacterized protein CG1161	9.25	2	4	0	73149.424	4	
Q9VNA5	Proteasome subunit beta type-4	40.3	7	9	7	172373.4296	8	
Q9VND8	GTP-binding protein Rheb homolog	21.98	5	11	5	477861.08772999997	11	
Q9VNE2	Protein krasavietz	19.91	11	23	11	876808.6725	20	
Q9VNE9	Large ribosomal subunit protein uL13	33.66	9	15	6	1293967.1905	12	
Q9VNI3	Histone PARylation factor 1	1.56	1	1	1	8113.5527	1	
Q9VP48	Ras-related protein Rab-26	7.99	3	12	0	9022.902	1	
Q9VP61	Acetyl-coenzyme A synthetase	13.88	10	12	0	157700.86825	12	
Q9VP65	Multifunctional methyltransferase subunit TRM112-like protein	26.61	3	6	3	48903.4852	6	
Q9VPC1	Distal membrane arm assembly component 2	9.15	3	3	3	114681.787	3	
Q9VPH7	Eukaryotic peptide chain release factor subunit 1	11.42	5	7	0	158683.1004	7	
Q9VPL3	Large ribosomal subunit protein uL10m	14.92	4	5	4	98979.20363999999	5	
Q9VPQ2	DnaJ homolog shv	22.88	8	13	8	264555.90317	12	
Q9VQ29	Cytochrome b-c1 complex subunit Rieske, mitochondrial	43.04	10	55	10	6988335.20708	49	
Q9VQ62	NPC intracellular cholesterol transporter 2 homolog a	47.3	5	18	5	1029796.8777	16	
Q9VQ79	Putative apoptosis-inducing factor 1, mitochondrial	12.04	7	12	0	188222.17106000002	11	
Q9VQ91	Tudor and KH domain-containing protein homolog	12.33	7	10	7	96392.5124	8	
Q9VQ93	Golgi phosphoprotein 3 homolog sauron	18.71	5	6	5	220105.9493	4	
Q9VQC4	Glycerate kinase	15.61	8	9	0	84925.35800000001	9	
Q9VQF7	Bacchus	40.79	6	15	6	992018.9322	14	
Q9VQF9	SNAPIN protein homolog	28.36	3	3	3	61777.965000000004	3	
Q9VQG4	Congested-like trachea protein	27.45	9	22	8	1256590.0457000001	20	
Q9VQQ0	Serine/threonine-protein phosphatase 2A activator	21.86	8	12	8	360672.36233	12	
Q9VQX4	Nicotinate phosphoribosyltransferase	10.45	7	7	0	77531.29936	7	
Q9VR35	Eukaryotic translation initiation factor 4E-binding protein Mextli	17.15	11	12	0	315349.89175	12	
Q9VR59	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase	0.53	1	1	0	481.6547	1	
Q9VR81	N-acetylglucosamine-6-phosphate deacetylase	9.59	4	5	0	58990.49086	5	
Q9VR89	RNA-binding protein pno1	10.42	2	3	2	12019.5118	3	
Q9VR94	General odorant-binding protein 19a	10.27	2	4	2	106413.5105	4	
Q9VRJ9	Ubiquitin thioesterase Otu1	22.77	6	12	0	162322.57134	12	
Q9VRL2	Probable Golgi SNAP receptor complex member 2	13.43	3	3	3	15010.30053	3	
Q9VRP9	E3 ubiquitin-protein ligase Bre1	2.78	3	4	0	62808.527	4	
Q9VRQ9	Glutaminyl-peptide cyclotransferase	7.94	3	5	3	25739.0636	4	
Q9VRV7	Splicing factor 3B subunit 6	16.53	2	5	2	63263.799100000004	5	
Q9VRZ7	Ubiquinol-cytochrome c reductase complex assembly factor 1	16.22	4	6	4	483766.38800000004	5	
Q9VS34	Large ribosomal subunit protein eL18	20.21	3	8	0	371922.52499999997	7	
Q9VS97	Peptidoglycan-recognition protein SD	16.67	2	3	2	58827.7	2	
Q9VSA3	Medium-chain specific acyl-CoA dehydrogenase, mitochondrial	49.16	20	98	20	8261615.4671600005	89	
Q9VSF3	Nedd8-conjugating enzyme UbcE2M	33.7	6	11	0	231488.256	10	
Q9VSH4	Cleavage and polyadenylation specificity factor subunit 6	4.29	3	3	0	26537.529400000003	3	
Q9VSJ8	Exocyst complex component 7	8.23	6	8	6	68498.1425	8	
Q9VSK9	Pseudouridylate synthase 7 homolog	4.63	3	3	3	14002.369	2	
Q9VSL3	Pyrimidodiazepine synthase	62.14	14	64	13	14088148.28194	62	
Q9VSR3	Translational regulator orb2	4.26	3	3	0	67711.966	3	
Q9VSS1	Protein Pixie	1.15	1	1	1	14599.331	1	
Q9VSS2	Signal recognition particle subunit SRP68	13.08	8	10	8	161097.367	9	
Q9VSU7	Vesicle transport protein USE1	11.2	3	3	3	20055.77	2	
Q9VSY4	Alpha-tubulin N-acetyltransferase 1	45.99	18	56	7	2082470.33062	52	
Q9VSY6	Phosphoserine phosphatase	16.3	4	5	4	252576.9176	5	
Q9VSZ6	Queuine tRNA-ribosyltransferase accessory subunit 2	1.91	1	1	1	20449.371	1	
Q9VT70	Nuclear distribution protein nudE homolog	11.67	3	3	0	26179.179	2	
Q9VTC4	MIP18 family protein galla-2	13.46	2	3	2	36564.836500000005	3	
Q9VTE0	Biogenesis of lysosome-related organelles complex 1 subunit 2	15.72	3	3	3	11335.8525	2	
Q9VTE5	Probable prefoldin subunit 2	53.15	8	18	0	1037131.1767	18	
Q9VTE9	Nedd8-activating enzyme E1 regulatory subunit	10.31	5	6	0	186631.70130000002	6	
Q9VTF9	Ubiquitin fusion degradation protein 1 homolog	17.09	6	8	6	246437.92500000002	8	
Q9VTH0	Procollagen-lysine,2-oxoglutarate 5-dioxygenase	3.19	3	3	3	72417.87	3	
Q9VTJ4	Putative alpha-L-fucosidase	3.24	2	3	2	171399.448	3	
Q9VTJ8	Mitochondrial import inner membrane translocase subunit TIM14	27.97	4	6	0	110000.098	6	
Q9VTM6	UPAR/Ly6 domain-containing protein crim	20.25	3	5	3	63489.7193	5	
Q9VTP4	Large ribosomal subunit protein uL1	39.63	8	50	8	3956951.8506	44	
Q9VTU3	Rho GTPase-activating protein 68F	19.54	9	12	0	315676.482	11	
Q9VTZ5	Transferrin 2	24.42	20	23	20	559261.66483	21	
Q9VTZ6	Phosphomannomutase	39.37	10	13	10	236678.51493	13	
Q9VU08	Intermembrane lipid transfer protein Vps13D	0.2	1	3	1	25660.648	1	
Q9VU58	Neuropeptide-like 2	67.44	7	116	0	23741799.579520002	108	
Q9VU68	Actin-interacting protein 1	29.77	20	40	20	1366672.3794	36	
Q9VU70	Tetratricopeptide repeat protein 36 homolog	28.11	4	5	4	42766.29823	5	
Q9VU84	Drebrin-like protein	33.33	15	28	15	887945.42081	26	
Q9VU95	Alanine--glyoxylate aminotransferase 2-like	14.57	6	8	6	253859.4418	7	
Q9VUJ0	Large ribosomal subunit protein mL39	16.82	5	5	5	151291.3014	5	
Q9VUK8	Glycine--tRNA ligase	27.58	20	47	20	3759885.3364	45	
Q9VUR3	Probable aminoacyl tRNA synthase complex-interacting multifunctional protein 2	19.16	8	10	1	284355.46366	10	
Q9VUY9	Phosphoglucomutase 1	38.04	20	45	20	2156603.0812	39	
Q9VUZ1	Probable trafficking protein particle complex subunit 2	21.58	2	2	2	914.9225	1	
Q9VV36	Retinin	29.84	5	103	5	37709135.14207	84	
Q9VV43	Tubulin polymerization-promoting protein homolog	66.15	11	50	0	3100726.59488	41	
Q9VV72	Multiple inositol polyphosphate phosphatase 1	31.05	15	28	15	1723641.649	27	
Q9VV74	Survival motor neuron protein	14.6	3	5	3	75953.4219	4	
Q9VVA0	Cold shock domain-containing protein CG9705	13.29	2	6	0	185793.44970000003	6	
Q9VVA6	Nuclear migration protein nudC	34.64	13	27	13	854894.462	25	
Q9VVB4	Coiled-coil domain-containing protein 22 homolog	13.15	7	8	7	83604.7277	7	
Q9VVE2	Protein rogdi	33.96	9	14	9	620467.90698	14	
Q9VVE5	RNA-binding protein Musashi homolog Rbp6	14.63	5	13	0	706931.0967	12	
Q9VVG6	Ubiquinone biosynthesis protein COQ4 homolog, mitochondrial	13.43	4	5	0	60794.951499999996	5	
Q9VVH3	MICOS complex subunit MIC13 homolog QIL1	67.21	7	29	7	1377814.6628	29	
Q9VVI2	Enhancer of mRNA-decapping protein 3	11.76	7	8	7	44888.3541	7	
Q9VVI3	E3 ubiquitin-protein ligase Nedd-4	2.88	3	3	0	11483.4788	3	
Q9VVI9	Charged multivesicular body protein 5	69.47	12	41	0	1440485.87692	36	
Q9VVN2	Small ribosomal subunit protein mS26	19.56	4	6	4	50890.1788	4	
Q9VVU5	COP9 signalosome complex subunit 1b	4.0	2	4	2	46893.5382	4	
Q9VVW3	Sideroflexin-2	15.6	5	7	5	236318.37900000002	7	
Q9VVW8	ATP-dependent (S)-NAD(P)H-hydrate dehydratase	23.33	5	6	5	128956.9016	4	
Q9VVY3	Glycogen-binding subunit 76A	12.48	7	8	0	41168.2316	6	
Q9VW12	UPF0389 protein CG9231	44.0	5	24	0	1633044.8586000002	21	
Q9VW14	rRNA methyltransferase 3, mitochondrial	7.13	3	3	3	8122.4298	3	
Q9VW26	Ornithine aminotransferase, mitochondrial	19.03	7	12	7	237881.94024	10	
Q9VW56	Probable prefoldin subunit 6	60.8	7	20	0	849554.06143	20	
Q9VWA1	Clathrin light chain	43.84	14	43	0	3503710.3096	38	
Q9VWA8	Protein FRG1 homolog	6.49	2	2	2	40403.607	2	
Q9VWB1	DCN1-like protein 4	15.73	4	4	0	45998.0596	3	
Q9VWE0	Cytokine receptor	3.28	4	4	4	7877.4331999999995	3	
Q9VWF4	Dual specificity protein phosphatase MPK-4	6.46	2	2	2	4046.2205999999996	2	
Q9VWG3	Small ribosomal subunit protein eS10B	30.62	7	15	0	751664.0484	11	
Q9VWH4	Probable isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial	70.56	29	221	28	39468482.65609	199	
Q9VWI0	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial	39.89	6	39	6	4999188.801700001	26	
Q9VWN5	Ubiquitin carboxyl-terminal hydrolase MINDY-3 homolog	22.5	12	16	0	215577.6239	14	
Q9VWP4	Sulfite oxidase, mitochondrial	10.12	6	6	6	50636.969679999995	6	
Q9VWU1	Serine protease persephone	6.85	2	2	2	16711.7078	2	
Q9VWV8	Nitric oxide synthase-interacting protein homolog	6.51	2	4	2	493951.28617000004	2	
Q9VWW0	Cyclic AMP response element-binding protein B	2.51	1	1	0	3070.6838	1	
Q9VWX8	Frequenin-2	54.01	10	42	4	3114122.20407	41	
Q9VWY6	Transcription initiation factor TFIID subunit 8	9.15	3	3	3	14205.6334	2	
Q9VX10	Sulfiredoxin	11.73	2	3	0	49783.0984	3	
Q9VX98	Density-regulated protein homolog	50.26	8	14	8	320295.5046	12	
Q9VXB0	NECAP-like protein CG9132	45.53	10	29	2	2668928.1039	27	
Q9VXB5	Large ribosomal subunit protein uL22m	5.58	1	1	1	14052.963	1	
Q9VXE0	Probable small nuclear ribonucleoprotein G	76.32	6	10	6	284667.3418	10	
Q9VXE5	Serine/threonine-protein kinase PAK mbt	8.61	5	6	5	31793.0813	4	
Q9VXE6	Nuclear pore complex protein Nup153	2.44	3	4	0	21622.21	4	
Q9VXF1	Serine/threonine-protein phosphatase 2B catalytic subunit 3	38.87	19	55	0	3087957.1973	53	
Q9VXG4	Annexin B11	22.31	13	30	13	1987048.8194	28	
Q9VXJ0	Peroxisomal multifunctional enzyme type 2	25.25	14	19	0	620829.17574	18	
Q9VXK0	Protein NipSnap	15.38	4	6	0	332882.4756	6	
Q9VXK6	Eukaryotic translation initiation factor 5	23.92	10	14	10	350221.1387	13	
Q9VXN2	Protein stunted	55.74	4	15	4	702201.7220000001	9	
Q9VXN4	Probable arginine--tRNA ligase, cytoplasmic	6.62	4	5	4	62069.8159	5	
Q9VXP4	Platelet-activating factor acetylhydrolase IB subunit beta homolog	38.22	8	21	8	911523.17022	19	
Q9VXT7	Probable isoaspartyl peptidase/L-asparaginase CG7860	12.95	4	7	0	478245.516	7	
Q9VXY0	Probable cytochrome P450 4s3	4.44	3	3	3	10402.575369999999	3	
Q9VXY7	Lipid storage droplets surface-binding protein 2	53.41	15	33	1	3863788.595	32	
Q9VY28	Small ribosomal subunit protein mS25	19.16	3	5	3	55330.6856	5	
Q9VY77	LIM domain-containing protein jub	6.04	4	4	0	5385.1651999999995	2	
Q9VY78	Chloride intracellular channel Clic	23.46	6	14	6	909728.9543999999	11	
Q9VY93	Probable methylthioribulose-1-phosphate dehydratase	14.1	3	3	0	84371.6	3	
Q9VYB7	Protein-tyrosine sulfotransferase	5.61	3	3	0	10940.7793	2	
Q9VYD7	Mitochondrial import inner membrane translocase subunit Tim9	67.37	6	12	0	837835.2642999999	12	
Q9VYF8	2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial	3.99	1	1	0	789.14844	1	
Q9VYG1	26S proteasome non-ATPase regulatory subunit 5	3.56	2	2	0	33355.421500000004	2	
Q9VYG2	Brahma-associated protein of 60 kDa	2.33	1	1	1	6112.2324	1	
Q9VYH3	Probable alpha-aspartyl dipeptidase	29.17	6	13	0	608459.1897	10	
Q9VYI3	Large ribosomal subunit protein mL49	5.59	1	1	0	15313.981	1	
Q9VYQ8	Ubiquitin carboxyl-terminal hydrolase 7	4.25	5	5	0	33138.914000000004	3	
Q9VYR0	LSM12 homolog A	14.29	3	5	3	122837.19446	4	
Q9VYS5	NADH dehydrogenase (ubiquinone) complex I, assembly factor 6 homolog	5.09	2	2	2	33373.968	2	
Q9VYV3	Thioredoxin domain-containing protein 5 homolog	59.13	24	58	24	3680359.5817400003	57	
Q9VYV9	COMM domain-containing protein 10 homolog Vlet	12.18	3	4	0	53183.73	4	
Q9VYX1	Enhancer of yellow 2 transcription factor	40.59	3	4	3	78239.32549999999	2	
Q9VYY2	Signal peptidase complex subunit 2	49.25	11	18	0	747727.6182299999	18	
Q9VYY3	Ubiquitin-like modifier-activating enzyme 5	22.77	9	11	9	363780.94	10	
Q9VZ23	GTP-binding nuclear protein Ran	54.63	11	34	0	4012485.3497699997	33	
Q9VZ35	Protein Vago	20.62	2	2	2	14379.1096	2	
Q9VZ40	Uncharacterized protein CG1552	33.7	4	7	0	296267.27414999995	7	
Q9VZ49	Endoribonuclease Arlr	18.07	10	26	10	656349.5163	24	
Q9VZ64	Probable 6-phosphogluconolactonase	52.26	12	25	12	1272607.0967	23	
Q9VZA4	Band 7 protein CG42540	16.24	7	11	0	114702.9987	11	
Q9VZD5	Small ribosomal subunit protein bS6m	13.61	2	3	0	195646.881	3	
Q9VZD8	THUMP domain-containing protein 1 homolog	13.89	4	4	4	25205.7579	3	
Q9VZE7	Choline transporter-like 1	2.32	1	1	0	12534.878	1	
Q9VZI3	Unc-112-related protein	9.18	6	6	6	38501.13444	6	
Q9VZJ9	Mitochondrial E3 ubiquitin protein ligase 1	9.76	3	3	3	14912.17356	3	
Q9VZL5	Vacuolar fusion protein CCZ1 homolog	3.09	1	1	1	8838.288	1	
Q9VZL6	Ragulator complex protein LAMTOR4 homolog	21.67	2	3	0	87277.746	2	
Q9VZS3	Eukaryotic translation initiation factor eIF1	81.82	7	11	7	467625.1211	9	
Q9VZS5	Large ribosomal subunit protein eL28	59.72	12	34	0	2402862.05895	32	
Q9VZU4	NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial	64.53	16	83	16	3708211.85496	66	
Q9VZX9	Adenosylhomocysteinase-like 1	24.76	11	18	9	617638.5002	18	
Q9W021	Large ribosomal subunit protein uL23m	11.33	2	2	0	48175.457	1	
Q9W058	Succinyl-CoA:3-ketoacid-coenzyme A transferase, mitochondrial	53.1	19	62	1	3449270.77656	57	
Q9W074	Protein HBS1	4.63	3	3	3	24347.048499999997	3	
Q9W0A0	Protein draper	6.21	5	7	0	30082.4774	6	
Q9W0C1	Neuronal synaptobrevin	47.54	7	38	7	3455838.5608	36	
Q9W0C7	Protein OPI10 homolog	11.68	2	2	2	4242.2314	1	
Q9W0G1	Tyrosine-protein phosphatase non-receptor type 61F	9.49	6	7	4	59705.82495	6	
Q9W0H3	Lipid droplet-associated hydrolase	24.1	8	13	8	171586.6657	13	
Q9W0P5	UDP-glucose 4-epimerase	30.29	11	17	0	1001165.8757	17	
Q9W0S7	Staphylococcal nuclease domain-containing protein 1	18.36	17	22	17	931374.833	20	
Q9W0Y1	Troponin C-akin-1 protein	24.55	5	11	2	297873.66163	11	
Q9W0Y2	Putative gamma-glutamylcyclotransferase CG2811	7.64	2	2	0	33309.8692	2	
Q9W0Y6	Transient receptor potential cation channel protein painless	1.1	1	1	1	5480.334	1	
Q9W141	Putative ATP synthase subunit f, mitochondrial	49.53	6	53	6	14098207.6596	41	
Q9W197	7-methylguanosine phosphate-specific 5'-nucleotidase	14.42	5	7	5	282436.0033	7	
Q9W1A4	Protein tamozhennic	6.65	4	5	0	15095.0071	5	
Q9W1C9	Ejaculatory bulb-specific protein 3	57.14	13	92	0	70811022.1785	90	
Q9W1G0	Probable transaldolase	56.5	17	62	17	8037486.2242	59	
Q9W1H9	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 3	8.16	1	1	1	20317.893	1	
Q9W1K0	Transmembrane protein 14 homolog	13.39	2	7	0	925932.8769999999	6	
Q9W1K5	Sestrin homolog	1.41	1	1	0	24932.314	1	
Q9W1L5	Peptidyl-alpha-hydroxyglycine alpha-amidating lyase 2	8.87	2	3	0	133005.747	3	
Q9W1V3	rRNA 2'-O-methyltransferase fibrillarin	21.51	7	8	7	512216.63404	7	
Q9W1X4	Nuclear pore complex protein Nup214	5.26	7	8	7	65249.53252	8	
Q9W1X8	Probable GDP-L-fucose synthase	19.63	5	6	5	53873.573399999994	5	
Q9W1X9	OCIA domain-containing protein 1	27.63	5	8	0	63070.9449	7	
Q9W1Y1	ER membrane protein complex subunit 8/9 homolog	21.67	4	6	4	347904.9496	6	
Q9W237	Small ribosomal subunit protein uS9	70.95	16	57	0	5249799.34072	50	
Q9W265	Probable hydroxyacid-oxoacid transhydrogenase, mitochondrial	18.97	9	10	9	281792.64	10	
Q9W266	Protein windpipe	13.44	10	18	10	608604.4883	18	
Q9W2D6	Mitochondrial import inner membrane translocase subunit Tim10	72.83	7	23	7	2149784.429	23	
Q9W2D9	Eukaryotic translation initiation factor 3 subunit K	41.89	7	15	7	684676.4136	13	
Q9W2E7	Protein Rae1	17.63	6	8	6	349330.12483	8	
Q9W2M2	Trehalase	40.94	22	40	0	1114167.9497	37	
Q9W2N0	F-actin-capping protein subunit alpha	17.83	5	7	5	257094.07	6	
Q9W2R3	Phosphatidylinositol 4-phosphate 5-kinase type-1 sktl	1.89	2	2	2	43383.7019	2	
Q9W2U4	Serine/threonine-protein phosphatase 4 regulatory subunit 2	12.64	6	6	0	26136.0207	4	
Q9W2Y3	NAD(P)H-hydrate epimerase	38.7	7	8	7	157803.4538	7	
Q9W303	Chitinase-like protein Idgf4	54.3	23	92	0	5463703.94473	73	
Q9W334	Small ribosomal subunit protein eS28	69.23	5	18	0	892905.97442	15	
Q9W358	Chaperone Ric-8	8.55	6	6	0	56756.270189999996	5	
Q9W369	Beta-alanyl-dopamine/carcinine hydrolase	57.88	22	103	22	9130668.93874	97	
Q9W379	Zinc finger protein ZPR1	22.32	8	9	8	260164.16967	8	
Q9W380	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex subunit 3	19.48	3	8	3	276896.7387	6	
Q9W385	Frataxin homolog, mitochondrial	16.84	4	6	4	218716.6302	6	
Q9W3C7	Palmitoyl-protein thioesterase 1	5.73	2	4	0	117661.3817	4	
Q9W3E2	Protein PIP82	26.03	29	40	29	387937.87442999997	31	
Q9W3J5	Phenylalanine--tRNA ligase alpha subunit	18.88	10	11	10	214257.3341	11	
Q9W3K5	Glutamate--cysteine ligase	3.77	3	3	0	43442.589700000004	3	
Q9W3N6	General vesicular transport factor p115	13.88	9	11	9	100403.39517	9	
Q9W3T7	UPAR/Ly6 domain-containing protein bou	12.08	2	4	2	248629.568	4	
Q9W3W8	Large ribosomal subunit protein uL22	29.03	6	9	0	150286.489	8	
Q9W3Y0	Zinc finger protein 593 homolog	27.16	3	3	3	9070.3488	3	
Q9W3Z3	Alanine--glyoxylate aminotransferase	5.08	2	4	2	11443.970000000001	2	
Q9W401	Probable citrate synthase, mitochondrial	60.99	28	217	28	59449506.71108	182	
Q9W415	tRNA (guanine-N(7)-)-methyltransferase non-catalytic subunit wuho	18.16	6	7	6	138760.81290000002	5	
Q9W436	Neprilysin-1	7.54	6	7	6	52593.0169	6	
Q9W445	Malignant T-cell-amplified sequence 1 homolog	37.36	6	8	6	106621.3154	8	
Q9W4D2	RNA-binding protein 4F	2.44	2	2	0	1530.2761	1	
Q9W4K2	Uncharacterized protein CG3556	6.39	4	7	0	179856.54684	5	
Q9W4P5	V-type proton ATPase subunit d 1	31.14	9	18	9	1101975.5372	18	
Q9W4T4	3',5'-cyclic-AMP phosphodiesterase, isoform I	17.12	17	26	0	368208.50447	24	
Q9W4V8	Mitochondrial import inner membrane translocase subunit TIM50-C	20.09	7	11	0	367135.9137	11	
Q9W4X7	Eukaryotic translation initiation factor 3 subunit G-1	34.2	10	24	9	1826125.6567	23	
Q9W552	Vacuolar protein sorting-associated protein 26	19.67	6	9	6	94588.8452	5	
Q9W596	Microtubule-associated protein futsch	30.08	101	161	0	3530250.09933	148	
Q9W5E1	RING-box protein 1A	22.22	2	4	0	85264.556	4	
Q9W5N0	Cytochrome c oxidase assembly factor 7 homolog	39.1	11	25	0	1424670.5659	25	
Q9W5N2	Large ribosomal subunit protein eL38	28.57	2	11	0	268310.4539	10	
Q9W5P1	Mediator of RNA polymerase II transcription subunit 21	13.38	2	3	2	28811.115	3	
Q9W5R8	Large ribosomal subunit protein uL18	21.07	9	16	0	1045932.4218300001	15	
Q9W5Y0	Neprilysin-3	1.02	1	1	1	6613.297	1	
Q9XTL9	Glycogen phosphorylase	43.13	40	74	0	2307137.1611	65	
Q9XTM1	Exocyst complex component 5	1.27	1	1	1	2283.5752	1	
Q9XTN2	Insulin receptor substrate 1	1.86	2	2	0	5843.697	1	
Q9XY35	Cytochrome b-c1 complex subunit 9	41.82	2	12	2	1018639.8006	10	
Q9XYM0	Adapter molecule Crk	49.45	13	35	0	1610729.4561	29	
Q9XYZ5	DNA damage-binding protein 1	4.82	6	6	6	85312.731	5	
Q9XZ14	Protein gone early	8.19	5	6	0	34478.3059	5	
Q9XZ58	COP9 signalosome complex subunit 5	25.99	7	13	1	153138.90115	13	
Q9XZ63	Mesencephalic astrocyte-derived neurotrophic factor homolog	31.21	7	16	7	1033390.49	16	
Q9XZH6	V-type proton ATPase subunit G	40.17	6	24	0	2832985.1404	20	
Q9XZJ4	Proteasome subunit alpha type-6	44.26	12	38	0	3799248.5439	35	
Q9XZL8	Protein sarah	31.16	7	13	0	338793.19958	12	
Q9Y091	Pre-mRNA-splicing regulator female-lethal(2)D	3.73	2	2	0	13477.2207	2	
Q9Y0I1	NuA4 complex subunit EAF3 homolog	6.6	2	2	0	47280.5476	2	
Q9Y0V3	Mitochondrial import inner membrane translocase subunit Tim10B	47.01	5	8	5	34980.4728	6	
Q9Y0Y2	Adenylosuccinate synthetase	30.43	12	21	12	885937.8106	20	
Q9Y105	Probable glutamine--tRNA ligase	4.76	4	5	4	335289.494	4	
Q9Y1A3	Mitochondrial import inner membrane translocase subunit Tim8	44.32	5	17	0	2262086.1752	15	
X2JAU8	Protein nervous wreck	40.0	41	115	41	6753290.59567	101	
A0A021WW32	Verthandi, isoform B	2.21	2	2	0	23210.232	1	
A0A023GPM5	Diacylglycerol kinase	13.32	12	17	0	226411.88749999998	16	
A0A0B4JCR9	Uncharacterized protein, isoform D	2.88	1	1	0	27874.51	1	
A0A0B4JCT7	Jabba, isoform F	15.27	8	17	0	428214.5546	15	
A0A0B4JCW4	Succinate--CoA ligase [ADP-forming] subunit beta, mitochondrial	66.08	27	176	0	96682.1223	5	
A0A0B4JCX2	RIM-binding protein, isoform G	8.37	12	16	0	296618.2122	14	
A0A0B4JCY5	Myosin heavy chain-like, isoform H	3.38	2	2	0	6218.74755	2	
A0A0B4JCY6	Cheerio, isoform I	37.5	70	122	0	8673137.8524	115	
A0A0B4JCZ0	Oxysterol-binding protein	2.73	3	3	0	13032.328000000001	3	
A0A0B4JD18	Related to the N terminus of tre oncogene, isoform E	2.35	1	1	0	2637.0938	1	
A0A0B4JD97	Transforming acidic coiled-coil protein, isoform K	16.49	21	30	0	397705.1273	29	
A0A0B4K615	Smallish, isoform O	10.77	14	16	0	210463.8053	14	
A0A0B4K618	Fragile X messenger ribonucleoprotein 1, isoform G	10.29	6	7	0	41412.7535	5	
A0A0B4K620	Oxidation resistance protein 1	13.84	17	21	0	596002.1713	21	
A0A0B4K661	Tropomyosin 1, isoform Q	82.4	41	229	0	20470185.74935	168	
A0A0B4K663	Non-specific lethal 1, isoform N	5.54	6	9	0	51367.31838	8	
A0A0B4K6C8	Uncharacterized protein, isoform G	3.9	5	7	0	75964.8735	7	
A0A0B4K6I1	Scribble, isoform N	11.94	25	37	0	759640.9759	37	
A0A0B4K6K8	Musashi, isoform D	16.69	7	14	0	474598.56045	13	
A0A0B4K6P4	Hephaestus, isoform W	4.51	4	4	0	84210.4053	4	
A0A0B4K6Z2	Dystrobrevin	16.46	11	13	0	241151.5808	12	
A0A0B4K709	Uncharacterized protein, isoform E	9.93	6	7	0	68815.8725	6	
A0A0B4K716	Diacylglycerol kinase	4.47	7	8	0	184307.59149999998	8	
A0A0B4K765	Paired amphipathic helix protein Sin3a	1.89	4	5	0	26209.424499999997	4	
A0A0B4K774	Abelson interacting protein, isoform D	29.77	11	19	0	306655.0698	17	
A0A0B4K775	Golgin 97, isoform B	1.99	1	1	0	3097.8682	1	
A0A0B4K7A5	Hu li tai shao, isoform Q	62.38	42	137	1	9953608.65764	125	
A0A0B4K7B0	Smooth, isoform O	20.65	9	17	0	576540.2063	15	
A0A0B4K7C1	Aspartyl beta-hydroxylase, isoform H	8.47	7	9	0	103705.017	7	
A0A0B4K7D8	Uncharacterized protein, isoform B	5.46	2	2	0	21340.985	2	
A0A0B4K7E3	Phosphatidylinositol 4-phosphate 5-kinase 59B, isoform F	11.71	6	6	0	28258.4136	6	
A0A0B4K7H0	Tetratricopeptide repeat domain 7, isoform B	1.29	1	1	0	834.42017	1	
A0A0B4K7H3	Eucalyptus, isoform B	81.25	8	45	2	5839845.6707500005	41	
A0A0B4K7H7	Down syndrome cell adhesion molecule 1, isoform BY (Fragment)	3.51	7	8	0	51369.3925	6	
A0A0B4K7T7	Rho guanine nucleotide exchange factor 2, isoform G	1.13	3	3	0	3449.98807	2	
A0A0B4K7U0	Myosin-7a binding protein, isoform M	12.92	28	69	0	2640778.25997	66	
A0A0B4K7V8	Bruchpilot, isoform K	54.13	106	316	1	60925.12484999999	5	
A0A0B4K7X5	glycogenin glucosyltransferase	19.27	10	31	0	820865.63755	28	
A0A0B4K885	Kenny, isoform B	20.57	6	6	1	106462.00330000001	4	
A0A0B4K891	Poly(A) binding protein interacting protein 1, isoform E	21.54	9	10	0	160108.6654	10	
A0A0B4KED6	Defective proboscis extension response 12, isoform D	8.72	3	3	0	67727.1369	3	
A0A0B4KEE1	Aldehyde dehydrogenase	26.16	12	21	0	599144.66822	15	
A0A0B4KEE5	Myosin-7a binding protein, isoform Q	22.09	37	89	0	860853.702	19	
