Accession	Description	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	Abundance: F5: 127N, Sample, n/a, SFug_M2	Abundances Count: F5: 127N, Sample, n/a, SFug_M2	Modifications
Q9VDL1	Esterase CG5412	9.68	2	3	2	2271.50537	2	
Q9VDS5	Rho GTPase-activating protein 92B	3.65	2	2	0	4912.572539999999	2	
Q9VDV3	Nuclear pore complex protein Nup58	12.27	8	8	8	69769.92443	8	
Q9VDW3	Dystrophin, isoform B	0.48	1	1	0	1477.1251	1	
Q9VE50	Golgi SNAP receptor complex member 1	14.66	3	4	3	12485.0747	3	
Q9VE61	E3 ubiquitin-protein ligase RNF181 homolog	8.16	1	1	0	7040.0146	1	
Q9VEA5	DNA-directed RNA polymerase II subunit Rpb4	25.9	3	3	3	18247.785499999998	2	
Q9VEB3	Ribosome production factor 2 homolog	5.62	2	2	2	2217.057	1	
Q9VEJ0	Thioredoxin-dependent peroxide reductase, mitochondrial	48.29	9	55	9	1277799.43971	50	
Q9VER6	Modular serine protease	3.18	2	3	2	5829.4272	2	
Q9VET0	Neuropeptide F	29.41	3	4	0	28212.814	2	
Q9VEX6	ATPase family AAA domain-containing protein 3A homolog	34.27	24	46	24	726644.22893	43	
Q9VEX9	Histone deacetylase complex subunit SAP18	29.33	4	6	0	70682.44597	5	
Q9VEZ3	Protein mini spindles	1.52	3	4	0	4255.21849	3	
Q9VF08	Mitochondrial import inner membrane translocase subunit Tim16	38.3	6	8	0	56580.942259999996	8	
Q9VF27	NADH dehydrogenase (ubiquinone) 23 kDa subunit	60.83	15	59	15	1920627.41506	58	
Q9VF36	Acylphosphatase-2	27.45	3	3	0	8399.766599999999	3	
Q9VF71	Copper homeostasis protein cutC homolog	28.9	7	18	0	155287.41487	16	
Q9VF89	Large ribosomal subunit protein bL9m	6.05	2	2	2	8345.186	1	
Q9VFB2	Small ribosomal subunit protein uS10m	11.56	2	2	2	23966.924	2	
Q9VFC2	Serine protease inhibitor 88Ea	31.38	13	30	12	596128.3910000001	29	
Q9VFC8	Glycogen [starch] synthase	10.44	7	9	1	43119.4119	8	
Q9VFI9	cGMP-specific 3',5'-cyclic phosphodiesterase	2.68	3	3	0	7258.9766	3	
Q9VFJ2	Large ribosomal subunit protein uL11m	19.9	4	4	4	16828.819	2	
Q9VFJ3	Serine protease HTRA2, mitochondrial	7.82	3	3	0	19403.8584	3	
Q9VFM9	Twinfilin	24.78	8	14	8	97000.7528	11	
Q9VFP1	Probable cytochrome P450 6d5	11.81	6	7	6	80596.49046	7	
Q9VFR0	Protein BCCIP homolog	5.05	2	3	2	19556.0787	3	
Q9VFS5	Serine/threonine-protein phosphatase 4 regulatory subunit 3	0.71	1	1	0	6986.896	1	
Q9VFS8	26S proteasome non-ATPase regulatory subunit 9	36.36	8	10	8	54847.06982	9	
Q9VFW4	Elongator complex protein 6	3.98	1	2	1	32062.313000000002	2	
Q9VG08	L-dopachrome tautomerase yellow-f2	1.99	1	1	1	4538.6675	1	
Q9VG55	Protein hugin	18.32	2	2	2	4369.6912	2	
Q9VG73	Interleukin enhancer-binding factor 2 homolog	25.0	8	11	8	149358.36595	9	
Q9VG74	N-acetylneuraminate-9-phosphate synthase	1.88	1	1	1	3423.1025	1	
Q9VG76	Myc-binding protein	11.05	2	2	2	10444.609	1	
Q9VG82	Probable cytochrome P450 9f2	5.43	3	3	3	6980.65934	3	
Q9VG97	Inactive glutathione S-transferase D3	43.72	9	23	9	617577.0008	22	
Q9VG98	Glutathione S-transferase D2	19.53	6	13	1	72614.32209999999	6	
Q9VGG5	Cadherin-87A	5.16	9	12	9	100246.3448	12	
Q9VGN9	Probable ribosome biogenesis protein RLP24	6.28	1	1	1	10425.565	1	
Q9VGP6	Prefoldin subunit 3	29.9	6	8	6	103116.829	8	
Q9VGQ9	Diphthamide biosynthesis protein 3	10.47	1	1	1	13374.191	1	
Q9VGR2	Protein arginine methyltransferase NDUFAF7 homolog, mitochondrial	8.01	3	3	3	16488.1695	3	
Q9VGR7	J domain-containing protein CG6693	3.34	1	1	0	12059.325	1	
Q9VGS2	Translationally-controlled tumor protein homolog	76.16	12	49	0	1445139.25162	46	
Q9VGU6	GTP:AMP phosphotransferase, mitochondrial	43.98	11	17	11	244329.2228	17	
Q9VGV8	Phosducin-like protein 3	8.8	2	3	2	38347.764200000005	3	
Q9VGZ0	Probable cytochrome P450 12e1, mitochondrial	2.11	1	1	1	580.0417	1	
Q9VH07	RuvB-like helicase 1	23.03	7	14	7	168734.4214	14	
Q9VH19	Leishmanolysin-like peptidase	2.64	2	2	2	3916.6152	1	
Q9VH39	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 4	47.29	9	11	9	245021.9552	11	
Q9VH69	Small ribosomal subunit protein uS14	35.71	2	9	0	244400.1975	7	
Q9VH95	Cytosolic Prostaglandin E synthase	47.83	8	26	8	600155.5389	19	
Q9VHA0	Polycomb protein Scm	2.74	2	2	0	854.7817	1	
Q9VHD2	Probable maleylacetoacetate isomerase 2	21.59	5	8	5	36089.623900000006	8	
Q9VHD3	Probable maleylacetoacetate isomerase 1	20.73	4	5	4	22874.8929	5	
Q9VHG4	ATPase H(+)-transporting accessory protein 2	16.56	6	10	6	114958.7438	10	
Q9VHI7	E3 ubiquitin-protein ligase Iruka	24.74	7	10	7	26614.377800000002	7	
Q9VHK6	Iron-sulfur cluster assembly enzyme IscU	21.43	4	6	4	112904.3709	6	
Q9VHN6	Large ribosomal subunit protein bL19m	8.82	2	4	2	8597.3747	4	
Q9VHP0	ATP-dependent RNA helicase bel	25.06	16	22	0	111608.93622	15	
Q9VHR6	Autophagy-related protein 13 homolog	1.72	1	1	1	707.97	1	
Q9VHR8	Dipeptidyl peptidase 3	35.75	26	55	26	1099067.14354	49	
Q9VHS2	Cytochrome c oxidase subunit 7A, mitochondrial	75.28	8	49	0	1536678.17366	45	
Q9VI10	Probable small nuclear ribonucleoprotein Sm D2	40.34	5	6	5	72286.7031	6	
Q9VI13	Serine/threonine-protein kinase Pak	4.26	3	3	0	11267.9743	3	
Q9VI25	Neurochondrin homolog	2.35	2	2	2	2175.9597	1	
Q9VI55	E3 UFM1-protein ligase 1 homolog	9.97	9	9	0	44432.0801	8	
Q9VI75	Phosphatidylinositol-binding clathrin assembly protein LAP	56.2	20	89	2	58265.20158	9	
Q9VIH3	Microsomal triacylglycerol transfer protein	2.03	2	2	2	6711.2835	2	
Q9VIH9	UPAR/Ly6 domain-containing protein CG9338	48.3	6	15	6	264378.22380000004	15	
Q9VII1	UPAR/Ly6 domain-containing protein bero	54.05	7	16	7	260711.6066	14	
Q9VIM5	Actin-related protein 2/3 complex subunit 2	23.26	6	6	0	61010.25914	5	
Q9VIQ0	Short neuropeptide F	9.25	2	3	2	24982.55314	3	
Q9VIT0	DNA sliding clamp PCNA2	12.94	4	4	4	18513.964500000002	2	
Q9VIV2	Zinc finger protein swm	2.92	3	4	0	4318.0224	3	
Q9VIW3	Ran GTPase-activating protein	13.42	8	13	0	205172.1852	11	
Q9VJ26	EF-hand domain-containing protein D2 homolog	46.08	9	15	0	180532.45833999998	14	
Q9VJ31	Betaine-homocysteine S-methyltransferase	13.9	5	7	5	96664.1207	7	
Q9VJ33	Ubiquitin-like protein NEDD8	27.38	3	9	0	58886.21306	7	
Q9VJC7	Elongation factor Ts, mitochondrial	18.87	6	10	6	155481.1239	8	
Q9VJD2	Ragulator complex protein LAMTOR3 homolog	6.45	1	1	0	6956.0757	1	
Q9VJD3	Conserved oligomeric Golgi complex subunit 5	1.07	1	1	0	2511.4207	1	
Q9VJE4	DNA-directed RNA polymerase II subunit RPB11	26.5	3	3	3	10725.3297	3	
Q9VJG0	Xaa-Pro aminopeptidase ApepP	3.43	2	2	2	1091.40842	2	
Q9VJG4	Electron transfer flavoprotein regulatory factor 1 homolog	11.76	1	1	1	6461.7295	1	
Q9VJI9	Cytosolic Fe-S cluster assembly factor Nubp1 homolog	37.3	9	11	9	54749.10016	10	
Q9VJL6	Glia maturation factor	10.87	2	3	2	34120.543	3	
Q9VJQ5	Protein Dr1	17.49	3	3	3	15667.623100000003	3	
Q9VJY6	Large ribosomal subunit protein eL24	29.68	7	17	0	268162.5568	14	
Q9VJY9	Protein Loquacious	12.69	5	5	0	40375.4648	4	
Q9VKA0	UPAR/Ly6 domain-containing protein crok	9.93	1	2	1	6466.4305	2	
Q9VKD3	Cysteine desulfurase, mitochondrial	23.38	10	14	9	183984.4499	13	
Q9VKH0	Conserved oligomeric Golgi complex subunit 8	1.93	1	1	1	1857.5214	1	
Q9VKJ8	Alpha-L-iduronidase	1.42	1	1	1	1713.4718	1	
Q9VKJ9	Coiled-coil and C2 domain-containing protein 1-like	10.54	9	11	0	49875.4216	9	
Q9VKK1	Enhancer of mRNA-decapping protein 4 homolog	3.62	6	8	6	22689.413249999998	6	
Q9VKV5	CD2 antigen cytoplasmic tail-binding protein 2 homolog	5.64	2	2	2	30957.179600000003	2	
Q9VKX4	Small ribosomal subunit protein uS7m	16.51	4	5	0	44468.3208	4	
Q9VL00	Ubiquitin thioesterase otubain-like	9.16	2	2	2	18657.3784	2	
Q9VL13	MOB kinase activator-like 3	4.09	1	1	1	4737.2705	1	
Q9VL18	Probable elongation factor 1-delta	54.69	16	44	16	761412.2683400001	34	
Q9VL78	FK506-binding protein 59	55.58	29	59	0	936726.8463	57	
Q9VLF6	UPF0585 protein CG18661	17.57	3	3	0	10495.41525	3	
Q9VLJ6	Angiotensin-converting enzyme-related protein	7.78	6	6	0	39843.7086	5	
Q9VLM8	Alanine--tRNA ligase, cytoplasmic	10.77	9	11	9	40642.4135	6	
Q9VLP3	Guanine nucleotide exchange factor MSS4 homolog	51.64	6	9	6	99297.00690000001	8	
Q9VLR5	RNA polymerase II transcriptional coactivator	25.45	3	7	3	23280.3419	6	
Q9VLS9	Beta-lactamase-like protein 2 homolog	48.63	10	19	10	264320.88925999997	17	
Q9VLT8	WASH complex subunit 3	19.89	3	3	3	11643.427399999999	3	
Q9VLU0	Barrier-to-autointegration factor	55.56	4	13	0	302049.5783	12	
Q9VLU4	Serine protease inhibitor 28Dc	13.43	6	8	6	74295.20693	8	
Q9VLV5	Probable small nuclear ribonucleoprotein E	27.66	3	9	3	73389.2627	9	
Q9VLV7	Protein spaetzle 3	1.8	1	1	1	1809.6272	1	
Q9VM33	Elongation factor G, mitochondrial	3.89	3	3	3	10013.569969999999	2	
Q9VM65	FGFR1 oncogene partner 2 homolog	14.29	5	6	0	31613.5928	5	
Q9VMA2	Probable galactose-1-phosphate uridylyltransferase	5.71	3	6	0	18391.71954	5	
Q9VMA7	Transport and Golgi organization protein 1	3.36	6	6	1	18707.3305	6	
Q9VMC8	PHD finger-like domain-containing protein 5A	26.13	3	3	3	25478.87204	3	
Q9VMD6	Protein real-time	2.58	2	2	0	5921.5041	2	
Q9VMD9	Tiggrin	11.33	29	34	0	137453.39568	29	
Q9VMG0	Arylalkylamine N-acetyltransferase-like 2	20.37	4	5	4	18409.4093	5	
Q9VMM6	Protein obstructor-E	36.95	8	16	8	196006.4428	16	
Q9VMQ5	Ubiquinone biosynthesis monooxygenase COQ6, mitochondrial	7.55	3	4	3	7603.89006	3	
Q9VMQ7	Elongator complex protein 4	14.42	5	5	5	19121.418400000002	3	
Q9VMR8	Protein Turandot M	33.59	3	5	0	28167.9454	5	
Q9VMT5	Probable cytochrome P450 28d1	14.94	10	14	10	58482.9458	10	
Q9VMU4	Large ribosomal subunit protein eL43	18.48	2	3	0	24426.228000000003	3	
Q9VMU5	Protein quick-to-court	5.55	4	5	0	18093.1873	5	
Q9VMW7	Inosine triphosphate pyrophosphatase	31.41	7	13	7	234883.7754	12	
Q9VMX0	Large ribosomal subunit protein bL28m	9.93	3	3	0	26455.3575	3	
Q9VMY1	Large ribosomal subunit protein uL24m	9.31	3	4	3	28584.9036	3	
Q9VMY9	Guanine deaminase	4.46	2	2	2	15497.9584	2	
Q9VN12	Probable sodium/potassium/calcium exchanger CG1090	4.58	2	4	0	16515.231200000002	4	
Q9VN13	Sideroflexin-1-3	16.2	5	7	5	59873.481100000005	5	
Q9VN14	Contactin	19.78	25	34	25	337031.44938	30	
Q9VN19	Golgi to ER traffic protein 4 homolog	5.9	2	3	0	7133.3054999999995	3	
Q9VN25	Eukaryotic translation initiation factor 3 subunit A	3.07	4	4	4	21106.9943	2	
Q9VN50	Eukaryotic translation initiation factor 3 subunit F-1	28.57	8	15	8	121292.49355	12	
Q9VN91	MORN repeat-containing protein 4 homolog	43.43	8	40	8	446538.1197	29	
Q9VN93	Cathepsin F	22.64	13	28	12	518937.4362	24	
Q9VN95	Enolase-phosphatase E1	23.83	5	11	5	100065.10500000001	6	
Q9VNA4	Uncharacterized protein CG1161	9.25	2	3	0	22575.667699999998	3	
Q9VNA5	Proteasome subunit beta type-4	5.22	2	4	2	58125.4329	3	
Q9VND8	GTP-binding protein Rheb homolog	22.53	5	9	5	457339.2737	8	
Q9VNE2	Protein krasavietz	31.28	16	24	16	252308.2835	22	
Q9VNE9	Large ribosomal subunit protein uL13	27.8	9	17	6	271442.2927	12	
Q9VNI3	Histone PARylation factor 1	4.45	2	2	2	5636.4116	1	
Q9VP48	Ras-related protein Rab-26	9.79	4	7	0	30004.4889	3	
Q9VP61	Acetyl-coenzyme A synthetase	8.51	6	6	0	30324.5628	4	
Q9VP65	Multifunctional methyltransferase subunit TRM112-like protein	25.81	2	4	2	5240.413640000001	4	
Q9VPC1	Distal membrane arm assembly component 2	9.15	3	3	3	29972.468200000003	3	
Q9VPH7	Eukaryotic peptide chain release factor subunit 1	8.45	4	4	0	28849.12467	4	
Q9VPL3	Large ribosomal subunit protein uL10m	9.68	3	4	3	27448.102	4	
Q9VPQ2	DnaJ homolog shv	16.67	6	7	6	70722.98706	7	
Q9VQ29	Cytochrome b-c1 complex subunit Rieske, mitochondrial	43.04	10	36	10	1917350.34752	27	
Q9VQ62	NPC intracellular cholesterol transporter 2 homolog a	47.3	5	13	5	500327.56606	12	
Q9VQ79	Putative apoptosis-inducing factor 1, mitochondrial	14.61	9	11	0	91302.6997	11	
Q9VQ91	Tudor and KH domain-containing protein homolog	7.47	5	6	5	9500.3852	4	
Q9VQ93	Golgi phosphoprotein 3 homolog sauron	16.33	4	5	4	43573.8333	5	
Q9VQC4	Glycerate kinase	12.94	8	8	0	53374.19	8	
Q9VQF7	Bacchus	40.79	6	16	6	133043.09174	13	
Q9VQF9	SNAPIN protein homolog	16.42	2	3	2	33237.158	3	
Q9VQG4	Congested-like trachea protein	29.74	9	17	8	247481.29796	16	
Q9VQQ0	Serine/threonine-protein phosphatase 2A activator	22.61	9	15	9	110242.1381	15	
Q9VQX4	Nicotinate phosphoribosyltransferase	4.14	2	2	0	20419.182699999998	2	
Q9VR35	Eukaryotic translation initiation factor 4E-binding protein Mextli	11.03	7	10	0	73457.37865	10	
Q9VR59	Inositol hexakisphosphate and diphosphoinositol-pentakisphosphate kinase	1.89	2	2	0	3085.3855	1	
Q9VR81	N-acetylglucosamine-6-phosphate deacetylase	4.8	2	3	0	4205.74043	2	
Q9VR89	RNA-binding protein pno1	6.25	2	2	2	10308.3185	2	
Q9VR94	General odorant-binding protein 19a	15.75	3	6	3	76372.1946	5	
Q9VRJ9	Ubiquitin thioesterase Otu1	12.39	4	8	0	18738.81747	7	
Q9VRL2	Probable Golgi SNAP receptor complex member 2	10.19	2	2	2	1585.772	1	
Q9VRL3	Probable prefoldin subunit 4	10.87	2	3	2	183874.946	3	
Q9VRP9	E3 ubiquitin-protein ligase Bre1	1.63	2	2	0	4033.59706	2	
Q9VRQ9	Glutaminyl-peptide cyclotransferase	12.65	5	6	5	41904.2519	4	
Q9VRV7	Splicing factor 3B subunit 6	9.92	1	2	1	2984.8408	1	
Q9VRZ7	Ubiquinol-cytochrome c reductase complex assembly factor 1	24.32	6	12	6	73860.19554	10	
Q9VS34	Large ribosomal subunit protein eL18	22.34	3	6	0	145320.42200000002	4	
Q9VS97	Peptidoglycan-recognition protein SD	9.14	2	3	2	13375.7742	2	
Q9VSA3	Medium-chain specific acyl-CoA dehydrogenase, mitochondrial	54.89	20	73	20	1579625.3775	67	
Q9VSF3	Nedd8-conjugating enzyme UbcE2M	17.68	3	4	0	16694.069499999998	2	
Q9VSH4	Cleavage and polyadenylation specificity factor subunit 6	1.69	1	2	0	3640.8713	2	
Q9VSJ8	Exocyst complex component 7	8.66	6	7	6	26174.006589999997	6	
Q9VSK9	Pseudouridylate synthase 7 homolog	5.45	3	3	3	17121.271	1	
Q9VSL3	Pyrimidodiazepine synthase	61.32	13	64	12	2268272.47928	59	
Q9VSR3	Translational regulator orb2	5.82	4	4	0	33916.9762	4	
Q9VSS2	Signal recognition particle subunit SRP68	8.44	5	6	5	30588.3354	6	
Q9VSU7	Vesicle transport protein USE1	22.0	4	4	4	12904.7949	3	
Q9VSY4	Alpha-tubulin N-acetyltransferase 1	39.26	19	55	8	785332.73473	52	
Q9VSY6	Phosphoserine phosphatase	20.0	5	8	5	144328.6195	7	
Q9VSZ6	Queuine tRNA-ribosyltransferase accessory subunit 2	6.7	3	3	3	4396.30704	3	
Q9VT70	Nuclear distribution protein nudE homolog	7.57	2	2	0	3309.8928	1	
Q9VTC4	MIP18 family protein galla-2	5.13	2	3	2	15255.488000000001	2	
Q9VTE0	Biogenesis of lysosome-related organelles complex 1 subunit 2	11.32	2	2	2	23220.398	2	
Q9VTE5	Probable prefoldin subunit 2	56.64	8	13	0	248798.4375	13	
Q9VTE9	Nedd8-activating enzyme E1 regulatory subunit	7.82	4	4	0	37918.77396	4	
Q9VTF9	Ubiquitin fusion degradation protein 1 homolog	14.87	6	7	6	81712.4053	6	
Q9VTH0	Procollagen-lysine,2-oxoglutarate 5-dioxygenase	1.53	1	1	1	2880.5977	1	
Q9VTJ4	Putative alpha-L-fucosidase	4.86	3	3	3	27477.625	3	
Q9VTJ8	Mitochondrial import inner membrane translocase subunit TIM14	7.63	1	1	0	7643.132	1	
Q9VTM6	UPAR/Ly6 domain-containing protein crim	20.25	3	4	3	56064.7985	4	
Q9VTP4	Large ribosomal subunit protein uL1	53.46	12	49	12	1243871.3253300001	43	
Q9VTU3	Rho GTPase-activating protein 68F	12.61	5	6	0	55768.758700000006	5	
Q9VTZ5	Transferrin 2	22.59	16	21	16	123754.56595	19	
Q9VTZ6	Phosphomannomutase	22.44	5	8	5	52023.188500000004	7	
Q9VU08	Intermembrane lipid transfer protein Vps13D	0.2	1	4	1	31160.879699999998	2	
Q9VU58	Neuropeptide-like 2	66.28	6	107	0	3257309.9511700002	98	
Q9VU68	Actin-interacting protein 1	32.89	20	31	20	343557.84823	26	
Q9VU70	Tetratricopeptide repeat protein 36 homolog	9.73	2	3	2	8646.2539	3	
Q9VU84	Drebrin-like protein	26.18	11	14	11	125048.46343999999	12	
Q9VU95	Alanine--glyoxylate aminotransferase 2-like	10.32	4	6	4	22504.88706	5	
Q9VUJ0	Large ribosomal subunit protein mL39	3.6	1	1	1	3064.0432	1	
Q9VUK8	Glycine--tRNA ligase	28.63	20	41	20	758388.57885	36	
Q9VUR3	Probable aminoacyl tRNA synthase complex-interacting multifunctional protein 2	12.87	5	6	0	36769.7535	4	
Q9VUY9	Phosphoglucomutase 1	31.43	15	31	15	373393.03568	27	
Q9VUZ1	Probable trafficking protein particle complex subunit 2	10.79	2	2	2	15170.064	1	
Q9VV36	Retinin	29.84	5	91	5	2519913.79496	71	
Q9VV41	Probable tRNA N6-adenosine threonylcarbamoyltransferase	8.07	2	2	2	569.42694	1	
Q9VV43	Tubulin polymerization-promoting protein homolog	67.19	12	38	0	1002756.4502600001	35	
Q9VV72	Multiple inositol polyphosphate phosphatase 1	28.27	13	29	13	276289.04254	25	
Q9VV74	Survival motor neuron protein	3.1	1	1	1	4428.443	1	
Q9VVA0	Cold shock domain-containing protein CG9705	17.48	2	7	0	107303.3777	6	
Q9VVA6	Nuclear migration protein nudC	32.53	12	23	12	265475.0227	22	
Q9VVB4	Coiled-coil domain-containing protein 22 homolog	13.15	7	8	7	39374.1619	8	
Q9VVE2	Protein rogdi	30.97	7	12	7	100419.0704	10	
Q9VVE5	RNA-binding protein Musashi homolog Rbp6	32.52	8	18	0	141305.3774	18	
Q9VVG6	Ubiquinone biosynthesis protein COQ4 homolog, mitochondrial	7.09	2	3	0	11994.8518	3	
Q9VVH3	MICOS complex subunit MIC13 homolog QIL1	67.21	7	33	7	330573.86713	30	
Q9VVI2	Enhancer of mRNA-decapping protein 3	4.41	2	3	2	559.4218	1	
Q9VVI3	E3 ubiquitin-protein ligase Nedd-4	3.97	4	5	0	16103.64723	4	
Q9VVI9	Charged multivesicular body protein 5	66.81	12	24	0	142792.51133	20	
Q9VVN2	Small ribosomal subunit protein mS26	11.11	3	3	3	25571.186999999998	3	
Q9VVU5	COP9 signalosome complex subunit 1b	4.0	2	3	2	24794.6665	2	
Q9VVW3	Sideroflexin-2	19.57	6	6	6	88424.05249999999	6	
Q9VVW8	ATP-dependent (S)-NAD(P)H-hydrate dehydratase	5.67	2	3	2	17795.587	2	
Q9VVY3	Glycogen-binding subunit 76A	9.84	5	6	0	9566.97596	5	
Q9VW12	UPF0389 protein CG9231	38.4	4	24	0	214198.75625	21	
Q9VW14	rRNA methyltransferase 3, mitochondrial	6.39	3	3	3	5431.15997	2	
Q9VW26	Ornithine aminotransferase, mitochondrial	19.03	8	13	8	91928.5127	11	
Q9VW56	Probable prefoldin subunit 6	56.0	7	13	0	233127.07319999998	13	
Q9VWA1	Clathrin light chain	40.64	11	40	0	735133.42407	35	
Q9VWA8	Protein FRG1 homolog	9.54	2	2	2	4868.4088	2	
Q9VWB1	DCN1-like protein 4	8.06	2	2	1	11446.486139999999	2	
Q9VWE0	Cytokine receptor	1.56	2	2	2	15964.637999999999	2	
Q9VWG3	Small ribosomal subunit protein eS10B	45.62	7	15	0	201113.8674	12	
Q9VWH4	Probable isocitrate dehydrogenase [NAD] subunit alpha, mitochondrial	72.15	29	182	28	7346416.92308	159	
Q9VWI0	NADH dehydrogenase [ubiquinone] iron-sulfur protein 4, mitochondrial	58.47	8	33	8	1077202.74822	23	
Q9VWN5	Ubiquitin carboxyl-terminal hydrolase MINDY-3 homolog	17.86	9	13	0	46971.3421	9	
Q9VWP4	Sulfite oxidase, mitochondrial	6.63	4	4	4	46218.9943	4	
Q9VWU1	Serine protease persephone	7.61	3	3	3	20002.10696	3	
Q9VWX8	Frequenin-2	52.94	11	47	5	510764.42905	41	
Q9VX10	Sulfiredoxin	4.32	1	1	0	13401.727	1	
Q9VX98	Density-regulated protein homolog	41.8	7	12	7	123277.2235	11	
Q9VXB0	NECAP-like protein CG9132	46.34	9	24	2	620882.46097	22	
Q9VXB5	Large ribosomal subunit protein uL22m	18.03	4	4	4	18518.499200000002	3	
Q9VXE0	Probable small nuclear ribonucleoprotein G	47.37	4	10	4	206829.83200000002	8	
Q9VXE5	Serine/threonine-protein kinase PAK mbt	15.49	5	5	5	10729.73533	5	
Q9VXE6	Nuclear pore complex protein Nup153	0.48	1	1	0	3902.5637	1	
Q9VXF1	Serine/threonine-protein phosphatase 2B catalytic subunit 3	45.72	20	57	0	712717.22794	52	
Q9VXG4	Annexin B11	23.68	13	31	13	418437.39905999997	29	
Q9VXJ0	Peroxisomal multifunctional enzyme type 2	25.75	14	17	0	198893.03629999998	17	
Q9VXK0	Protein NipSnap	15.38	4	8	0	76848.976	6	
Q9VXK6	Eukaryotic translation initiation factor 5	25.22	12	16	12	149799.0127	13	
Q9VXN2	Protein stunted	49.18	3	9	3	68058.6821	5	
Q9VXN4	Probable arginine--tRNA ligase, cytoplasmic	3.46	2	2	2	6860.2723	2	
Q9VXP4	Platelet-activating factor acetylhydrolase IB subunit beta homolog	22.22	5	11	5	145403.47509999998	10	
Q9VXT7	Probable isoaspartyl peptidase/L-asparaginase CG7860	9.64	3	4	0	29026.297300000002	4	
Q9VXY0	Probable cytochrome P450 4s3	2.02	1	1	1	470.10406	1	
Q9VXY7	Lipid storage droplets surface-binding protein 2	50.28	13	41	1	537056.5405	35	
Q9VY28	Small ribosomal subunit protein mS25	24.55	4	4	4	21380.9967	4	
Q9VY78	Chloride intracellular channel Clic	31.54	7	10	7	269135.873	9	
Q9VY93	Probable methylthioribulose-1-phosphate dehydratase	11.45	3	4	0	15032.6983	4	
Q9VYB7	Protein-tyrosine sulfotransferase	1.6	1	1	0	3729.6565	1	
Q9VYD7	Mitochondrial import inner membrane translocase subunit Tim9	48.42	5	8	0	74113.70333	7	
Q9VYF8	2-methoxy-6-polyprenyl-1,4-benzoquinol methylase, mitochondrial	2.33	1	1	0	11459.254	1	
Q9VYG1	26S proteasome non-ATPase regulatory subunit 5	5.14	3	3	0	15938.9646	3	
Q9VYH3	Probable alpha-aspartyl dipeptidase	22.08	5	7	0	30488.862399999998	6	
Q9VYI3	Large ribosomal subunit protein mL49	11.73	2	2	0	2255.2666	1	
Q9VYQ8	Ubiquitin carboxyl-terminal hydrolase 7	0.71	1	1	0	1489.3163	1	
Q9VYR0	LSM12 homolog A	5.99	1	1	1	3332.4282	1	
Q9VYS5	NADH dehydrogenase (ubiquinone) complex I, assembly factor 6 homolog	5.09	2	3	2	2986.067	1	
Q9VYV3	Thioredoxin domain-containing protein 5 homolog	50.48	23	50	23	732520.7458	46	
Q9VYV9	COMM domain-containing protein 10 homolog Vlet	21.43	4	4	0	7976.30976	2	
Q9VYY2	Signal peptidase complex subunit 2	38.19	7	11	0	104621.6226	11	
Q9VYY3	Ubiquitin-like modifier-activating enzyme 5	21.78	9	12	9	107711.67207	8	
Q9VZ23	GTP-binding nuclear protein Ran	57.87	11	26	0	693411.9658	26	
Q9VZ35	Protein Vago	13.12	2	2	2	1273.28353	2	
Q9VZ40	Uncharacterized protein CG1552	3.8	1	3	0	105781.277	3	
Q9VZ49	Endoribonuclease Arlr	12.5	7	15	7	241062.39630000002	14	
Q9VZ64	Probable 6-phosphogluconolactonase	45.68	10	23	10	317609.5059	22	
Q9VZA4	Band 7 protein CG42540	10.69	5	8	0	38882.8748	7	
Q9VZD5	Small ribosomal subunit protein bS6m	19.05	3	4	0	28722.9334	4	
Q9VZD8	THUMP domain-containing protein 1 homolog	12.35	4	4	4	4685.2699	2	
Q9VZE7	Choline transporter-like 1	1.74	1	1	0	308.52908	1	
Q9VZI3	Unc-112-related protein	4.66	4	4	3	5774.4415	2	
Q9VZJ9	Mitochondrial E3 ubiquitin protein ligase 1	3.25	1	1	1	3694.8254	1	
Q9VZL5	Vacuolar fusion protein CCZ1 homolog	1.65	1	1	1	6271.898	1	
Q9VZL6	Ragulator complex protein LAMTOR4 homolog	21.67	2	4	0	11821.6309	3	
Q9VZS3	Eukaryotic translation initiation factor eIF1	50.0	6	9	6	277989.3645	8	
Q9VZS5	Large ribosomal subunit protein eL28	50.0	10	21	0	395681.9747	18	
Q9VZU4	NADH dehydrogenase [ubiquinone] iron-sulfur protein 3, mitochondrial	62.26	15	65	15	1042761.42507	50	
Q9VZX9	Adenosylhomocysteinase-like 1	17.08	7	13	6	151264.86860000002	11	
Q9W021	Large ribosomal subunit protein uL23m	16.67	3	3	0	11373.2918	2	
Q9W032	Protein ecdysoneless	1.9	1	1	1	3884.5088	1	
Q9W058	Succinyl-CoA:3-ketoacid-coenzyme A transferase, mitochondrial	49.03	19	52	0	695502.95312	46	
Q9W074	Protein HBS1	3.28	2	2	2	5965.5183	2	
Q9W0A0	Protein draper	4.95	4	5	0	18412.9401	4	
Q9W0C1	Neuronal synaptobrevin	43.72	5	57	5	1985198.3357600002	46	
Q9W0C7	Protein OPI10 homolog	6.6	1	1	1	1696.9319	1	
Q9W0G1	Tyrosine-protein phosphatase non-receptor type 61F	3.28	2	3	0	25355.0753	3	
